"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1","0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"498","sp|Q99536|VAT1_HUMAN",121344597.790304,146336215.644448,32493005.8295829,30856923.1061442,398315709.502789,416658803.521856,26829628.9143299,29170490.3432168,19581099.0509622,17262271.7667692,39361445.3603856,39565754.6538597,37848161.7433472,32939403.6155031,153259989.154874,156492787.451241,171423690.689173,175340082.126939,78479003.4563865,78603448.2958972,44971342.3061035,46250467.2526424,72342334.5707983,67517754.6087468,153807965.581287,156899195.819047,23090799.9379897,25195071.5617571,34644152.7241114,33060501.6192565,150523504.254079,154558496.10564
"499","sp|P02790|HEMO_HUMAN",44071409.2951754,53040958.4212888,119256244.800065,114703745.577814,25776836.3620438,26155708.2512101,11038015.4992889,10615049.494523,19581099.0509622,20655709.8063905,26332715.1944771,26395771.4404452,150741962.244277,135503232.264444,39489617.6435551,37167037.0196698,38944799.6322975,41664143.3244489,24664829.6577215,26845075.9858022,19972945.7233411,19036794.532165,24471598.3521164,22720552.3002186,24160100.7882109,24892660.8751373,35157605.0668747,32739358.526577,23567450.8327289,22386682.3308006,36052807.0673076,39572304.6063578
"500","sp|P62140|PP1B_HUMAN",4509636.31005897,4493084.65589042,3457164.49936608,4367294.02501171,3310794.14529408,3522583.98299292,3705356.07423099,3730282.04647057,4721070.06633828,4886139.27547932,2156748.54508462,2117427.27829949,2997344.26505336,2647816.20650548,5185513.77268135,4915512.24594618,4432046.08106087,4452939.86845798,3293911.97375949,3352831.48193964,3142230.87489068,4524334.50068984,2844012.99628921,3144466.33996632,3266248.87146926,2573481.85910452,3979943.78245041,3772938.7648438,2703215.84122327,3001789.18061257,4096346.27210344,4009554.62062534
"501","sp|P27824|CALX_HUMAN",79644744.1522676,88559457.3641161,32147335.5548001,31341586.8198533,50028453.1135503,55238856.5275187,35369991.271444,37278047.8311596,30136535.2581214,30245860.787929,40875347.1050158,43527910.6206073,37305924.4690872,36354525.729485,48550974.6665806,48098518.4960433,60747230.1956778,61202038.1900221,48999915.6034413,50159658.1074666,38915029.7319291,39606753.7246385,49625671.5586743,46544937.1008527,87622900.7459763,75734034.904963,34934145.7126361,34447498.9714419,27102568.4576382,28171272.5065496,76961211.046037,75813607.1414734
"502","sp|Q15084|PDIA6_HUMAN",87549929.6760659,96847107.1174424,10312496.5310201,10716453.225345,24198597.7089943,23094822.9572305,9426626.37530511,10531466.427637,8896063.00224038,9751613.87067255,26378591.0049204,30302122.3935766,41860717.5728711,37125682.335868,64436316.6081806,67890253.3795826,52841768.7318567,54522416.0137578,25654060.7937263,25379587.9667261,14818637.1495757,15842701.4898554,18524317.4776977,19133096.6738683,39132557.6147079,36961829.7842947,9385292.87802163,8611874.74286047,10286107.6814044,8821814.61243769,39451724.9053029,35175381.8723181
"503","sp|Q92841|DDX17_HUMAN",26284741.8666293,27230849.1895009,14057257.8411671,13247474.8413813,18858947.8789328,19180770.8821877,9104348.55050836,8609055.88925883,8274750.56225071,7828087.2873623,12982854.3554652,11719052.8593943,31558209.3619313,26770150.764439,22597458.2549522,21862962.9527469,24382107.4621008,24547611.4977715,8309541.54244092,8326636.47202301,8237245.74149285,8099120.69540015,9383325.5272989,8951864.33125541,23479534.5688247,24138337.8183149,8789401.26671867,9110082.37261273,5680314.18748867,6545398.38706602,13110111.6608391,14256688.8649168
"504","sp|P13489|RINI_HUMAN",131818968.609336,123841166.313991,31628830.1426259,29887595.6787261,96870380.5510783,97220387.488433,29810698.7936999,30173487.1458489,31207376.6124709,28770452.9446154,29498146.1150675,29632462.2301827,43704324.305355,39659482.6139836,45083047.9046819,42920448.3230243,41025184.2280399,42499096.0964819,25456214.5665254,25312974.87495,29766132.0134955,27980255.0506317,32953785.8287464,30815323.9699321,116376823.515044,114958833.859725,28155878.6340649,28113144.8217346,44071133.057203,38648192.0337787,66157507.9181233,67552722.0047927
"505","sp|O43852|CALU_HUMAN",19960593.4475906,16523978.4273552,6164453.23362655,6300628.27821793,33458519.5982343,36299820.003798,6583776.38878304,6103543.57937935,5241745.88068139,5201129.21266274,20735866.3203896,20257219.9426672,27003416.2581474,23024532.9620072,66338082.8969638,57879317.7117458,64658353.2356735,60701066.5268023,10551798.784052,10724707.7759656,6267866.69177903,7150495.46953348,8922421.90808911,9198604.170129,74011576.3582518,67889075.1140107,6268441.35746865,7473114.44628388,6319290.78714375,5810458.37688192,47949019.5002912,46500788.9145417
"506","sp|O75489|NDUS3_HUMAN",20355852.7237806,24152579.2811226,41422821.2614718,42650406.8063983,13642213.9049106,15538938.3731263,49711354.4748996,47725931.1919106,54765886.4081598,54295008.6339408,26057460.331817,23996155.8549502,35679212.6463072,32608907.9270532,23044932.6758424,18525984.3968014,16726292.1497688,16699055.4406609,28226061.747339,28044111.6377735,30410420.5852161,30918820.6495565,26714015.7309956,24560273.1342444,22628826.7945919,20668451.7569321,48043761.1613012,48468485.1230411,47606250.6821123,47728188.9573773,26705783.0128204,29312818.2269317
"507","sp|O60641|AP180_HUMAN",1914288.95748464,7185000.30188583,8814592.00696133,7808470.9430906,2475504.74732761,3567570.09109013,6179523.87253638,5876134.26393226,11356570.6468651,10033585.2072065,7340129.67093437,8817192.15135379,3432365.26564232,4062990.35756888,2886227.59936748,2886686.14834722,2869131.85353625,3015781.96092367,11409132.4352562,10191803.0417562,12252428.9054503,12005982.3562467,10237122.8166224,9750520.42033674,3163209.57204481,2612638.72825072,10502589.6492147,10320015.1877254,9410994.46048936,7974037.19178668,3442530.23406548,4109453.3020583
"508","sp|Q12905|ILF2_HUMAN",13754383.1178675,14162908.823575,8756980.29449753,6569885.89694519,7725329.6742553,6697418.36075361,9104348.55050836,7950624.79012847,8232125.79556995,7999749.19140968,17845690.2624592,17411164.2482429,18761409.6893956,15092636.4392104,51012083.9814763,47408109.1396407,50178876.4493064,51015614.371219,9826362.61764839,10125189.94998,8496338.46457231,8082507.23242881,9712367.54323051,8741075.01163843,33347744.749925,30625516.106987,7821077.39835136,6938420.67329099,11066979.9054837,10437644.1518694,24642154.3254661,25848576.0728398
"509","sp|P23526|SAHH_HUMAN",32016001.371383,25099739.2529313,19184700.2504452,19548103.1195992,56720157.0331972,55238856.5275187,19094961.1192078,18221108.5811497,19887053.7236334,18147516.4727574,40967098.7259025,41853760.2121224,27654100.9872594,34812212.516719,42062595.5636735,47408109.1396407,49596368.7624986,50681633.2624058,26643291.9297312,25779266.5173832,31827855.4430016,29385655.9892479,40266016.4120481,37530305.0141263,34879018.743544,31832432.9979028,17951234.7905017,19430097.5603381,34172803.7074569,30033835.978057,31075820.2331001,26248296.3213889
"510","sp|O00299|CLIC1_HUMAN",68577484.41895,80271807.6107897,7374299.19536634,7916173.9905815,45248664.5995169,42612832.1783716,8379223.44471566,8216861.80269088,7413143.83117333,7749594.34190298,28580629.9062007,28348946.9170109,81877828.4132582,76895330.1793349,73385805.0259835,70306686.1269915,69817707.0331146,74477787.2653475,17410467.9936857,16053755.1180604,7876011.81983192,8940876.07429761,14721957.5743808,13613934.1717909,64483649.2868447,60194979.9344228,6551037.80413583,6306332.50071676,8141333.70678594,7985878.84649255,60088011.778846,53162793.0570262
"511","sp|Q13153|PAK1_HUMAN",388259.805755874,350572.086890631,11464730.7802961,10447195.6066178,583300.739290015,650007.374221922,8701501.26951241,8692638.95614484,15450710.9698998,14901619.2174674,6927247.37694431,7422066.81094971,2574510.58401829,2581663.00743245,682217.704584364,574653.92816064,550724.427739709,512272.555530736,10156106.32965,10658094.6841895,9522648.65425357,9982793.24414567,8341517.30105071,7885648.8317785,4910756.68067478,4082677.51519985,11321940.6147563,11387602.9657659,16193374.8885279,15553681.7184697,3286793.68449165,3566895.63419584
"512","sp|O95202|LETM1_HUMAN",11573157.64814,9906792.4256151,30937489.5930603,28541307.5850898,23796733.0606907,25186707.0179061,30455254.4432934,30340653.2796209,42833654.1739797,39393389.4164733,15735402.9820656,13337398.254263,17351592.7763196,14762140.7507606,17004027.9938254,16684892.7797279,18640245.9778518,17784494.0443038,22884213.6129127,23048129.7545597,27833266.2983334,27341436.4421698,24959080.3910032,23640412.7172315,23649676.1236713,21724504.0364834,34114794.7470945,36796192.0831311,33701454.6908023,32827681.1853181,20150727.1824009,21984613.6701988
"513","sp|Q00577|PURA_HUMAN",7059561.08914691,7607286.06047782,34163745.4910331,29402931.965017,14041840.0826573,12520679.8914905,30696962.811891,27833161.2730407,40997926.137952,39098307.8478106,16744670.811819,15625403.8125257,4850523.64353236,5057795.0223647,5430640.24590206,7417701.50471752,5515508.14169399,8349527.72033044,37261039.4561835,35971069.5591394,37239879.4454553,27724727.607247,28468951.070988,23088496.4670238,8733702.37332198,8755012.09456719,35679010.2267648,36440329.4904509,37000897.8073843,37949730.7319634,14566790.7342657,12289986.5811077
"514","sp|Q9UPR5|NAC2_HUMAN",1119877.74985481,1789138.13728546,29209138.2191463,28810565.203817,4918884.55644616,6825018.65155685,33033477.0416675,33433226.7544032,28606761.894765,28917993.7289467,18809082.2817693,18806289.588647,7256860.19475828,6723667.26508242,470796.028230977,541068.652263,622052.654511808,632662.460476646,37392936.9409842,36503974.2933489,26544689.154892,25808271.7818612,26031540.8765541,26767938.1350754,9356076.29321616,9163909.85715682,27038581.8628718,28113144.8217346,21965871.2156341,21868287.6493307,5437028.22954527,6321545.61588
"515","sp|Q92561|PHYIP_HUMAN",4204026.31797282,3953339.66882759,25406765.1965356,23910076.5429809,6302835.27095052,6116431.72091086,28199309.6697161,28251076.6074707,30136535.2581214,29213075.2976094,11514828.4212783,6194356.51139412,4287005.38468175,3888672.16272976,1445695.52405076,1695143.79577652,1338920.36564118,1440778.20764697,18927289.0688932,19917314.441079,22807815.4389121,21464305.2443202,16379396.5065958,15545641.047518,6850803.64076946,5258365.65635142,32178147.0103599,33379911.1934013,15891667.6022811,15781635.6745082,8571272.74215214,7877418.29289218
