"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1","0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"2234","sp|Q9H7D7|WDR26_HUMAN",17.3094210473395,17.428459655556,19.4346035164107,19.9049742351112,14.9132179071217,15.8016823548112,18.7841975997446,18.8181084738871,18.3346176556909,18.4684745839302,19.7787155424691,19.1101615888102,19.1632544004111,18.9313048753958,19.8770043808071,19.7493476695915,20.2747269188421,20.2785468515496,19.4445488414522,19.6333149888845,18.3236518698133,18.6020970779238,19.0523891162205,18.935897827435,18.2208103941052,18.2852653548495,19.4591959669007,19.5312611474589,15.9346358867155,16.3840837072796,19.7379396773987,19.7730361456641
"2235","sp|P55265|DSRAD_HUMAN",16.5159348426583,16.3682899726328,18.1816156232775,18.5122445919665,15.6079920182693,16.1531608610008,19.8297008237101,17.9297537974187,16.7595874487119,16.6698532859566,20.396020944907,20.085479369364,18.9913951908931,18.8130941886759,20.3744334753542,20.2691935344114,20.8550031024405,20.804923032679,18.2448255980362,18.4682260840003,17.3645912708385,17.2203148975649,17.9343790645562,18.0275413431955,17.7439945888494,18.1436084132186,18.1841833181616,18.0963309291615,16.5279457225651,16.4095677252289,19.3868909233041,19.6697389869011
"2236","sp|Q9C0D0|PHAR1_HUMAN",16.4423530663345,16.2705731035817,20.8362191975124,20.9809250497705,16.1497234772809,16.5363993491487,19.9183439410177,19.9037019969318,19.0417068469808,18.8726122085374,20.4924152920788,19.8690333514994,16.0119553681324,15.6445523560133,16.0355176095429,15.6902840414571,16.4444142561461,16.1957846211914,20.4696466221347,20.4759453808833,18.6781929128782,18.6391169700486,19.0367746167259,19.1650932736314,17.7904694820948,18.0087565801522,19.6149129134962,19.4865444488535,18.8579089991637,18.6048524344262,14.8648093501651,14.9138183453592
"2237","sp|Q9Y2L1|RRP44_HUMAN",16.6695928460714,18.9597625058273,17.8505529533281,18.0706659873136,15.8710164711393,16.0573111178681,17.0097776583996,17.2976576114435,17.2891295279133,17.0322584499883,18.8693220710624,18.7610623893582,18.0272562488527,17.613417547966,19.4479888624314,19.4717772058973,19.9830126487684,20.029305291552,17.9892708139798,18.6209141959705,16.8783620549169,17.0776653105961,16.6848638900865,16.8349511984962,19.6017600962783,19.8038289843921,16.8880403821223,18.5103169845971,17.1177997727204,17.0188467946283,18.6020970322407,18.6044781587868
"2238","sp|O75027|ABCB7_HUMAN",16.0738065131515,16.1049889763696,18.6610239972453,18.6289137786152,17.1290370504886,17.3730400237067,19.6428736913421,19.1386711482814,18.5430467875645,18.4935165332856,19.6961825278184,19.3341600650378,18.1677745964425,18.0556694585198,18.6443859838783,18.4972194763798,18.4766101954423,18.5945504535223,19.04260670511,19.2067891227524,18.371422152905,18.392419808378,18.2481939060929,18.2305516503596,16.4863520244758,15.98264709004,19.1041296668055,19.718961679158,17.1228997052393,17.4639470812682,17.4704396262475,17.5621043665732
"2239","sp|Q9Y276|BCS1_HUMAN",14.6789006855797,14.7980665613465,18.7061197542014,18.2962958017201,15.5409483021255,15.5884397473003,17.9087197797055,18.0830721453456,16.7863537700664,16.9318561482643,18.7196954593194,18.7645132646646,18.3787524893491,18.2768166559786,18.260755781753,18.9228613685454,18.2318631480815,18.6505035411201,18.2431618884271,17.8378028056171,16.6795734867952,16.869687794154,17.2052918790151,16.885865472146,15.3387648212107,15.0071723050466,18.3480967215995,18.0474458033132,15.7472072526822,16.9144404375199,16.8331578338152,16.6740330325986
"2240","sp|Q8TEM1|PO210_HUMAN",19.619274586006,20.0503168827885,19.1930354920114,19.5547585490129,16.9642106716425,17.0119031637779,18.6625634020896,18.7172585544521,17.7319021478298,17.8740387874215,19.0382539501246,18.5549730299621,17.5803947891791,17.3862398667365,20.7879818211634,20.6507310017347,21.345546358125,21.222874028574,18.7390126455317,18.8446593136178,18.0588684855217,17.9199506879035,18.181839877795,17.9926929364646,20.046864578638,20.1688340839421,18.6346825944773,18.7200222268077,16.4426684647994,17.1327104131877,18.8301645602834,19.0338253304316
"2241","sp|P11717|MPRI_HUMAN",20.3565343740248,20.1347481511578,17.1534501472731,17.7568866731996,17.0408132280841,16.95811386822,17.8853911909504,17.7990942555797,15.4781044059655,15.4670491385477,20.1299178238438,19.5287763054333,19.6745261298609,19.2862357565737,19.9002277590208,19.8702638127174,20.1420424243338,20.2397938192219,18.9299989542988,18.6554395917364,16.9556566145283,16.8838310534392,18.6301740743114,18.0789316757916,19.473188876989,19.7399036572575,16.2850345138052,17.0413188282976,16.6672912355866,16.7032248503548,19.3979580357993,19.5265268447427
"2242","sp|P21589|5NTD_HUMAN",21.00118481228,21.2117446248006,20.5202972835028,20.6708661157642,17.7451811740663,17.816868029707,20.2771336081059,20.2993824933843,19.2449414040371,19.4033549142452,19.2191411042114,19.0198393002134,19.6410312556282,19.4085223781439,18.8597578313867,19.0138171107266,18.7306988372219,18.7685829852006,17.8454350140681,17.6921409803522,17.8176951105713,18.2411194418343,18.3867623179297,18.2959345874502,14.7452806222914,14.1846871125319,20.4680928235071,20.5326280687709,18.0143530648975,17.9361100695417,17.9840894522388,17.8797262437373
