"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1","0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"746","sp|Q99963|SH3G3_HUMAN",21.1485586969719,21.2691136574965,23.1833242406634,23.2088286552705,21.1404097627221,20.8928388607324,23.2498547760884,23.1992250943191,23.7825180573066,23.6961930494831,22.4509507107086,22.4282410523516,20.6361861299812,20.6178235723179,18.1785437774603,18.1373783679686,18.5293031478653,18.7831264057944,23.1536612707393,23.1833242406634,23.1536612707393,23.1976198263549,22.9197642546732,22.9949127055607,21.4966060024707,21.5400269904963,23.3981283597395,23.332928576096,23.314671102262,23.5225765151788,20.724822628887,21.0294600029579
"747","sp|P20042|IF2B_HUMAN",22.7275136237453,23.3685339993923,21.0919383505132,21.2791274288825,21.8077465313359,21.947870708207,20.9506561663425,21.1518547040043,20.6924467358155,21.1133093880188,21.5836239855972,21.6374695337123,22.1949460627936,22.3034229433247,23.0424845478649,23.0082033151993,23.0387504855997,23.214110165075,21.8569134744906,21.6445637507083,21.4077040221591,21.3967441741021,21.4863725520179,21.4152587662282,22.9638655027432,22.8140525219629,20.9300790527315,20.7991479709455,21.1355757693139,21.1355757693139,22.5051606900467,22.5118409645715
"748","sp|O95861|BPNT1_HUMAN",20.8040983270311,20.7366436502321,21.4509762869823,21.409677032477,22.0785530827611,22.0539378976219,21.0826375071868,20.9661357694316,21.6608610895076,21.6287467238356,21.8543389450856,21.3589638860537,21.8264626374277,22.0880208511086,23.2088286552705,23.0602098374449,23.2380824241844,23.1431293312893,21.8719372610696,21.882780543733,22.1572745489492,22.0539378976219,22.5092456188779,22.4064575122717,22.308998765942,22.3116518388743,21.5945411925551,21.8002469709815,21.3913536439987,21.708427703161,22.6949290620186,22.4492202574322
"749","sp|Q9Y678|COPG1_HUMAN",23.3685339993923,23.8548436096286,21.3341255938272,21.2277130897209,21.8629020564282,22.010192986158,21.3182340295831,21.3426196787051,21.3485553802088,21.2691136574965,21.9832857642684,22.0075891590647,22.6376783932973,22.4831232194127,22.4927651619476,22.3946148779652,22.4343364853292,22.4464155305094,21.230783846061,21.3141302822947,21.2113344876074,21.2714895381562,21.1899068109766,21.2936080067802,23.5581604349639,23.5225765151788,21.379156228295,21.2526358116409,21.3989793958715,21.459969801937,22.5913418686917,22.8976236063628
"750","sp|Q9UHX1|PUF60_HUMAN",21.3398263341889,21.8748684594375,20.69689832296,20.6156858944493,20.5111922328109,20.4369034945515,20.4959809026954,20.4987244964428,20.30265546276,20.4134677717387,21.5767735162717,21.4291584535104,21.882780543733,21.7582963261289,23.2515832445044,23.1131615801079,23.1558296327543,23.3035204269675,20.6558409458509,20.657992267246,20.431879587366,20.4393443538441,20.644605061129,20.6834621870629,22.7865856205956,22.5879433412916,20.6073417533313,20.6124661109533,20.0106078450958,20.1533922219254,21.8343565384475,22.0051971347584
"751","sp|Q9Y697|NFS1_HUMAN",20.8928388607324,20.8795143773383,22.3322589601013,22.3450560641718,22.3139533464101,22.197375970406,22.5051606900467,22.5977110468573,22.6629305222165,22.6949290620186,22.1949460627936,21.9968456740909,21.2374019678126,21.0447931318912,21.3002548529948,21.2577647484609,21.5978148921735,21.610259045966,22.3257542323149,22.2340159655578,22.5977110468573,22.5218276872901,22.1599336971951,22.3758953183188,21.3426196787051,21.4170196232133,22.9334320509557,22.7629392299194,22.8854595286647,22.8281415352509,21.9114912498883,21.6353852463153
"752","sp|Q92896|GSLG1_HUMAN",21.7719411012999,21.5400269904963,20.6021408458258,20.6333458272117,20.9222984760519,21.0424498349546,20.9363816964837,20.9446812858643,20.5089191529327,20.4679409613987,20.844486287947,20.4446682257489,20.6766274915733,20.6415551433317,21.6144430455938,21.4836224897356,21.9304580637983,22.0393747138879,20.6740678924549,20.6415551433317,20.4747513038891,20.6198051918314,20.3960551897503,20.4522796413836,21.8077465313359,21.8748684594375,20.5392022961903,20.664168248633,20.9222984760519,20.9272353657247,21.708427703161,21.6870715776227
"753","sp|P21964|COMT_HUMAN",21.9002173661491,22.1684019380501,21.6575702327606,21.5767735162717,20.1808817435343,19.9906704425913,22.2094740407103,22.1622476005594,21.1163174437943,20.9713433316643,19.751702465436,19.254946643821,21.9509790788121,21.4291584535104,21.4328623143789,21.4270890736974,22.026641112106,22.0500318129539,22.7459075288424,22.7289377520326,22.1622476005594,22.1880789709473,22.9915607104673,23.1292684197294,19.2808848097236,18.7528298812948,21.370277259359,21.0244735651984,18.9991347565594,19.4334809726365,23.8351595804589,23.8574106259463
"754","sp|P16435|NCPR_HUMAN",22.4526811639851,22.4751733016609,21.2874690134692,21.3747921808878,21.0826375071868,21.3485553802088,21.4270890736974,21.453158096872,21.1601834215023,21.0294600029579,21.5995245597893,21.4236605349013,22.3597389439781,22.2312651644276,22.010192986158,22.1308472946129,22.4860440382359,22.3450560641718,21.2714895381562,21.2600628828211,21.0016616995007,20.7290343599517,20.8703766414092,20.9614966550909,22.9501109673568,22.7865856205956,21.4047845034494,21.2160171535611,20.630132420876,20.8520139375477,22.463623011886,22.5694428535348
