"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1","0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"994","sp|P29692|EF1D_HUMAN",25.7239146719682,23.7593562031137,22.3925649906868,22.526909950897,24.008803680334,23.7235908996969,22.7452980045864,22.8857600506909,22.3374632909917,22.3686905496472,24.0836222961085,24.4887301068226,25.0753338082735,25.2482522750689,26.1947230743753,26.2960708748186,26.2642039572371,26.2497708218294,23.5833395893849,23.4329652552363,23.057591950253,23.1043467560561,23.6280118426507,23.5537542069442,25.3532224213436,25.5510786049744,22.6670837440568,23.0871708195425,23.8619652063226,23.4840988281269,24.6100351773621,24.345023621072
"995","sp|Q16643|DREB_HUMAN",23.5191932659884,24.0043475802119,24.5360181132987,24.5150254845591,23.3101335140809,23.3561529057489,24.679459708532,24.6140516501268,24.5928358862099,24.5901413941813,24.1085780800755,24.1125165377112,23.9244142171162,23.7473695891024,24.3163406318717,24.1440292486634,24.4625613125464,24.5616571124514,24.2657869023434,24.3008850618601,24.2450827676208,24.2437914630515,24.1461195513008,24.129755886661,24.1924569778249,24.2156398650471,24.6369752806217,24.5145944164021,24.4937939208885,24.4298243484553,23.5490664951898,23.7069789629059
"996","sp|P30040|ERP29_HUMAN",26.5963077237224,26.7020484086441,24.7259675511733,24.6311312813933,24.7896793516596,24.8194249917768,24.3650614196755,24.4089253021089,24.7753179641257,24.6232629988467,24.5033282429888,24.4329306377813,25.3010185233397,25.2810261569631,26.4178535028943,26.2815186367121,26.1806768617271,26.1287571099516,24.3137466375453,24.3361600568926,24.5750265555033,24.6311743145456,24.4682330338071,24.4545726996519,25.4999743865013,25.4185979296002,24.4913718262763,24.4851950202805,24.2061657443258,24.2452141141853,24.6986943116786,24.851243107419
"997","sp|Q8TB36|GDAP1_HUMAN",22.3414794482303,24.0784757057094,24.4245325240808,24.3578462651689,22.3030266242428,23.9262937308344,24.1607569829788,24.3903833041484,24.6391652584478,24.6556015130257,23.6811105224488,23.9449850445531,23.9347386125539,23.9260094635928,21.3263227750393,21.0269771039922,20.9204502202209,20.9548838839042,24.2034421655391,24.3400252377851,24.2686575775739,24.3781818915566,24.5481458445504,24.0718749861354,23.3602639995932,23.675099887591,24.2002168968393,24.2901725801947,24.7469606854167,24.6317941332149,22.820681714053,22.9589948068492
"998","sp|P63241|IF5A1_HUMAN",24.0328357676866,22.2370907975088,21.8191912404645,21.9864097702312,21.8121769456378,22.0964500970285,21.6447663657567,21.4995615471455,22.0363427045814,22.0194765960571,22.1886226763034,22.3199020984549,23.1323596631352,23.7848067811082,24.7717667142147,25.0656627524854,25.4974006870588,25.5160888917429,22.5070146087898,22.286844417878,22.7068270504934,22.7058709976382,23.0000371217952,22.9712767362676,22.1647949463862,22.0406963867506,22.6380035860625,22.3322008104318,22.1032704620371,22.2022789258435,23.1056260726949,22.5559467844829
"999","sp|Q86T65|DAAM2_HUMAN",19.4992710335945,20.1695844932436,22.7298030615406,22.75296070596,19.9664696150272,20.0151305863741,22.1281128775128,22.105258389108,20.2512155272541,20.4876147075559,22.7169782597729,22.7154662500051,21.3621521715649,21.272405209583,21.7705481299513,21.6119657430361,20.4790590749692,20.4874006364536,22.9102556712372,23.0150592018419,22.4826076625514,22.4691118681122,22.794699017096,22.6848036009567,18.2657851111349,18.4590455046834,21.8431117604712,21.6925274770809,18.1542330669911,18.2407732453114,20.5811332547198,20.8728759390418
"1000","sp|P25789|PSA4_HUMAN",24.3778091940712,24.2553689592966,22.4291133831869,22.3193413744031,22.5241799746737,22.644050325169,22.0825870958645,21.9484433126529,22.2785615314098,22.4340718137064,22.5235386006492,22.7893785788591,23.1774275945117,23.5877176007098,23.9272916667399,24.5776040625251,24.5101306499484,24.498921998041,22.8448167728566,22.8122616704894,22.6667599988991,22.7468900214486,22.8823760348986,22.7324195458491,23.690708539267,23.4922335055813,22.3594341825879,22.4194613684009,22.5875740961939,22.5561124318816,23.5346729941373,23.4934494636467
"1001","sp|Q13363|CTBP1_HUMAN",22.2628826486498,19.941115734764,22.7005911836292,22.6785264815295,22.0702922859724,21.9672268617448,23.0134868822312,23.0662798739591,22.9478467188769,23.0454833011093,22.0097053566721,22.160535047988,22.3099721109349,22.2598696190885,21.7630446054372,21.8067612295395,22.0229720387595,21.8363927026386,22.8669697132036,22.9332182950905,22.6715562922752,22.7361988594503,22.5701652491641,22.5533882120409,22.0006099322751,22.0380381289832,22.9007254107719,22.855073243622,23.1952551864646,23.1307263509882,21.6255497708792,21.8291711347728
"1002","sp|P21912|SDHB_HUMAN",22.9536033233614,21.8389593856448,23.8086237087977,23.743218471225,24.6033728564434,24.5819897716873,23.8768328261291,23.8701718388897,23.7304182195723,23.6816670133707,23.0339715797969,22.8695135295837,22.8289948366762,22.5526067447246,22.7478676931454,22.5604168189561,22.5390924305589,22.6199863307783,23.3697967065193,23.3257228724415,23.4689229456987,23.465297997157,23.2673545643746,23.1870243160961,23.2039504539556,23.238856502605,23.7161408031382,23.7142277748443,24.0235647392666,24.1349024079024,22.9112700892374,23.1983233053048
