"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1","0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"1862","sp|P07108|ACBP_HUMAN",5160504.72022867,5888772.00884375,6842680.41257594,6162019.89316357,14971598.6084125,17016720.6184903,4757034.9436254,4852792.95772453,6580773.28369337,5853044.09305114,38334389.7045331,37324197.8833028,13085706.0109464,10881116.9343454,16600382.6373661,18350754.2241242,12892958.5137161,13001096.1321135,10914144.511897,11419601.7731225,10149318.5224368,10364959.740748,10607384.499654,11808383.3443262,17842970.9264157,19664776.5356793,8891935.83691205,8734824.74691681,11832245.7940242,11665231.8411274,17599749.6554479,17305794.1187942
"1863","sp|P30531|SC6A1_HUMAN",1656376.79232802,975251.256193241,7882499.49487914,7119846.81956205,521377.551542129,625203.403525271,14151183.9443441,14106996.0258323,10058609.1727285,10250191.3070478,2329149.06414745,599751.188243699,3549214.33097311,5163721.20755123,7570253.5726729,7599820.89162774,6478002.51966421,6302631.07529999,9746584.86643825,9592465.48942286,11656643.0554719,11253384.8613835,8307881.56616253,8731047.07883509,4652264.16794575,2673517.11144169,8368880.78768193,10054147.2347324,10615530.4174643,9977885.05580581,5198868.19361123,4376603.92444202
"1864","sp|O75348|VATG1_HUMAN",2212564.50246778,231281.320315282,62088.174738713,46972.5609298866,49669.5501448658,47345.8235092821,73919.7785211145,46618.8709248067,96936.1037336023,89365.5261066221,792163.724057192,819330.473946868,15254.4489960852,622726.061084065,1173271.28305979,3529495.80818244,2594304.6626816,2563564.91476953,1202182.14039064,980524.894926212,1283819.7536051,1086633.62879597,1489629.88800413,1361403.34351854,116887.717658995,76774.7037602719,50498.4880522073,52528.2870692342,1811732.53585665,2057819.24508312,441622.91196168,42698.6030987891
"1865","sp|Q92734|TFG_HUMAN",6960163.98485487,5037559.26612657,3421340.20628797,3320466.6781814,5435487.62355934,5243552.56580775,4711869.99916713,5037878.47661658,5473755.90695383,5321593.47683326,6008178.38638356,5921627.54879324,3632267.26509463,4136347.78907364,8750725.88442027,9641126.88316513,7984344.66370288,7886004.10521416,6193142.46721597,6191961.85031529,5675501.17370902,5364251.02618415,6245283.25933421,5884856.0863834,7484611.72697526,7650737.86723871,3719736.5523146,4253182.32068202,6909850.40654725,6246623.35205234,9581042.79731051,7668587.71166993
"1866","sp|P23763|VAMP1_HUMAN",776519.954307126,996192.382067953,9693797.25114924,8875862.8512926,4393058.41569667,4905672.98862044,21140837.5524817,22176936.9838412,12516352.4605236,11941970.454813,6524218.24779073,6549678.95548343,2204810.8528033,2220803.73627498,615907.357578224,566886.769231845,581613.706293067,599971.98186585,9898875.25497635,10658294.9882476,11154201.5444602,12043096.0797262,6404356.35577854,5508433.27498223,8240823.76309748,7892267.72247614,15358798.2637572,15922857.6115671,16178966.4350301,16638579.2394645,10786764.9519005,10971670.6849245
"1867","sp|Q9NR31|SAR1A_HUMAN",2298040.31218875,2291738.29073091,1671781.55306303,1547515.61826258,1095410.63621701,1147276.56640696,2426501.91191019,2253584.64066978,2040021.90580165,2163890.51682975,4128318.89125741,3892104.23027254,2921531.9033666,2944996.2616977,4982744.00916442,4151377.91651759,3597302.69288889,3874879.53748035,1667453.28798482,2172882.39629628,1633233.23342549,1910790.28251679,1783657.30153511,1612544.20007776,4447305.51342028,4390404.74100197,1952353.01668303,1993018.08701409,2297179.54301312,2477569.85379119,3933734.66266791,3780967.96518191
"1868","sp|P13716|HEM2_HUMAN",12883124.4330251,10117527.7089648,5031382.65630584,4565641.68249943,9233388.09790056,10413607.4409411,4680257.46940393,4747600.33666514,4612890.18224653,4594541.47226505,6745378.18839381,7267451.99170079,7137657.82415258,7609337.27564843,5848272.71294867,7755080.81518276,5762286.8147481,5834441.41066059,5482453.98737152,5379901.27978214,5786567.49561889,5549329.89335518,6557516.48960999,5676165.30018292,5923145.96979472,8495767.45709749,4721476.36740425,4958832.7990309,5175026.10534822,5275090.49376988,8666559.2807409,8217264.09846022
"1869","sp|P52790|HXK3_HUMAN;sp|Q2TB90|HKDC1_HUMAN",15215971.5074899,14424042.6333132,9995680.21052759,10152965.4198239,12581587.2466458,13678228.3177905,31396148.9939294,36530343.420605,8954995.35244971,9230771.60606788,28640212.3080983,28621199.8191673,4879422.56401999,4285960.63487022,4474377.80956623,5921527.42314698,5779989.08060888,7755657.52535287,42133674.162207,40095490.6700744,7850802.84905319,8316102.49967938,6061371.01453934,6300181.16727823,30420802.8909383,30514308.4174334,9177238.59103757,8643836.98913643,51272870.557375,52451140.2691691,13962468.0599887,13796227.4793184
"1870","sp|Q9NRV9|HEBP1_HUMAN",3369867.74966906,4614230.23588265,2863674.00475065,2906537.66381861,4258363.64791983,4944723.25343903,2148607.43391582,2237808.03607837,2678959.40352257,2996066.13784102,3722859.00015177,3682066.0476276,2024763.20116552,2145955.40737724,9993521.83225353,10015208.8462362,7267754.97353733,8166836.67209217,2264147.97934293,2469885.33546857,3696087.92381214,3614800.49873368,4581161.65745918,4413742.26768706,5049836.92286405,5795611.41001124,2488917.24832393,2591315.94736658,2736992.90831864,2404362.40601536,5315449.17351219,4467343.77232605
