"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1","0",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"994","sp|P29692|EF1D_HUMAN",25.0624634164029,23.2979185079784,22.4378150550616,22.5798676416638,23.8978906259307,23.636109959693,22.7872060774874,22.9262371886064,22.3567181267806,22.3847674477461,24.007223743631,24.4248845485988,24.7417803076049,24.8999098874511,25.0102302333922,25.080961341789,25.0612343381841,25.0720167076012,23.6205187824329,23.4755666702382,23.1351036112052,23.1804674580317,23.6939867043217,23.6093749408182,25.0620019461009,25.2152019847438,22.7269853868854,23.1749197892731,23.9695918474513,23.5581197717177,24.4344497336332,24.1669736743612
"995","sp|Q16643|DREB_HUMAN",23.076407260566,23.5188583723331,24.7093935749155,24.6874366338236,23.1970820847362,23.2633891677099,24.7930782616971,24.7162186890803,24.7319736816948,24.7221298825425,24.0315630282609,24.0540161237451,23.6526658748126,23.4850286850493,23.5118454503403,23.3743671991125,23.6213039768193,23.7181639747364,24.3195759859003,24.3680869638677,24.3684258417479,24.3633186549901,24.2260863873411,24.2000956356079,23.9458369458649,23.9467876770839,24.8195943915612,24.6934486962524,24.6353182146278,24.5468976503811,23.40823813471,23.5511256305336
"996","sp|P30040|ERP29_HUMAN",25.8493151288398,25.9556138869726,24.9109733024063,24.8106670834056,24.6819533020778,24.7488594297329,24.4667506095571,24.5036070844784,24.9244483621006,24.7570305384781,24.4166132487695,24.3698723111722,24.9554368447206,24.9308208215335,25.188339453831,25.0694131940442,24.994442001798,24.9749208481896,24.3687172794388,24.404375181301,24.7113339915774,24.7657290913522,24.5570015677628,24.5333263121633,25.2031754948204,25.0893223666684,24.6647606537015,24.6621511827449,24.3322086567168,24.3538040836389,24.5202398255908,24.6557915747537
"997","sp|Q8TB36|GDAP1_HUMAN",22.0190481229137,23.5857276525152,24.5910936701973,24.520627983403,22.1890145894283,23.8418281841297,24.2547328101946,24.4843899270628,24.7808378447942,24.7911068062442,23.6147202697162,23.888896530952,23.6624312054407,23.6533381488626,21.1372494291099,20.9152328481566,20.8046091070649,20.8391933807169,24.2556976992813,24.4083514344875,24.3929245510174,24.5029112770233,24.6391077310313,24.1407229737979,23.146471228773,23.4338301858189,24.3551981376535,24.4545541594275,24.9021673127893,24.7581815728673,22.7044132034866,22.8297361097477
"998","sp|P63241|IF5A1_HUMAN",23.5385877716814,21.9282785262029,21.8321505636712,22.0084902713887,21.6991919113389,21.9883983936168,21.6494663810908,21.4953660345565,22.0405694938777,22.0184812962555,22.1610441544723,22.288928825285,22.9038806292008,23.5202981194847,23.8749200573674,24.1048707658662,24.4481637091403,24.4834294419283,22.5192113832893,22.2985873807652,22.7711883379099,22.7672557034535,23.0494422349654,23.0123869600757,22.0006863993295,21.8863029446787,22.6961485395244,22.3732717080222,22.1203308291988,22.2207012965376,22.979657394131,22.4413983630337
"999","sp|Q86T65|DAAM2_HUMAN",19.5056804606833,20.088838311626,22.7946084828654,22.8191232829273,19.8768697409564,19.9064357478631,22.1486115692,22.1197003163388,20.179537151318,20.4213153307467,22.6752507885145,22.677990461898,21.2353898421835,21.1597772080235,21.4883680313737,21.3743480445443,20.4571175339937,20.4696519119681,22.9315773481078,23.0461261542522,22.5387007267512,22.5219038375697,22.8388127487477,22.7189702761217,18.3580336992285,18.5727886627257,21.8544090611637,21.6956263928287,18.0931714114445,18.2017091807931,20.5496668093343,20.8253313835219
"1000","sp|P25789|PSA4_HUMAN",23.849224094381,23.7453303543024,22.4764655365443,22.3603126667524,22.4100822228557,22.541963618978,22.1015556829766,21.957898537014,22.2948473972995,22.4533991899097,22.4869250461065,22.750723001607,22.9464628349752,23.3346393224481,23.2018529469096,23.717936033393,23.6592954154121,23.6678853487454,22.8646351218346,22.8378334865113,22.7296351515494,22.8097768270937,22.9287400820565,22.7677297093167,23.4637613734458,23.26038535314,22.4008850654233,22.4658423123231,22.6287224147966,22.5894029765061,23.394323120065,23.3451128383136
"1001","sp|Q13363|CTBP1_HUMAN",21.9486503694055,19.8885844814752,22.7636894917168,22.740325013457,21.9566080768936,21.8579760983675,23.0650088443515,23.1129997426443,22.9985458415529,23.0958551442954,21.9870636208529,22.1322851265749,22.1275669274867,22.0854556120291,21.4824299211786,21.5275827541126,21.677405153468,21.5393675129819,22.8872960860892,22.9620586187906,22.7346091559667,22.798693801972,22.6085841766181,22.584423222012,21.8436952713558,21.8837927097435,22.9748250014038,22.9283129580755,23.2676810337395,23.1890023344331,21.551986579217,21.7421679948258
"1002","sp|P21912|SDHB_HUMAN",22.5681113047323,21.5714799061273,23.9377362508699,23.8685616023557,24.4948306324952,24.5076494690328,23.9601505716906,23.9453542325391,23.8227237934669,23.765255319616,22.9840006777717,22.8295898761744,22.6173418541513,22.3605297831069,22.2634569543179,22.1217073226505,22.0876176030349,22.164277899945,23.4018762130899,23.3653404326461,23.5621211696419,23.5550013327587,23.3237495299944,23.2334549484111,22.9964481811816,23.0201558290538,23.840702134411,23.8416811584864,24.1398209873009,24.2384387938626,22.7919029704047,23.0604694539781
