"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1",1,"Loess-G",1e-06,10,0,1,11,1
"2",1,"Loess-G",2e-06,10,0,1,11,1
"3",1,"Loess-G",3e-06,10,0,1,11,1
"4",1,"Loess-G",4e-06,10,0,1,11,1
"5",1,"Loess-G",5e-06,10,0,1,11,1
"6",1,"Loess-G",6e-06,10,0,1,11,1
"7",1,"Loess-G",7e-06,10,0,1,11,1
"8",1,"Loess-G",8e-06,10,0,1,11,1
"9",1,"Loess-G",9e-06,10,0,1,11,1
"10",1,"Loess-G",1e-05,10,0,1,11,1
"11",1,"Loess-G",2e-05,10,0,1,11,1
"12",1,"Loess-G",3e-05,10,0,1,11,1
"13",1,"Loess-G",4e-05,10,0,1,11,1
"14",1,"Loess-G",5e-05,10,0,1,11,1
"15",1,"Loess-G",6e-05,10,0,1,11,1
"16",1,"Loess-G",7e-05,10,0,1,11,1
"17",1,"Loess-G",8e-05,10,0,1,11,1
"18",1,"Loess-G",9e-05,10,0,1,11,1
"19",1,"Loess-G",1e-04,10,0,1,11,1
"20",4,"Loess-G",2e-04,16,0,0,16,4
"21",4,"Loess-G",3e-04,16,0,0,16,4
"22",4,"Loess-G",4e-04,16,0,0,16,4
"23",4,"Loess-G",5e-04,16,0,0,16,4
"24",6,"Loess-G",6e-04,22,3,0,25,6
"25",6,"Loess-G",7e-04,22,3,0,25,6
"26",6,"Loess-G",8e-04,22,3,0,25,6
"27",7,"Loess-G",9e-04,19,0,0,19,7
"28",7,"Loess-G",0.001,19,0,0,19,7
"29",7,"Loess-G",0.002,19,0,0,19,7
"30",8,"Loess-G",0.003,16,0,0,16,8
"31",10,"Loess-G",0.004,16,3,2,21,10
"32",11,"Loess-G",0.005,18,3,2,23,11
"33",12,"Loess-G",0.006,11,3,0,14,12
"34",12,"Loess-G",0.007,11,3,0,14,12
"35",12,"Loess-G",0.008,11,3,0,14,12
"36",12,"Loess-G",0.009,11,3,0,14,12
"37",13,"Loess-G",0.01,8,3,0,11,13
"38",16,"Loess-G",0.02,7,3,0,10,16
"39",17,"Loess-G",0.03,7,0,1,8,17
"40",24,"Loess-G",0.04,10,2,1,13,24
"41",28,"Loess-G",0.05,19,2,1,22,28
"42",33,"Loess-G",0.06,14,2,1,17,33
"43",38,"Loess-G",0.07,12,2,1,15,38
"44",43,"Loess-G",0.08,11,2,1,14,43
"45",45,"Loess-G",0.09,11,2,1,14,45
"46",51,"Loess-G",0.1,11,2,1,14,51
