"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1",0,"MedI-G",1e-06,0,0,0,0,0
"2",0,"MedI-G",2e-06,0,0,0,0,0
"3",0,"MedI-G",3e-06,0,0,0,0,0
"4",0,"MedI-G",4e-06,0,0,0,0,0
"5",0,"MedI-G",5e-06,0,0,0,0,0
"6",0,"MedI-G",6e-06,0,0,0,0,0
"7",0,"MedI-G",7e-06,0,0,0,0,0
"8",0,"MedI-G",8e-06,0,0,0,0,0
"9",0,"MedI-G",9e-06,0,0,0,0,0
"10",0,"MedI-G",1e-05,0,0,0,0,0
"11",0,"MedI-G",2e-05,0,0,0,0,0
"12",0,"MedI-G",3e-05,0,0,0,0,0
"13",0,"MedI-G",4e-05,0,0,0,0,0
"14",0,"MedI-G",5e-05,0,0,0,0,0
"15",0,"MedI-G",6e-05,0,0,0,0,0
"16",0,"MedI-G",7e-05,0,0,0,0,0
"17",0,"MedI-G",8e-05,0,0,0,0,0
"18",0,"MedI-G",9e-05,0,0,0,0,0
"19",0,"MedI-G",1e-04,0,0,0,0,0
"20",1,"MedI-G",2e-04,9,1,0,10,1
"21",1,"MedI-G",3e-04,9,1,0,10,1
"22",1,"MedI-G",4e-04,9,1,0,10,1
"23",1,"MedI-G",5e-04,9,1,0,10,1
"24",1,"MedI-G",6e-04,9,1,0,10,1
"25",1,"MedI-G",7e-04,9,1,0,10,1
"26",1,"MedI-G",8e-04,9,1,0,10,1
"27",1,"MedI-G",9e-04,9,1,0,10,1
"28",1,"MedI-G",0.001,9,1,0,10,1
"29",1,"MedI-G",0.002,9,1,0,10,1
"30",1,"MedI-G",0.003,9,1,0,10,1
"31",1,"MedI-G",0.004,9,1,0,10,1
"32",1,"MedI-G",0.005,9,1,0,10,1
"33",2,"MedI-G",0.006,0,0,0,0,2
"34",2,"MedI-G",0.007,0,0,0,0,2
"35",2,"MedI-G",0.008,0,0,0,0,2
"36",2,"MedI-G",0.009,0,0,0,0,2
"37",3,"MedI-G",0.01,0,0,0,0,3
"38",4,"MedI-G",0.02,0,0,0,0,4
"39",6,"MedI-G",0.03,0,0,0,0,6
"40",10,"MedI-G",0.04,0,0,0,0,10
"41",10,"MedI-G",0.05,0,0,0,0,10
"42",19,"MedI-G",0.06,0,0,0,0,19
"43",22,"MedI-G",0.07,0,0,0,0,22
"44",25,"MedI-G",0.08,0,0,0,0,25
"45",31,"MedI-G",0.09,0,0,0,0,31
"46",51,"MedI-G",0.1,0,0,0,0,51
