"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1",1,"Quantile",1e-06,10,0,1,11,1
"2",1,"Quantile",2e-06,10,0,1,11,1
"3",1,"Quantile",3e-06,10,0,1,11,1
"4",1,"Quantile",4e-06,10,0,1,11,1
"5",1,"Quantile",5e-06,10,0,1,11,1
"6",1,"Quantile",6e-06,10,0,1,11,1
"7",1,"Quantile",7e-06,10,0,1,11,1
"8",1,"Quantile",8e-06,10,0,1,11,1
"9",1,"Quantile",9e-06,10,0,1,11,1
"10",1,"Quantile",1e-05,10,0,1,11,1
"11",1,"Quantile",2e-05,10,0,1,11,1
"12",1,"Quantile",3e-05,10,0,1,11,1
"13",1,"Quantile",4e-05,10,0,1,11,1
"14",1,"Quantile",5e-05,10,0,1,11,1
"15",1,"Quantile",6e-05,10,0,1,11,1
"16",1,"Quantile",7e-05,10,0,1,11,1
"17",1,"Quantile",8e-05,10,0,1,11,1
"18",1,"Quantile",9e-05,10,0,1,11,1
"19",1,"Quantile",1e-04,10,0,1,11,1
"20",1,"Quantile",2e-04,10,0,1,11,1
"21",1,"Quantile",3e-04,10,0,1,11,1
"22",1,"Quantile",4e-04,10,0,1,11,1
"23",2,"Quantile",5e-04,0,0,0,0,2
"24",2,"Quantile",6e-04,0,0,0,0,2
"25",2,"Quantile",7e-04,0,0,0,0,2
"26",2,"Quantile",8e-04,0,0,0,0,2
"27",2,"Quantile",9e-04,0,0,0,0,2
"28",3,"Quantile",0.001,0,0,0,0,3
"29",4,"Quantile",0.002,14,3,0,17,4
"30",7,"Quantile",0.003,11,0,1,12,7
"31",7,"Quantile",0.004,11,0,1,12,7
"32",7,"Quantile",0.005,11,0,1,12,7
"33",7,"Quantile",0.006,11,0,1,12,7
"34",8,"Quantile",0.007,15,3,2,20,8
"35",9,"Quantile",0.008,19,3,2,24,9
"36",12,"Quantile",0.009,13,3,2,18,12
"37",12,"Quantile",0.01,13,3,2,18,12
"38",17,"Quantile",0.02,7,0,1,8,17
"39",18,"Quantile",0.03,7,0,1,8,18
"40",23,"Quantile",0.04,5,0,0,5,23
"41",24,"Quantile",0.05,5,0,0,5,24
"42",27,"Quantile",0.06,6,2,1,9,27
"43",34,"Quantile",0.07,5,0,1,6,34
"44",34,"Quantile",0.08,5,0,1,6,34
"45",35,"Quantile",0.09,5,2,1,8,35
"46",41,"Quantile",0.1,11,2,1,14,41
