"","0","  1.000000","  1.000000","  1.000000","  1.000000"," 1.000000","  1.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000","  2.000000"," 2.000000"," 2.000000","  2.000000","  2.000000","pVal","BHpVal"
"1","sp|P13671|CO6_HUMAN"," 20.038442"," 20.253922"," 19.517043"," 19.440268","19.409246"," 19.641737"," 16.838552"," 16.155423"," 15.837111"," 16.203566"," 16.130114"," 16.882664"," 20.570599"," 20.268298"," 17.941439"," 17.783933"," 15.889604"," 16.081496"," 16.155423"," 16.393007"," 15.744208"," 16.120155"," 15.927499"," 15.934670"," 17.753075"," 18.112632"," 17.172353"," 17.586946","17.793556","17.989577"," 15.626058"," 16.762427","2.89192206691665e-10","8.90422804403637e-07"
"2","sp|P01042|KNG1_HUMAN"," 23.765589"," 24.153354"," 23.251583"," 23.402502","23.212825"," 23.323376"," 19.698808"," 19.904462"," 20.498724"," 20.638824"," 22.919764"," 22.867053"," 24.937036"," 25.016216"," 21.242744"," 21.342620"," 20.932732"," 20.839755"," 20.799148"," 20.905924"," 20.283710"," 20.382087"," 20.713838"," 20.647079"," 22.002726"," 21.813050"," 21.419403"," 21.372352","22.475173","22.434336"," 21.706172"," 21.947871","3.11833577012617e-07","0.000480067791810923"
"3","sp|Q8IUD2|RB6I2_HUMAN"," 19.302651"," 19.694343"," 19.286341"," 19.484560","19.473087"," 19.264093"," 20.200871"," 20.133981"," 20.288526"," 20.400819"," 19.502087"," 19.577115"," 19.377273"," 19.291330"," 19.815981"," 19.783086"," 20.452280"," 20.522495"," 20.455118"," 20.310460"," 20.239933"," 20.163812"," 20.006926"," 19.892436"," 21.142539"," 21.224874"," 21.192458"," 21.116317","19.548164","19.935206"," 20.732030"," 20.489982","9.67613350500569e-07","0.000993093835397084"
"4","sp|P0C0L4|CO4A_HUMAN"," 24.626365"," 24.480295"," 24.059276"," 24.068458","23.765589"," 23.733300"," 20.809910"," 21.015685"," 21.657570"," 21.725541"," 23.433440"," 23.381847"," 25.213566"," 24.880851"," 22.686128"," 22.511841"," 22.442971"," 22.341736"," 22.034397"," 22.034397"," 21.927808"," 22.050032"," 22.037462"," 22.047410"," 23.387555"," 23.394479"," 22.388107"," 22.554176","22.929954","22.980441"," 22.850797"," 22.909157","2.42646412745859e-06","0.00186777076211125"
"5","sp|Q01433|AMPD2_HUMAN"," 19.504673"," 19.674778"," 19.466425"," 19.798131","19.202715"," 19.646454"," 20.129112"," 20.310460"," 20.630132"," 20.644605"," 19.810320"," 19.857753"," 19.724927"," 19.785578"," 20.799148"," 20.774268"," 20.832102"," 20.922298"," 20.398591"," 20.324255"," 20.575886"," 20.607342"," 20.572796"," 20.531966"," 19.910330"," 19.778314"," 20.357415"," 20.549565","20.542228","20.767598"," 20.101815"," 20.098625","4.92583717970344e-06","0.00253591729788345"
"6","sp|P07358|CO8B_HUMAN"," 18.163846"," 18.855449"," 18.128815"," 18.088434","16.645328"," 16.855078"," 13.167576"," 12.580058"," 12.917886"," 13.620131"," 16.637225"," 16.727479"," 19.514195"," 19.081025"," 15.029167"," 14.506064"," 14.393468"," 13.942470"," 14.307880"," 14.680295"," 12.685281"," 12.118809"," 13.167576"," 13.059341"," 14.494481"," 14.435395"," 13.577012"," 13.864688","16.393007","16.107275"," 13.418214"," 13.288482","4.94170308129285e-06","0.00253591729788345"
"7","sp|P06681|CO2_HUMAN"," 19.854605"," 19.380781"," 18.675962"," 18.897039","19.118226"," 19.396405"," 17.527621"," 17.440974"," 16.211316"," 16.166481"," 18.725114"," 18.923375"," 20.434469"," 19.584769"," 17.749596"," 17.560040"," 16.939324"," 16.779190"," 17.510809"," 17.573393"," 16.785239"," 16.855078"," 17.666865"," 17.411101"," 17.595696"," 17.462741"," 17.417474"," 17.510809","17.958310","18.045576"," 17.138249"," 17.931133","5.903387895307e-06","0.00259664733280718"
"8","sp|P19827|ITIH1_HUMAN"," 23.167812"," 22.944969"," 22.797517"," 22.814053","22.234016"," 22.062733"," 21.185116"," 21.407704"," 20.398591"," 20.446810"," 21.869059"," 21.494520"," 23.656067"," 23.705276"," 20.867445"," 20.822436"," 20.883845"," 20.484978"," 20.556396"," 20.553898"," 20.371472"," 20.460427"," 20.844486"," 20.623477"," 21.434197"," 21.131398"," 20.870377"," 20.846568","21.633046","21.679737"," 21.455455"," 21.140410","1.57604349045642e-05","0.00606579738389416"
"9","sp|Q9Y6X5|ENPP4_HUMAN"," 18.762527"," 18.973917"," 18.078977"," 18.249554","18.792334"," 18.970254"," 17.405997"," 17.704682"," 17.074434"," 17.320355"," 17.639061"," 17.527621"," 17.196900"," 17.601357"," 16.933101"," 16.806116"," 15.477115"," 15.805372"," 16.675349"," 16.756065"," 17.395203"," 17.405997"," 17.527621"," 17.378437"," 18.225124"," 18.287888"," 17.601357"," 17.483982","17.778438","17.922267"," 17.981663"," 17.899371","2.28913776302822e-05","0.00783139463595989"
"10","sp|Q9NXD2|MTMRA_HUMAN"," 17.634245"," 17.927274"," 17.462741"," 17.666865","17.582136"," 17.178712"," 17.671578"," 17.688180"," 16.697233"," 16.623909"," 17.074434"," 16.939324"," 15.984124"," 15.992691"," 15.296220"," 14.758415"," 14.435395"," 14.359722"," 16.183594"," 16.081496"," 17.265449"," 17.421556"," 17.446116"," 17.479971"," 13.739544"," 13.524772"," 17.226356"," 17.473727","16.766783","16.682353"," 16.081496"," 16.523199","2.82013368197189e-05","0.0082021387077078"
"11","sp|P08514|ITA2B_HUMAN"," 20.472064"," 20.534300"," 15.296220"," 15.371587","10.626867","  9.735406","-15.898792"," -1.190501","-14.741687","-12.456845","  4.452973"," -1.190501"," 16.515961"," 16.545925"," 12.238338"," 10.719369","  9.336422","  9.492989"," -6.028507"," -2.263371","-13.534427","-16.609640","-16.609640","-16.609640"," 11.185792"," 10.626867","  1.273200","-11.379262","11.185792","12.118809"," -1.190501"," -2.619810","3.03006998087602e-05","0.0082021387077078"
"12","sp|Q9P0M6|H2AW_HUMAN"," 17.211144"," 17.545122"," 15.183924"," 13.548520","16.461203"," 15.421795"," 16.746201"," 13.506404"," 14.418217","-12.456845","-16.609640"," -9.135082"," -9.135082","  9.850885"," 17.127089"," 17.390506"," 16.762427"," 16.806116","-16.609640","-16.609640"," 14.293731"," 13.524772"," 10.144555","-16.609640","-14.741687","  6.251819"," 11.924135","-11.379262","11.924135"," 9.028989"," -7.229638","-16.609640","3.1966763394769e-05","0.0082021387077078"
"13","sp|P12955|PEPD_HUMAN"," 22.434336"," 21.959351"," 22.680142"," 22.682796","22.146325"," 22.341736"," 22.712099"," 22.552779"," 22.597711"," 22.571772"," 22.569443"," 22.484584"," 23.398128"," 23.385748"," 24.440189"," 24.350475"," 24.651651"," 24.582112"," 23.024924"," 23.265314"," 23.368534"," 23.398128"," 23.603751"," 23.455096"," 23.029736"," 23.259170"," 22.543601"," 22.475173","22.617187","22.574159"," 24.686824"," 24.870085","6.30925171404525e-05","0.0149432200211887"
"14","sp|Q9NVA2|SEP11_HUMAN"," 23.308630"," 23.108900"," 23.769464"," 23.977796","23.728301"," 23.251583"," 24.723443"," 24.846457"," 25.244919"," 25.220621"," 24.642217"," 24.619344"," 24.469917"," 24.384161"," 24.125811"," 24.193206"," 24.014595"," 24.180852"," 25.059418"," 25.132319"," 24.832643"," 25.112812"," 24.662214"," 24.874574"," 23.610158"," 23.760927"," 24.492090"," 24.648613","25.624916","25.329708"," 23.950170"," 23.383941","7.19542904112533e-05","0.0153088304832561"
"15","sp|P28676|GRAN_HUMAN"," 19.846546"," 20.096166"," 19.614918"," 19.436567","19.844554"," 19.794912"," 19.577115"," 19.508426"," 19.023468"," 19.087517"," 19.649958"," 19.592665"," 19.812712"," 19.735801"," 17.826600"," 17.457833"," 17.241659"," 17.307947"," 19.081025"," 19.181343"," 19.218298"," 19.283591"," 19.430177"," 19.534939"," 18.843535"," 18.792334"," 19.118226"," 18.982954","18.236875","18.665204"," 19.528616"," 19.361927","7.45802069661711e-05","0.0153088304832561"
"16","sp|P49327|FAS_HUMAN"," 24.849767"," 24.970543"," 25.182340"," 25.139029","24.667477"," 24.741668"," 25.179396"," 25.124687"," 24.835201"," 24.902101"," 25.374752"," 25.362003"," 25.428862"," 25.535304"," 26.402182"," 26.283969"," 26.627844"," 26.574051"," 25.539492"," 25.561687"," 25.260848"," 25.312610"," 25.571022"," 25.463527"," 26.814356"," 26.721409"," 25.075309"," 24.995859","24.942028","24.953287"," 27.083340"," 27.130178","8.34822730555802e-05","0.0160651199211332"
"17","sp|Q96K76|UBP47_HUMAN"," 18.673274"," 18.633055"," 18.586130"," 18.883630","18.389227"," 18.316411"," 18.862454"," 18.552336"," 19.158712"," 19.178275"," 19.246139"," 18.855449"," 18.358991"," 18.489050"," 19.685044"," 19.660920"," 19.514195"," 19.341823"," 18.977097"," 18.843535"," 18.876639"," 18.979641"," 18.883630"," 19.126979"," 20.283710"," 20.377549"," 19.977572"," 19.798131","18.956624","19.129682"," 19.785578"," 18.679887","9.74071960962212e-05","0.017642162163545"
