"","0","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"1","1::Q61805","7.695574e+06","8.193580e+06","7.797447e+06","7.604944e+06","1.138556e+06","1.307492e+06","1.276400e+06","1.65202945304959e-06","0.000493956806461828"
"2","1::P10922","1.818367e+04","2.102529e+04","2.466945e+04","1.945575e+04","2.601249e+03","6.231492e+03","1.270854e+03","0.000494211718633245","0.063221686569757"
"3","1::P05366","4.833833e+05","6.145244e+05","4.451114e+05","4.064968e+05","4.602664e+04","1.845581e+04","1.022166e+05","0.000679183291760838","0.063221686569757"
"4","1::O08692","4.745478e+05","3.335707e+05","3.786764e+05","4.094678e+05","1.603561e+05","6.230238e+04","9.850381e+04","0.000971001002331356","0.063221686569757"
"5","1::P27656","6.871643e+05","7.462743e+05","9.242823e+05","6.979008e+05","1.437982e+06","1.426040e+06","1.447558e+06","0.00105721883895915","0.063221686569757"
"6","1::P05367","4.041751e+05","5.423991e+05","3.810011e+05","3.078150e+05","2.179836e+03","1.218825e+03","6.149142e+03","0.00367595058039003","0.144089629366568"
"7","1::Q62009","3.629235e+05","2.712542e+05","2.069945e+05","3.260236e+05","5.751087e+05","5.712527e+05","5.705139e+05","0.00367957431090121","0.144089629366568"
"8","1::Q8QZT1","5.622476e+04","5.927381e+04","7.095462e+04","7.659716e+04","3.191161e+04","4.053316e+04","2.553739e+04","0.00385524091950683","0.144089629366568"
"9","1::P26262","3.326201e+07","3.702668e+07","4.656921e+07","3.741707e+07","5.920936e+07","5.688467e+07","5.748182e+07","0.00488670434295389","0.152227446616689"
"10","1::Q9DBB9","1.562365e+06","3.049381e+06","3.148023e+06","2.670890e+06","5.290079e+06","7.061843e+06","6.407980e+06","0.00509121895039095","0.152227446616689"
"11","1::Q61646","2.895087e+05","2.033117e+05","4.063288e+05","2.728248e+05","3.298114e+04","4.489424e+03","1.916565e+04","0.00622722281703957","0.166763562416562"
"12","1::P11247","1.743594e+05","1.719818e+05","2.286714e+05","1.889760e+05","1.311405e+05","1.102255e+05","1.161429e+05","0.00689512811065595","0.166763562416562"
"13","1::Q8K0C5","1.046533e+05","8.891361e+04","1.541455e+05","1.563313e+05","1.583605e+04","3.209194e+04","3.306265e+04","0.00725058967028529","0.166763562416562"
"14","1::P05017","5.665938e+06","6.114534e+06","6.698346e+06","5.439898e+06","9.872638e+06","1.116327e+07","1.214045e+07","0.00780962977393569","0.166791378743341"
"15","1::P47878","7.699694e+06","1.089594e+07","1.021642e+07","9.475062e+06","1.354766e+07","1.227039e+07","1.427725e+07","0.00856115590917783","0.170652374456278"
"16","1::P05208","1.722758e+04","2.576589e+04","3.313105e+04","3.889055e+04","6.377238e+02","4.796948e+03","5.431914e+03","0.0092412683026242","0.17269620140529"
"17","1::P48787","5.366983e+04","8.193193e+04","8.131669e+04","4.228254e+04","1.522598e+04","1.891325e+04","8.355781e+03","0.0112377522530316","0.19765223080332"
"18","1::Q91X72","6.390691e+04","5.571584e+04","9.446558e+04","7.560680e+04","2.862195e+04","3.106397e+04","4.117058e+04","0.0129097092195821","0.214444614258614"
"19","1::P48678","1.954524e+04","2.544062e+04","3.484917e+04","2.285677e+04","3.880986e+04","3.797890e+04","4.421142e+04","0.0141373531067329","0.222477293627008"
"20","1::Q6ZWY9","4.899728e+05","4.558812e+05","5.909729e+05","4.043027e+05","2.111107e+05","3.001292e+05","1.061584e+05","0.0164154344183102","0.245410744553738"
"21","1::Q99PL5","2.301579e+04","1.779104e+04","3.565736e+04","2.886905e+04","8.411465e+03","1.625648e+04","3.192407e+03","0.026516777024711","0.346265423438013"
"22","1::P47877","5.133193e+05","4.936149e+05","7.295091e+05","5.945534e+05","1.371350e+06","1.322335e+06","1.886958e+06","0.0266037320871661","0.346265423438013"
"23","1::Q8CEF9","2.917213e+03","1.068169e+03","1.986595e+03","4.808020e+03","1.279206e+04","1.804442e+04","2.270203e+04","0.026635801802924","0.346265423438013"
"24","1::Q9CZU6","7.542642e+05","8.549370e+05","9.548365e+05","8.121634e+05","5.879276e+05","6.049804e+05","3.709565e+05","0.0292032076805196","0.354253765069373"
"25","1::P09535","1.261299e+05","2.367722e+05","1.750072e+05","1.414533e+05","2.648030e+05","2.347677e+05","2.739669e+05","0.0296198800225229","0.354253765069373"
"26","1::P47880","8.399979e+05","8.529623e+05","7.460210e+05","8.407959e+05","1.094939e+06","1.084300e+06","1.308739e+06","0.031689282600806","0.364426749909269"
"27","1::P07759;1::Q03734","8.291838e+05","7.835307e+05","1.068199e+06","1.250100e+06","6.163134e+05","6.573209e+05","5.360144e+05","0.034321204905087","0.364644389935612"
"28","1::A2A8L5","2.289104e+05","2.015131e+05","1.527692e+05","3.111021e+05","5.694276e+05","3.594175e+05","5.413072e+05","0.0360722812187354","0.364644389935612"
"29","1::P0C0S6;1::P22752;1::Q64522","9.955981e+04","8.346849e+04","1.050577e+05","1.335235e+05","4.184554e+04","7.377944e+04","1.860701e+04","0.0385859537635998","0.364644389935612"
"30","1::P50752","1.157549e+05","2.011559e+05","1.243810e+05","7.585839e+04","4.416850e+04","3.506287e+04","3.734813e+04","0.040042675277536","0.364644389935612"
"31","1::A6X935","6.767449e+07","5.700070e+07","3.918680e+07","1.021867e+08","3.715073e+07","1.173449e+07","2.171371e+07","0.0413050707479578","0.364644389935612"
"32","1::Q91YW3","1.917456e+03","5.351017e+02","1.232619e-05","3.327208e+03","4.030098e+03","8.287555e+03","8.340473e+03","0.0413576388935106","0.364644389935612"
"33","1::Q61508","2.446356e+07","2.857024e+07","3.643327e+07","2.857339e+07","3.544110e+07","3.711515e+07","4.197836e+07","0.04152134190386","0.364644389935612"
"34","1::Q71KU9","8.235619e+03","4.748929e+03","1.136390e+04","4.155417e+03","3.978855e+03","3.142203e+02","3.324407e+02","0.0435279960559521","0.364644389935612"
"35","1::P18419","9.762675e+06","1.907700e+06","1.261426e+07","1.562023e+07","1.340799e+05","2.070482e+05","1.267761e+05","0.0445006875587646","0.364644389935612"
"36","1::P31532","4.340317e+05","1.853028e+05","1.907738e+05","2.721884e+05","7.595593e+04","6.123571e+04","1.180805e+05","0.0445540553939299","0.364644389935612"
"37","1::O70410","6.415006e+05","4.219530e+05","1.717130e+05","4.634982e+05","8.462455e+04","5.372276e+04","2.232140e+05","0.0451232188214637","0.364644389935612"
"38","1::P32921","8.999411e+04","9.336118e+04","8.666111e+04","9.463843e+04","3.393169e+04","7.009802e+04","4.670765e+04","0.0571913706611153","0.433129065980471"
"39","1::P11276","1.320279e+08","1.268832e+08","1.183119e+08","1.741213e+08","7.024972e+07","1.121633e+08","1.001164e+08","0.0578262869666075","0.433129065980471"
"40","1::O89053","6.057327e+03","6.794526e+03","8.665967e+03","8.905483e+03","2.894447e+04","1.534721e+04","2.582573e+04","0.0580205004208995","0.433129065980471"
"41","1::Q9JJN5","2.352258e+07","2.769872e+07","2.571623e+07","1.942003e+07","3.555993e+07","4.096772e+07","2.923544e+07","0.0593922799504993","0.433129065980471"
"42","1::Q8BWT1","8.036750e+04","6.775779e+04","6.964669e+04","7.189165e+04","4.596283e+04","5.361977e+04","2.373881e+04","0.061885100999969","0.440562980928351"
