"","0","  1.000000","  1.000000","  1.000000","  1.000000","  2.000000","  2.000000","  2.000000","pVal","BHpVal"
"1","1::Q9JJH1"," 22.751938"," 22.690623"," 22.932450"," 22.871820"," 22.107843"," 22.025620"," 22.247273","0.000846256944514868","0.144743232287586"
"2","1::Q8K0C5"," 16.781783"," 16.102130"," 16.936972"," 17.271120"," 14.615125"," 14.322854"," 14.482778","0.0013178855795943","0.144743232287586"
"3","1::P18419"," 23.400894"," 20.764372"," 23.383835"," 23.920045"," 17.368581"," 17.418957"," 16.455259","0.00166604548282214","0.144743232287586"
"4","1::Q8BGD9"," 14.561508"," 14.166953"," 14.126048"," 14.328305"," 15.010319"," 15.072999"," 15.101132","0.00306525638084607","0.144743232287586"
"5","1::Q9JKR6"," 18.063695"," 17.971507"," 18.018588"," 17.963502"," 17.528474"," 17.607952"," 17.676568","0.00307381995809016","0.144743232287586"
"6","1::Q61581"," 18.183755"," 18.288133"," 18.530506"," 18.066634"," 18.896459"," 19.026375"," 18.896591","0.0032524320484882","0.144743232287586"
"7","1::Q8BK62"," 16.273760"," 16.543884"," 16.817453"," 16.601901"," 17.389549"," 17.346613"," 17.117793","0.00359471200633827","0.144743232287586"
"8","1::Q61805"," 23.060288"," 22.871347"," 22.716894"," 22.929832"," 20.492471"," 19.958834"," 19.690874","0.00387272862307922","0.144743232287586"
"9","1::P29788;1::Q8BP99"," 22.477672"," 22.396300"," 22.860738"," 22.452003"," 21.958042"," 21.998494"," 21.809557","0.00493841421304973","0.153644236145329"
"10","1::Q64487"," 18.441936"," 18.671859"," 18.918192"," 18.516461"," 19.152639"," 19.342570"," 19.263147","0.00513860321556285","0.153644236145329"
"11","1::Q8CEF9"," 10.815876","  9.355666"," 10.354702"," 11.627743"," 13.386243"," 13.426362"," 13.813403","0.00571005084145189","0.155209563781283"
"12","1::Q62151"," 10.386756"," 11.090680"," 10.815003"," 10.696127"," 13.974141"," 15.317018"," 15.272700","0.00648782778737242","0.161655042368696"
"13","1::P47877"," 19.146426"," 18.796452"," 19.260750"," 19.194121"," 20.754868"," 20.078719"," 20.365373","0.00889885677224208","0.195570590598256"
"14","1::P05367"," 18.687572"," 18.688830"," 18.218894"," 18.196395"," 11.714114","  9.567765"," 12.027221","0.00915715139924944","0.195570590598256"
"15","1::Q9DBB9"," 20.760716"," 21.446536"," 21.408808"," 21.421580"," 22.712162"," 22.384913"," 22.015576","0.0110672934175896","0.220608048790619"
"16","1::P20033"," 14.979188"," 15.102798"," 14.970110"," 14.807780"," 16.391476"," 15.855264"," 15.976966","0.012216923829308","0.228303764060193"
"17","1::O88803"," 15.943927"," 16.171120"," 16.941942"," 16.555421"," 17.423790"," 17.502020"," 17.589284","0.0131221281165716","0.230795076873818"
"18","1::Q64739"," 13.129964"," 13.648024"," 13.846080"," 13.970616"," 14.440482"," 14.665119"," 14.307451","0.0142771163539707","0.237158766102069"
"19","1::P98064"," 17.288874"," 17.445321"," 17.705806"," 17.620842"," 18.599087"," 18.069622"," 18.567105","0.0171621512108988","0.256371759213279"
"20","1::Q8K1M6"," 14.507842"," 14.829624"," 14.270825"," 13.792244"," 15.139772"," 15.169494"," 15.485174","0.0176437474932181","0.256371759213279"
"21","1::P21570"," 20.184595"," 20.025139"," 20.278269"," 19.963708"," 18.705913"," 19.102979"," 19.340616","0.018006043289227","0.256371759213279"
"22","1::Q91XQ5"," 16.513350"," 17.215935"," 17.264710"," 17.210081"," 17.616538"," 17.844260"," 17.894748","0.0193572767587905","0.26308298867629"
"23","1::P11276"," 27.068778"," 26.771602"," 26.632706"," 27.330170"," 26.201123"," 26.519680"," 26.285702","0.0220109017577286","0.286141722850472"
"24","1::P32921"," 16.574865"," 16.179454"," 16.111046"," 16.560251"," 15.723290"," 15.462773"," 14.991227","0.0251851188637757","0.313764605844539"
"25","1::Q8BH64"," 15.309082"," 16.158754"," 15.722449"," 14.896853"," 13.172009"," 14.532960"," 13.288765","0.0280377239547135","0.318672630767137"
"26","1::Q61247"," 18.471566"," 18.307643"," 18.476643"," 18.807269"," 18.764567"," 19.053222"," 18.962290","0.0286716288320008","0.318672630767137"
"27","1::Q61543"," 12.922643"," 14.235959"," 14.538333"," 13.123471"," 14.867738"," 15.455491"," 15.112803","0.029854062283492","0.318672630767137"
"28","1::P31532"," 18.846580"," 17.241027"," 17.275934"," 18.089570"," 16.755987"," 15.479475"," 16.413873","0.0299253894987449","0.318672630767137"
"29","1::P31725"," 15.056342"," 16.882394"," 15.634482"," 17.640241"," 14.726167"," 12.270477"," 13.001565","0.0309080478001571","0.318672630767137"
"30","1::P05208"," 13.623403"," 14.099976"," 14.494686"," 14.822807","  9.360087"," 11.487956"," 11.755906","0.0350708709885707","0.344650079221707"
"31","1::O09164"," 19.690405"," 20.110586"," 20.310484"," 19.959173"," 20.356905"," 20.478961"," 20.545773","0.0357329513574346","0.344650079221707"
"32","1::Q80YC5"," 26.179253"," 25.621579"," 26.207753"," 26.089356"," 26.481426"," 26.514005"," 26.525358","0.0379602203528119","0.354690808921586"
"33","1::Q3UQ28"," 17.151283"," 17.637583"," 16.789532"," 17.338693"," 16.560952"," 16.662570"," 16.710879","0.0422002515597263","0.374253148230186"
"34","1::Q07456"," 26.792764"," 27.115760"," 27.133933"," 27.030362"," 27.177638"," 27.410911"," 27.304331","0.042849090485249","0.374253148230186"
"35","1::P05366"," 18.996194"," 18.979732"," 18.501540"," 18.666757"," 16.000634"," 13.775080"," 16.209526","0.0442466182879144","0.374253148230186"
"36","1::P07724;2::P02769"," 23.101304"," 21.733467"," 22.198165"," 22.138864"," 21.384475"," 21.199660"," 21.618613","0.0468449065801335","0.374253148230186"
"37","1::P10922"," 13.648920"," 13.782567"," 14.051945"," 13.784760"," 11.322010"," 11.870190","  9.657590","0.0478128174867923","0.374253148230186"
"38","1::O08842"," 15.044013"," 15.409456"," 15.600176"," 15.254557"," 16.029335"," 16.406684"," 15.697418","0.0495274902149209","0.374253148230186"
"39","1::P60867"," 15.709692"," 14.456760"," 14.580718"," 15.477421"," 13.909707"," 14.487521"," 13.850197","0.0505458261046128","0.374253148230186"
"40","1::P48787"," 15.695343"," 15.930912"," 15.947666"," 15.256922"," 14.441221"," 13.487260"," 12.439877","0.0510284913973913","0.374253148230186"
"41","1::Q62009"," 18.585944"," 17.870302"," 17.425651"," 18.347460"," 19.483816"," 18.814388"," 18.661410","0.0513189935700255","0.374253148230186"
"42","1::Q91X72"," 16.045055"," 15.413823"," 16.218031"," 16.192095"," 15.446841"," 14.253330"," 14.780888","0.0583112601681826","0.400441073459481"
"43","1::O70410"," 19.393451"," 18.456620"," 17.135015"," 18.854595"," 16.814457"," 15.359365"," 17.338068","0.0585264976544601","0.400441073459481"
"44","1::Q9DD06"," 20.109783"," 20.198401"," 20.172849"," 19.969538"," 20.640977"," 20.759105"," 20.315304","0.0589277833853417","0.400441073459481"
"45","1::P50752"," 16.942373"," 17.291875"," 16.634501"," 16.246419"," 16.104888"," 14.476566"," 14.677198","0.0627518178921628","0.410572232190263"
"46","1::Q61646"," 18.267345"," 17.311007"," 18.343710"," 18.095987"," 15.683202"," 11.522067"," 13.721404","0.063164958798502","0.410572232190263"
"47","1::Q8CG19"," 15.489955"," 15.883795"," 15.768614"," 15.155563"," 15.882788"," 16.505943"," 16.786305","0.0689345223937331","0.425412330915173"
"48","1::Q8VI78"," 18.044832"," 17.494161"," 17.967765"," 17.666168"," 17.374486"," 17.502751"," 16.939751","0.0704200707384431","0.425412330915173"
"49","1::P32261"," 29.661081"," 29.370079"," 29.241574"," 29.166181"," 29.623247"," 30.295507"," 29.932651","0.0708127489242158","0.425412330915173"
"50","1::Q9JM99"," 22.481331"," 22.458578"," 22.270106"," 22.406061"," 19.931963"," 21.542572"," 20.909036","0.0738268007584657","0.425412330915173"
"51","1::P27656"," 19.570323"," 19.400677"," 19.602894"," 19.424473"," 20.818241"," 20.196833"," 19.984175","0.074029433896382","0.425412330915173"
"52","1::Q6ZWN5"," 15.158896"," 14.187566"," 13.975733"," 16.139311"," 14.242619"," 12.356111"," 12.500151","0.0750511338681604","0.425412330915173"
"53","1::O08692"," 18.958064"," 18.118770"," 18.276468"," 18.675763"," 17.732766"," 15.575293"," 16.157784","0.0780487873869484","0.425412330915173"
"54","1::P10126"," 20.226787"," 20.546608"," 20.329035"," 20.050111"," 20.064822"," 20.045453"," 19.956508","0.0782049995947482","0.425412330915173"
"55","1::Q03401;1::Q03402"," 16.770504"," 16.705052"," 17.156540"," 16.948397"," 17.492973"," 17.681695"," 17.075746","0.0782531043489449","0.425412330915173"
"56","1::P05017"," 22.637760"," 22.444112"," 22.482563"," 22.430531"," 23.642237"," 22.998496"," 22.960158","0.0805865645015099","0.425466020948022"
"57","1::O89053"," 12.190551"," 12.203851"," 12.584569"," 12.751329"," 14.959479"," 13.160584"," 14.010582","0.0811089070034691","0.425466020948022"
"58","1::A2A8L5"," 17.905528"," 17.420371"," 16.978212"," 18.279820"," 19.491886"," 18.136383"," 18.603268","0.0898573767041337","0.462705911570582"
"59","1::P70274"," 18.337108"," 18.336647"," 18.566861"," 18.105755"," 19.263964"," 18.561535"," 19.409318","0.0913044353358831","0.462705911570582"
"60","1::P31240"," 17.221192"," 17.433119"," 17.331942"," 17.112820"," 17.890408"," 18.518466"," 17.649875","0.0937137996126552","0.462705911570582"
"61","1::Q4ZJN1"," 15.146234"," 15.208571"," 14.908743"," 15.713472"," 15.541704"," 16.153143"," 16.666027","0.0943981960060385","0.462705911570582"
"62","1::A6X935"," 26.151719"," 25.629591"," 25.029180"," 26.588322"," 25.379280"," 23.212259"," 23.989557","0.100850767059998","0.486360957273216"
"63","1::Q6YGZ1"," 14.043539"," 14.152081"," 14.042696"," 13.428092"," 15.742849"," 15.803648"," 14.259318","0.103848621499712","0.492868854419267"
"64","1::P07759;1::Q03734"," 19.835767"," 19.457104"," 19.810700"," 20.267400"," 19.603788"," 19.063265"," 18.548082","0.107922686889009","0.504201302809587"
"65","1::P26262"," 25.119916"," 25.005356"," 25.279712"," 25.134839"," 26.036721"," 25.498416"," 25.407666","0.111017423306846","0.505060047996415"
"66","1::Q09098"," 18.716963"," 14.097839"," 14.877119"," 18.784636"," 14.402463"," 12.975610"," 14.264196","0.111484826648038","0.505060047996415"
"67","1::P97430"," 21.376460"," 21.621552"," 21.578204"," 21.256086"," 21.937101"," 22.259327"," 21.591508","0.118114583276053","0.527108364172238"
"68","1::Q00724"," 13.971936"," 15.503444"," 16.255926"," 16.559142"," 16.652282"," 17.408938"," 16.406099","0.121610190239897","0.534727160025429"
"69","1::Q8QZT1"," 15.850326"," 15.498640"," 15.799417"," 16.199258"," 15.593970"," 14.629892"," 14.086119","0.125442536002196","0.539909651138368"
"70","1::P26043"," 18.049682"," 18.336542"," 18.175332"," 17.848767"," 18.226971"," 18.935469"," 18.586613","0.126400252774869","0.539909651138368"
"71","1::Q71KU9"," 11.943897"," 11.190615"," 12.755016"," 11.163127"," 11.288657","  7.612213","  7.731698","0.128698890389297","0.540545280413784"
"72","1::Q6ZWY9"," 19.005092"," 18.603034"," 18.931789"," 18.658033"," 18.051582"," 17.879609"," 16.249457","0.130164749798637","0.540545280413784"
"73","1::P13020"," 23.573316"," 21.604029"," 22.745229"," 23.058166"," 24.939806"," 23.085052"," 23.999956","0.133700998487031","0.54762463763866"
"74","1::Q99PL5"," 14.204951"," 13.625219"," 14.654353"," 14.511821"," 13.285407"," 13.241565"," 11.003716","0.13766617467691","0.556245759843192"
"75","1::P02088"," 17.079269"," 17.338378"," 17.774729"," 17.999058"," 17.981476"," 18.533786"," 17.763327","0.143928334785893","0.573794294679759"
"76","1::P14869"," 12.076614"," 12.010487"," 12.384505"," 14.103740"," 10.842858"," 10.595977","  5.492601","0.162333444232163","0.629814510970403"
"77","1::Q8VCM7"," 28.903958"," 27.871910"," 27.514459"," 28.487680"," 28.122017"," 26.789511"," 27.084236","0.16392446249434","0.629814510970403"
"78","1::P17897"," 19.781387"," 19.553955"," 19.829760"," 19.866036"," 20.020873"," 21.438186"," 20.447761","0.168445684743557","0.629814510970403"
"79","1::P47880"," 19.859189"," 19.590878"," 19.293249"," 19.693074"," 20.427631"," 19.798697"," 19.838896","0.168564920518712","0.629814510970403"
"80","1::P0C0S6;1::P22752;1::Q64522"," 16.718710"," 16.016577"," 16.387954"," 17.054553"," 16.024265"," 15.534088"," 13.661461","0.169141676161198","0.629814510970403"
"81","1::Q921I1"," 20.466952"," 18.901314"," 19.521615"," 19.565157"," 19.399608"," 18.320298"," 18.959486","0.171577723951038","0.629814510970403"
"82","1::Q9JHK5"," 19.793814"," 19.892115"," 19.409384"," 19.077027"," 18.431581"," 18.924848"," 19.466617","0.172725049831348","0.629814510970403"
"83","1::P09535"," 17.050707"," 17.616197"," 17.159661"," 17.142739"," 18.482821"," 17.472875"," 17.633583","0.175180123678438","0.631070566022326"
"84","1::Q61508"," 24.692660"," 24.635480"," 24.922196"," 24.755156"," 25.330596"," 24.861522"," 24.923056","0.179694380318274","0.639626425180524"
"85","1::Q9Z0N1"," 11.796031","  9.878498","  8.682516"," 11.202551"," 10.803651"," 11.759569"," 12.628152","0.185545807308856","0.652684663357036"
"86","1::Q9R098"," 11.010742"," 12.871063"," 13.068287"," 13.988493"," 16.250180"," 13.736226"," 13.431262","0.189220501492955","0.657871278446437"
"87","1::Q61035"," 15.534148"," 15.374132"," 15.301694"," 15.039143"," 15.575669"," 15.905158"," 15.357549","0.195899280686349","0.660933824920724"
"88","1::Q3THE2"," 17.381128"," 17.694912"," 17.496656"," 16.872032"," 15.776929"," 17.233228"," 16.716641","0.197537876055334","0.660933824920724"
"89","1::O70251"," 15.092149"," 16.438844"," 16.279465"," 15.817947"," 13.189061"," 14.751699"," 15.720228","0.198854879784187","0.660933824920724"
"90","1::Q60817"," 16.816577"," 17.554410"," 17.291371"," 16.817274"," 17.790184"," 18.775615"," 17.246130","0.200512981934344","0.660933824920724"
"91","1::O55226"," 10.644583"," 11.639449"," 12.063920"," 12.003048"," 11.657730"," 12.816103"," 12.366432","0.204122552272147","0.660933824920724"
"92","1::Q9CZU6"," 19.692797"," 19.572914"," 19.648207"," 19.648847"," 19.534596"," 18.931555"," 18.015989","0.206433548095804","0.660933824920724"
"93","1::P06684"," 17.808690"," 17.134132"," 17.736523"," 18.342495"," 20.736848"," 18.633902"," 18.162712","0.207312281138254","0.660933824920724"
"94","1::P27784"," 17.317928"," 17.846653"," 18.050307"," 14.553417"," 15.380227"," 15.397020"," 16.134625","0.207785215861365","0.660933824920724"
"95","1::P15864;1::P43274"," 17.493337"," 17.102540"," 17.202900"," 17.200115"," 16.530629"," 17.148805"," 17.060882","0.216204107879951","0.66247991240113"
"96","1::Q07235"," 15.458870"," 16.395640"," 16.926934"," 15.828423"," 16.120408"," 18.138340"," 17.268124","0.217061397089232","0.66247991240113"
"97","1::P11247"," 17.531216"," 17.132628"," 17.537057"," 17.563383"," 17.546352"," 16.325306"," 16.389547","0.220470989002127","0.66247991240113"
"98","1::P62751"," 17.173180"," 17.410142"," 17.461193"," 16.863005"," 17.237636"," 17.989802"," 17.594915","0.221364017873458","0.66247991240113"
"99","1::E9Q414;1::Q9EST8"," 22.270153"," 22.486068"," 21.624790"," 21.714557"," 21.069397"," 19.588135"," 21.918239","0.223265256606197","0.66247991240113"
"100","1::Q8K1B8"," 18.612216"," 19.088095"," 18.945114"," 18.261762"," 18.095827"," 18.408520"," 18.654206","0.223595643050924","0.66247991240113"
"101","1::Q8VDD5;1::Q61879"," 19.777757"," 19.920101"," 19.445848"," 19.320527"," 17.919282"," 19.251672"," 19.340145","0.226548221960384","0.66247991240113"
"102","1::P48678"," 14.223351"," 14.238285"," 14.718075"," 14.357396"," 15.776975"," 14.489247"," 14.839804","0.226885647424438","0.66247991240113"
"103","1::Q99JY9;1::Q641P0"," 20.337902"," 20.043857"," 19.854016"," 20.313290"," 20.036055"," 19.957980"," 19.401720","0.230045577633959","0.66247991240113"
"104","1::P12399"," 14.413536"," 15.130354"," 15.279681"," 14.861083"," 14.835339"," 15.679432"," 16.070729","0.233721576033857","0.66247991240113"
"105","1::P01867"," 15.113858"," 15.516980"," 15.043553"," 14.488723"," 17.465501"," 15.109868"," 15.961286","0.234996189867675","0.66247991240113"
"106","1::P26928"," 17.691893"," 18.372982"," 18.563452"," 18.106640"," 19.357846"," 18.169881"," 18.733282","0.2361317120841","0.66247991240113"
"107","1::P06728"," 16.251616"," 17.575782"," 15.524640"," 17.494784"," 15.409154"," 15.999392"," 16.384809","0.237074751260605","0.66247991240113"
"108","1::P97290"," 14.585786"," 14.773323"," 15.165856"," 15.802426"," 17.824670"," 14.996057"," 16.338407","0.246495666938973","0.677651328733418"
"109","1::Q61702"," 27.147264"," 27.630974"," 27.673062"," 27.505269"," 27.233624"," 27.462783"," 27.199278","0.247778459489428","0.677651328733418"
"110","1::Q9JJN5"," 24.643537"," 24.592794"," 24.418082"," 24.202589"," 25.351797"," 24.993455"," 24.386212","0.249303164416976","0.677651328733418"
"111","1::P06909"," 21.365348"," 21.146696"," 21.283722"," 21.581355"," 21.415472"," 20.902986"," 20.894794","0.252237039838339","0.679449323528499"
"112","1::P09803"," 18.172123"," 17.858694"," 18.451048"," 17.928267"," 18.230374"," 17.188089"," 17.435475","0.259619826498022","0.693092215383112"
"113","1::Q8BWT1"," 16.385864"," 15.701516"," 15.783477"," 16.131784"," 16.139450"," 15.049475"," 13.993553","0.265407561117837","0.702273104196756"
"114","1::Q9WTI7"," 17.038964"," 17.292088"," 17.720985"," 16.609382"," 15.526090"," 16.957601"," 16.894586","0.26919962364778","0.706058662023563"
