"","0","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"1","1::Q9DD06","1.178298e+06","1.141040e+06","1.205736e+06","9.589923e+05","1.726399e+06","1.806942e+06","1.666275e+06","0.000318154024220999","0.0358077656599395"
"2","1::Q07456","1.299479e+08","1.429624e+08","1.478496e+08","1.348150e+08","1.879562e+08","1.778073e+08","1.807355e+08","0.000358511391349122","0.0358077656599395"
"3","1::P10922","2.148277e+04","1.861135e+04","2.180663e+04","1.843699e+04","3.473956e+03","5.372718e+03","1.153235e+03","0.000386114184165675","0.0358077656599395"
"4","1::P20033","3.616120e+04","3.980201e+04","3.521170e+04","2.753106e+04","7.376330e+04","8.145519e+04","8.572952e+04","0.000479033654313571","0.0358077656599395"
"5","1::Q61805","9.091795e+06","7.252864e+06","6.892573e+06","7.206727e+06","1.520536e+06","1.127304e+06","1.158268e+06","0.000641051323066703","0.0383348691193889"
"6","1::P05366","5.710844e+05","5.439699e+05","3.934574e+05","3.852114e+05","6.146837e+04","1.591238e+04","9.275641e+04","0.0013311728044283","0.0663367780873437"
"7","1::Q9DBB9","1.845827e+06","2.699278e+06","2.782703e+06","2.531035e+06","7.064877e+06","6.088636e+06","5.814917e+06","0.0022124647083282","0.0798006622189025"
"8","1::Q61581","3.228552e+05","3.193551e+05","3.926874e+05","2.544681e+05","5.116444e+05","5.693435e+05","6.116154e+05","0.0022390164594077","0.0798006622189025"
"9","1::Q8CEF9","3.446488e+03","9.455313e+02","1.756056e+03","4.556259e+03","1.708374e+04","1.555768e+04","2.060094e+04","0.00240202662197365","0.0798006622189025"
"10","1::Q91YW3","2.265343e+03","4.736659e+02","1.089577e-05","3.152986e+03","5.382177e+03","7.145430e+03","7.568555e+03","0.00348980804201801","0.104053129009537"
"11","1::P05367","4.775053e+05","4.801255e+05","3.367869e+05","2.916970e+05","2.911162e+03","1.050856e+03","5.580034e+03","0.00387675623831744","0.104053129009537"
"12","1::P48787","6.340725e+04","7.252521e+04","7.188010e+04","4.006850e+04","2.033423e+04","1.630677e+04","7.582447e+03","0.00417604531141954","0.104053129009537"
"13","1::P05208","2.035321e+04","2.280767e+04","2.928628e+04","3.685413e+04","8.516772e+02","4.135871e+03","4.929186e+03","0.00472112774357943","0.108585938102327"
"14","1::Q61646","3.420348e+05","1.799692e+05","3.591754e+05","2.585390e+05","4.404617e+04","3.870727e+03","1.739185e+04","0.00563432879204691","0.114323946941048"
"15","1::P32921","1.063219e+05","8.264225e+04","7.660431e+04","8.968289e+04","4.531562e+04","6.043767e+04","4.238482e+04","0.00573531506393218","0.114323946941048"
"16","1::Q8K0C5","1.236407e+05","7.870531e+04","1.362573e+05","1.481453e+05","2.114898e+04","2.766929e+04","3.000267e+04","0.00712180921904501","0.133088809780904"
"17","1::Q80YC5","8.343603e+07","5.048284e+07","7.802216e+07","6.943796e+07","1.118391e+08","9.719036e+07","1.092251e+08","0.00963819704013371","0.168375607814045"
"18","1::Q91X72","7.550165e+04","4.931903e+04","8.350309e+04","7.164781e+04","3.822449e+04","2.678298e+04","3.736021e+04","0.0101363242162301","0.168375607814045"
"19","1::Q8QZT1","6.642571e+04","5.246850e+04","6.272052e+04","7.258632e+04","4.261782e+04","3.494720e+04","2.317388e+04","0.0130624891655181","0.20556232949947"
"20","1::Q64487","3.795163e+05","4.107965e+05","5.101760e+05","3.487347e+05","6.088767e+05","7.034356e+05","7.970099e+05","0.0138019974398681","0.206339861726028"
"21","1::O08692","5.606458e+05","2.952730e+05","3.347320e+05","3.880269e+05","2.141549e+05","5.371636e+04","8.938720e+04","0.0151885363537825","0.216255827132427"
"22","1::Q8BK62","8.564888e+04","1.025883e+05","1.233643e+05","9.162244e+04","1.506619e+05","2.003993e+05","1.761044e+05","0.0163537390066526","0.22226218013587"
"23","1::P32261","9.971468e+08","6.959051e+08","6.355736e+08","6.172259e+08","1.138724e+09","1.231346e+09","9.940261e+08","0.0187184473851808","0.24333981600735"
"24","1::Q99PL5","2.719159e+04","1.574842e+04","3.151941e+04","2.735739e+04","1.123347e+04","1.401614e+04","2.896947e+03","0.0208168050933358","0.259342696787808"
"25","1::Q6ZWY9","5.788695e+05","4.035408e+05","5.223920e+05","3.831323e+05","2.819373e+05","2.587678e+05","9.633333e+04","0.0234027416148356","0.273116032825381"
"26","1::P05017","6.693919e+06","5.412516e+06","5.921020e+06","5.155049e+06","1.318486e+07","9.624836e+06","1.101685e+07","0.0245954095411649","0.273116032825381"
"27","1::P21570","1.245411e+06","1.023971e+06","1.305458e+06","9.605126e+05","4.425859e+05","5.797046e+05","8.415888e+05","0.0246626517935963","0.273116032825381"
"28","1::P50752","1.367565e+05","1.780609e+05","1.099469e+05","7.188623e+04","5.898683e+04","3.023079e+04","3.389153e+04","0.0271525119883421","0.289950038732653"
"29","1::O88803","6.814800e+04","7.920968e+04","1.344703e+05","8.872332e+04","1.543729e+05","2.230277e+05","2.441161e+05","0.0310609691989488","0.320249303120196"
"30","1::P0C0S6;1::P22752;1::Q64522","1.176231e+05","7.388535e+04","9.286606e+04","1.265318e+05","5.588453e+04","6.361174e+04","1.688491e+04","0.0342937230575925","0.340841768917942"
"31","1::P97430","2.830205e+06","3.050464e+06","3.130651e+06","2.259363e+06","4.141209e+06","5.546959e+06","4.322549e+06","0.0353381098209238","0.340841768917942"
"32","1::Q9JM99","6.084492e+06","5.445348e+06","5.055836e+06","5.009569e+06","1.029347e+06","3.389957e+06","2.698460e+06","0.037282314381277","0.342282016751784"
"33","1::P47877","6.064517e+05","4.369422e+05","6.448514e+05","5.634209e+05","1.831432e+06","1.140101e+06","1.712319e+06","0.0377769449926718","0.342282016751784"
"34","1::Q8BH64","4.861879e+04","8.499984e+04","6.155604e+04","3.127416e+04","8.454000e+03","3.368212e+04","1.366418e+04","0.0402196977423017","0.34922117350561"
"35","1::P01029","9.814740e+06","7.361892e+06","1.234883e+07","1.087966e+07","1.541815e+07","1.318131e+07","1.271481e+07","0.0410286114008734","0.34922117350561"
"36","1::P18419","1.153393e+07","1.688675e+06","1.115041e+07","1.480231e+07","1.790630e+05","1.785144e+05","1.150429e+05","0.0420466964755919","0.34922117350561"
