"","0","  1.000000","  1.000000","  1.000000","  1.000000","  2.000000","  2.000000","  2.000000","pVal","BHpVal"
"1","1::Q8K0C5"," 16.802127"," 16.158587"," 16.932206"," 17.733979"," 14.370160"," 14.923991"," 14.211319","0.0018234017082784","0.260574991898062"
"2","1::P18419"," 23.345714"," 20.581873"," 23.286825"," 24.376644"," 17.451968"," 17.613674"," 16.150328","0.00217410995713973","0.260574991898062"
"3","1::P05367"," 18.751489"," 18.767465"," 18.237709"," 18.711436"," 11.509239"," 10.205342"," 11.784574","0.00261446480165279","0.260574991898062"
"4","1::Q61805"," 23.002466"," 22.684533"," 22.592844"," 23.338238"," 20.538008"," 20.272438"," 19.482053","0.00374801184476363","0.280163885396081"
"5","1::P21570"," 20.134523"," 19.860157"," 20.192357"," 20.430770"," 18.757458"," 19.312951"," 19.021271","0.00498382384903806","0.298032666172476"
"6","1::Q62151"," 11.034903"," 11.396963"," 11.058271"," 11.653608"," 14.440943"," 16.004191"," 15.125771","0.00790065232004241","0.393715840615447"
"7","1::Q91X72"," 16.090553"," 15.484270"," 16.225774"," 16.685960"," 15.224069"," 14.877022"," 14.527730","0.0113694780420532","0.432259251610396"
"8","1::P47877"," 19.096365"," 18.631496"," 19.174840"," 19.661179"," 20.806401"," 20.288723"," 20.046035","0.0115654649260307","0.432259251610396"
"9","1::P98064"," 17.317483"," 17.377077"," 17.652019"," 18.068202"," 18.619646"," 18.352711"," 18.199605","0.013846347480227","0.460006432954208"
"10","1::P31725"," 15.149016"," 16.973591"," 15.671462"," 18.187757"," 14.548729"," 12.930366"," 12.775001","0.0178780150053881","0.465950078153104"
"11","1::P31532"," 18.854309"," 17.217995"," 17.239776"," 18.533978"," 16.632110"," 15.856153"," 16.047815","0.0179125404968332","0.465950078153104"
"12","1::Q8CEF9"," 11.637244","  9.779395"," 10.654355"," 12.710959"," 14.062196"," 14.093333"," 13.668938","0.0200021241051005","0.465950078153104"
"13","1::P05366"," 19.009677"," 18.947581"," 18.462080"," 19.112616"," 15.909416"," 14.125855"," 15.839675","0.020258699050135","0.465950078153104"
"14","1::P05208"," 14.199301"," 14.371645"," 14.714170"," 15.726864","  9.736023"," 12.181968"," 11.605649","0.0240102449592632","0.485484429867264"
"15","1::Q9JJH1"," 22.678165"," 22.502598"," 22.817210"," 23.285066"," 22.117874"," 22.398053"," 22.037105","0.0260224834170878","0.485484429867264"
"16","1::P70274"," 18.333157"," 18.221420"," 18.492532"," 18.554490"," 19.335423"," 18.819230"," 19.078749","0.026536828532389","0.485484429867264"
"17","1::O70410"," 19.417960"," 18.405193"," 17.087913"," 19.301936"," 16.788023"," 15.667313"," 16.966472","0.0276027936713829","0.485484429867264"
"18","1::P20033"," 15.028487"," 15.174967"," 14.980000"," 15.306098"," 16.172475"," 16.481712"," 15.726020","0.0335296764014796","0.552991976797617"
"19","1::Q61646"," 18.270116"," 17.351804"," 18.330561"," 18.537347"," 15.428588"," 12.086382"," 13.424639","0.0362489679631503","0.552991976797617"
"20","1::P50752"," 16.947582"," 17.336424"," 16.622680"," 16.690753"," 15.849965"," 15.051724"," 14.387152","0.0369894298861282","0.552991976797617"
"21","1::Q9DBB9"," 20.702168"," 21.258555"," 21.284288"," 21.828621"," 22.754093"," 22.705681"," 21.809842","0.0391690912843654","0.556097936752286"
"22","1::O88803"," 15.942716"," 16.167802"," 16.913160"," 16.994351"," 17.237919"," 17.934857"," 17.235723","0.0409169050453187","0.556097936752286"
"23","1::O08692"," 18.983062"," 18.066103"," 18.228879"," 19.123122"," 17.710155"," 15.881067"," 15.786296","0.0584945042011902","0.67669549330115"
"24","1::Q62446"," 15.624455"," 16.380613"," 15.735602"," 15.931235"," 15.614235"," 15.420941"," 15.271903","0.0593385646042004","0.67669549330115"
"25","1::Q8K1M6"," 14.651303"," 14.939360"," 14.332751"," 14.382919"," 15.012141"," 15.843440"," 15.272288","0.0597389073720374","0.67669549330115"
"26","1::Q6ZWN5"," 15.439623"," 14.350523"," 14.094160"," 16.831861"," 14.254725"," 13.051818"," 12.315161","0.066680461942866","0.67669549330115"
"27","1::O89053"," 12.691334"," 12.448627"," 12.779418"," 13.600210"," 15.240235"," 13.859756"," 13.854925","0.0669970118945817","0.67669549330115"
"28","1::Q61543"," 13.150573"," 14.377868"," 14.636625"," 13.778636"," 14.825033"," 16.144840"," 14.918061","0.0697431035167518","0.67669549330115"
"29","1::P48787"," 15.838692"," 16.040608"," 16.009537"," 15.847506"," 14.313482"," 14.161177"," 12.226963","0.0710446348076224","0.67669549330115"
"30","1::Q9JKR6"," 18.092681"," 17.907294"," 17.966447"," 18.410981"," 17.540371"," 17.894516"," 17.306681","0.071865488187032","0.67669549330115"
"31","1::Q64487"," 18.420134"," 18.542478"," 18.836868"," 18.969096"," 19.217650"," 19.592052"," 18.942753","0.0743405867127788","0.67669549330115"
"32","1::P10922"," 14.277224"," 14.078309"," 14.288711"," 14.727641"," 11.764223"," 12.559429","  9.509987","0.0753538376935002","0.67669549330115"
"33","1::P07724;2::P02769"," 23.040104"," 21.542303"," 22.073018"," 22.542617"," 21.416360"," 21.540360"," 21.420577","0.0777032210004273","0.67669549330115"
"34","1::Q9JHK5"," 19.752909"," 19.743474"," 19.324382"," 19.539139"," 18.481783"," 19.154277"," 19.149903","0.078969677729492","0.67669549330115"
"35","1::P20029;1::P16627;1::P17879"," 16.177916"," 15.824125"," 15.870516"," 16.709497"," 15.513638"," 15.611653"," 15.753272","0.0792118470419406","0.67669549330115"
"36","1::Q3UQ28"," 17.152960"," 17.627079"," 16.758082"," 17.779594"," 16.396658"," 17.074727"," 16.352239","0.0826530599469468","0.686479581226031"
"37","1::Q61581"," 18.186860"," 18.179215"," 18.459254"," 18.514450"," 18.966642"," 19.286933"," 18.560781","0.0858289875163874","0.687545458861974"
"38","1::Q8K1B8"," 18.613515"," 18.977563"," 18.873074"," 18.709814"," 18.166337"," 18.668345"," 18.319737","0.0896323504391436","0.687545458861974"
"39","1::P32921"," 16.584412"," 16.229005"," 16.101370"," 17.009870"," 15.469580"," 16.051153"," 14.709775","0.0896798424602575","0.687545458861974"
"40","1::P05017"," 22.560752"," 22.262281"," 22.373647"," 22.854880"," 23.654239"," 23.366323"," 22.731723","0.0947741384699042","0.694709660055227"
"41","1::Q9JM99"," 22.423038"," 22.271006"," 22.145751"," 22.813580"," 19.975158"," 21.860828"," 20.702220","0.0952611908436933","0.694709660055227"
"42","1::Q8BH64"," 15.455559"," 16.269586"," 15.785845"," 15.490009"," 13.047278"," 15.207688"," 13.076627","0.10155709220407","0.707646710757725"
"43","1::P29788;1::Q8BP99"," 22.408315"," 22.204817"," 22.740497"," 22.858341"," 21.973583"," 22.365382"," 21.609545","0.101768590510308","0.707646710757725"
"44","1::A6X935"," 26.138977"," 25.482946"," 24.922138"," 27.086364"," 25.566122"," 23.438319"," 23.570507","0.112881362909862","0.760298658038509"
"45","1::Q09098"," 18.765759"," 14.169781"," 14.886725"," 19.282365"," 14.182964"," 13.601694"," 14.012957","0.117513117186739","0.760298658038509"
"46","1::Q91XQ5"," 16.529243"," 17.179964"," 17.223868"," 17.656548"," 17.539000"," 18.184186"," 17.523308","0.118688553947494","0.760298658038509"
"47","1::P13020"," 23.500523"," 21.433690"," 22.643899"," 23.504044"," 24.977918"," 23.424183"," 23.728578","0.12282253646469","0.760298658038509"
"48","1::O09164"," 19.635538"," 19.930065"," 20.217619"," 20.420700"," 20.432075"," 20.673538"," 20.233314","0.123512027071418","0.760298658038509"
"49","1::Q8QZT1"," 15.905786"," 15.573577"," 15.812882"," 16.704735"," 15.381029"," 15.260882"," 13.838727","0.124597438942766","0.760298658038509"
"50","1::P27784"," 17.313997"," 17.875689"," 18.033069"," 14.986955"," 15.129090"," 15.926881"," 15.817522","0.134593528809568","0.797899854719661"
"51","1::Q8BGD9"," 14.726847"," 14.284630"," 14.198638"," 14.936971"," 14.903727"," 15.752622"," 14.893673","0.136096630738136","0.797899854719661"
"52","1::A2A8L5"," 17.931292"," 17.338984"," 16.919268"," 18.726760"," 19.538388"," 18.409368"," 18.244492","0.139746720272353","0.802752083406606"
"53","1::P11276"," 27.103136"," 26.637396"," 26.516293"," 27.855249"," 26.485224"," 26.695093"," 25.775508","0.146212839914201","0.802752083406606"
"54","1::P27656"," 19.517164"," 19.227817"," 19.516247"," 19.892394"," 20.874849"," 20.397650"," 19.663594","0.146716328959529","0.802752083406606"
"55","1::Q62009"," 18.596174"," 17.767756"," 17.357506"," 18.794349"," 19.552710"," 19.077837"," 18.320307","0.14830525060974","0.802752083406606"
"56","1::P60867"," 15.872262"," 14.573432"," 14.651958"," 16.083811"," 13.800452"," 15.166425"," 13.642051","0.150817452413867","0.802752083406606"
"57","1::Q921I1"," 20.425168"," 18.751708"," 19.436508"," 20.027783"," 19.449012"," 18.548640"," 18.642827","0.153094589227205","0.802752083406606"
"58","1::Q71KU9"," 13.134530"," 11.931857"," 13.170443"," 12.500509"," 12.377372","  8.249700","  7.575357","0.155717795443422","0.802752083406606"
"59","1::E9Q414;1::Q9EST8"," 22.214103"," 22.302102"," 21.501887"," 22.126294"," 21.123740"," 19.884247"," 21.701881","0.158809104888974","0.804812243420391"
"60","1::P11247"," 17.538573"," 17.110367"," 17.501190"," 18.007576"," 17.419989"," 16.704166"," 16.023945","0.165306956378249","0.811844967563261"
"61","1::P01867"," 15.154665"," 15.585176"," 15.048795"," 14.977018"," 17.238192"," 15.730032"," 15.705217","0.171453522497503","0.811844967563261"
"62","1::P97333"," 19.566719"," 19.615377"," 19.727947"," 20.106570"," 20.119091"," 19.791592"," 20.172026","0.171660919446917","0.811844967563261"
"63","1::Q8BK62"," 16.272479"," 16.540921"," 16.788798"," 17.040739"," 17.202814"," 17.780511"," 16.764587","0.172431237039898","0.811844967563261"
"64","1::P97290"," 14.617713"," 14.836425"," 15.166755"," 16.279682"," 17.589699"," 15.607965"," 16.075660","0.173772835866384","0.811844967563261"
"65","1::Q6ZWY9"," 19.029211"," 18.516768"," 18.871006"," 19.104808"," 18.106875"," 18.149291"," 15.894263","0.17879280192889","0.814241646653951"
"66","1::Q99PL5"," 14.617205"," 13.837333"," 14.820185"," 15.296968"," 13.457376"," 13.942794"," 10.838833","0.179732269829969","0.814241646653951"
"67","1::P14869"," 13.106881"," 12.615373"," 12.750363"," 15.332641"," 11.756119"," 11.233287","  5.343239","0.182703141164277","0.815346853852521"
