"","0","  1.000000","  1.000000","  1.000000","  1.000000","  2.000000","  2.000000","  2.000000","pVal","BHpVal"
"1","1::P20033"," 15.062193"," 15.254344"," 15.029121"," 14.886734"," 16.249542"," 16.160884"," 16.045830","9.20041214846053e-05","0.027509232323897"
"2","1::Q9JKR6"," 18.122753"," 17.999083"," 18.021463"," 17.965124"," 17.600084"," 17.582725"," 17.641239","0.000250899372781385","0.0375094562308171"
"3","1::Q8K0C5"," 16.833729"," 16.242432"," 16.985181"," 17.293899"," 14.470092"," 14.593200"," 14.516996","0.00153823640899232","0.136994131784021"
"4","1::P18419"," 23.369557"," 20.685812"," 23.352343"," 23.879885"," 17.512803"," 17.300087"," 16.474096","0.00183980734860282","0.136994131784021"
"5","1::Q61581"," 18.216820"," 18.272240"," 18.515243"," 18.067711"," 19.008261"," 18.984048"," 18.907040","0.00296512412988777","0.136994131784021"
"6","1::Q9DBB9"," 20.729146"," 21.365568"," 21.345853"," 21.353603"," 22.747663"," 22.424663"," 22.186418","0.00310648324327797","0.136994131784021"
"7","1::Q61805"," 23.026716"," 22.798023"," 22.656992"," 22.850339"," 20.559693"," 19.975856"," 19.836908","0.00320722047654899","0.136994131784021"
"8","1::Q62151"," 11.073345"," 11.459178"," 11.099652"," 11.265409"," 14.539977"," 15.680309"," 15.439980","0.00501746140991306","0.187527620195501"
"9","1::P05367"," 18.780780"," 18.863162"," 18.293261"," 18.263016"," 11.645465","  9.844369"," 12.067607","0.00619074612038433","0.187919248792907"
"10","1::Q64487"," 18.449818"," 18.637153"," 18.893602"," 18.518477"," 19.256085"," 19.291118"," 19.292577","0.00628492470879288","0.187919248792907"
"11","1::Q8BK62"," 16.304710"," 16.626503"," 16.841490"," 16.606573"," 17.266810"," 17.467991"," 17.094087","0.00749107338300016","0.203620994683368"
"12","1::Q8BGD9"," 14.760910"," 14.359963"," 14.246217"," 14.520757"," 14.996889"," 15.427131"," 15.205716","0.00857117956015435","0.213565224040513"
"13","1::O88803"," 15.975338"," 16.251690"," 16.966097"," 16.560582"," 17.301470"," 17.623323"," 17.569619","0.00978661447450048","0.225092132913511"
"14","1::Q8CEF9"," 11.674971","  9.834261"," 10.694939"," 12.313738"," 14.166034"," 13.757228"," 13.969554","0.0118385535662764","0.252837679736903"
"15","1::P21570"," 20.162174"," 19.960817"," 20.251767"," 19.967680"," 18.801731"," 19.010233"," 19.371828","0.0137192893811017","0.263629456740712"
"16","1::Q91X72"," 16.122999"," 15.565052"," 16.277355"," 16.254822"," 15.313168"," 14.545930"," 14.836359","0.0141985972439765","0.263629456740712"
"17","1::Q9JJH1"," 22.702799"," 22.615262"," 22.881801"," 22.797621"," 22.119516"," 22.115068"," 22.415801","0.0151135151222045","0.263629456740712"
"18","1::P47877"," 19.125247"," 18.726576"," 19.232241"," 19.204655"," 20.824680"," 19.992246"," 20.406153","0.0159930893122326","0.263629456740712"
"19","1::P31725"," 15.182579"," 17.061139"," 15.721949"," 17.743805"," 14.646395"," 12.586823"," 13.067277","0.0193826555548857","0.263629456740712"
"20","1::P29788;1::Q8BP99"," 22.433270"," 22.316128"," 22.804936"," 22.374537"," 21.977055"," 22.082187"," 21.984251","0.0195389369332269","0.263629456740712"
"21","1::Q61247"," 18.494576"," 18.283103"," 18.457025"," 18.803281"," 18.879779"," 19.007096"," 18.980644","0.0203231583253132","0.263629456740712"
"22","1::Q91XQ5"," 16.561169"," 17.268450"," 17.277418"," 17.217129"," 17.598731"," 17.874247"," 17.859888","0.0204812649045522","0.263629456740712"
"23","1::O09164"," 19.663780"," 20.031043"," 20.277078"," 19.957695"," 20.455104"," 20.379522"," 20.595180","0.0222327112149919","0.263629456740712"
"24","1::Q8K1M6"," 14.685456"," 15.017667"," 14.380595"," 13.971432"," 15.103928"," 15.518530"," 15.587864","0.0223035463943432","0.263629456740712"
"25","1::P31532"," 18.883478"," 17.306653"," 17.293358"," 18.087072"," 16.703346"," 15.531324"," 16.370628","0.0223214897181037","0.263629456740712"
"26","1::P05208"," 14.233990"," 14.447373"," 14.762767"," 15.303910","  9.894744"," 11.833639"," 11.887014","0.0231924205013475","0.263629456740712"
"27","1::P32921"," 16.616272"," 16.313171"," 16.152705"," 16.575969"," 15.555565"," 15.727572"," 15.020103","0.0253871855547982","0.263629456740712"
"28","1::Q07456"," 26.859390"," 27.118502"," 27.088665"," 27.039778"," 27.421200"," 27.323851"," 27.190656","0.0274965936101515","0.263629456740712"
"29","1::Q80YC5"," 26.220957"," 25.609910"," 26.164671"," 26.090761"," 26.681729"," 26.446848"," 26.457300","0.0286864673547742","0.263629456740712"
"30","1::P98064"," 17.348475"," 17.466457"," 17.706415"," 17.625270"," 18.665668"," 18.043850"," 18.542494","0.028715845035841","0.263629456740712"
"31","1::P50752"," 16.979012"," 17.425620"," 16.675044"," 16.259574"," 15.931123"," 14.721750"," 14.694470","0.0294045627246047","0.263629456740712"
"32","1::Q64739"," 13.464119"," 13.890904"," 14.018224"," 14.261647"," 14.572093"," 15.034080"," 14.430372","0.0294882361759743","0.263629456740712"
"33","1::Q61543"," 13.186506"," 14.453624"," 14.685068"," 13.372305"," 14.919194"," 15.821858"," 15.230332","0.029631277962068","0.263629456740712"
"34","1::P11276"," 27.122524"," 26.768843"," 26.588185"," 27.328809"," 26.431460"," 26.439592"," 26.189085","0.0299779315357332","0.263629456740712"
"35","1::P05017"," 22.585526"," 22.373854"," 22.437362"," 22.371106"," 23.636390"," 23.089531"," 23.116900","0.0339912061721288","0.287039439737186"
"36","1::Q9DD06"," 20.082351"," 20.117702"," 20.136898"," 19.965414"," 20.740555"," 20.660884"," 20.366461","0.0345599325436077","0.287039439737186"
"37","1::Q3UQ28"," 17.184146"," 17.717595"," 16.810713"," 17.339125"," 16.470881"," 16.757692"," 16.677892","0.037075052341806","0.29503504327118"
"38","1::P97430"," 21.345054"," 21.542825"," 21.516164"," 21.191190"," 21.986827"," 22.289381"," 21.754549","0.037496092455869","0.29503504327118"
"39","1::P05366"," 19.038661"," 19.044096"," 18.518075"," 18.660773"," 15.989820"," 13.789959"," 16.160545","0.0407881781085961","0.312709365499237"
"40","1::P32261"," 29.795776"," 29.412130"," 29.196747"," 29.215868"," 29.987178"," 30.133558"," 29.673007","0.0438859029778705","0.328047124759582"
"41","1::P48787"," 15.871437"," 16.123918"," 16.060691"," 15.423522"," 14.414133"," 13.825506"," 12.514125","0.0464563796825731","0.338791646953399"
"42","1::Q61646"," 18.299978"," 17.441069"," 18.386296"," 18.090412"," 15.515092"," 11.737441"," 13.722976","0.0516532386296854","0.365020493924985"
"43","1::Q8BH64"," 15.488758"," 16.353936"," 15.836557"," 15.069075"," 13.163992"," 14.878712"," 13.371716","0.0524945860828574","0.365020493924985"
"44","1::O70410"," 19.446460"," 18.499244"," 17.141196"," 18.848477"," 16.857281"," 15.341276"," 17.297856","0.0566483879935855","0.384951545683684"
"45","1::P10922"," 14.311821"," 14.152704"," 14.336468"," 14.313212"," 11.897215"," 12.213514","  9.771798","0.0596834403942896","0.396563303953169"
"46","1::Q6ZWN5"," 15.472841"," 14.426155"," 14.141533"," 16.399478"," 14.356121"," 12.709052"," 12.603146","0.0617120319696219","0.401128207802543"
"47","1::Q62009"," 18.625650"," 17.858911"," 17.411320"," 18.345221"," 19.586894"," 18.773615"," 18.664323","0.0661372593222103","0.420745543347678"
"48","1::P26043"," 18.098671"," 18.336624"," 18.166805"," 17.850662"," 18.339633"," 18.898648"," 18.580510","0.0696394621093579","0.433795816056209"
"49","1::P60867"," 15.904967"," 14.650077"," 14.700432"," 15.657811"," 13.907611"," 14.837185"," 13.942416","0.0753086880971528","0.456377928517163"
"50","1::Q8VI78"," 18.097727"," 17.535547"," 17.976854"," 17.670022"," 17.400053"," 17.504821"," 16.895840","0.0763173793506961","0.456377928517163"
"51","1::O08692"," 19.012079"," 18.158614"," 18.284414"," 18.671189"," 17.767714"," 15.556397"," 16.106668","0.080352353858621","0.471085368700542"
"52","1::P27656"," 19.545547"," 19.325605"," 19.574323"," 19.433897"," 20.892260"," 20.101869"," 20.020143","0.0835011130653954","0.480131400126024"
"53","1::Q9JM99"," 22.447975"," 22.382619"," 22.209016"," 22.330158"," 20.003983"," 21.574407"," 21.068461","0.0857653997341684","0.483846311707856"
"54","1::P07724;2::P02769"," 23.064310"," 21.650605"," 22.136140"," 22.061507"," 21.426902"," 21.251888"," 21.793520","0.0884201233935312","0.489585498049367"
