"","0","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"1","1::Q61805","7.454420e+06","7.936821e+06","7.553101e+06","7.366630e+06","1.102877e+06","1.266520e+06","1.236402e+06","1.65201775406277e-06","0.000493953308464769"
"2","1::P10922","1.761385e+04","2.036643e+04","2.389639e+04","1.884607e+04","2.519734e+03","6.036218e+03","1.231030e+03","0.000494211886625606","0.0632215108031203"
"3","1::P05366","4.682357e+05","5.952672e+05","4.311631e+05","3.937585e+05","4.458432e+04","1.787747e+04","9.901352e+04","0.000679182551133916","0.0632215108031203"
"4","1::O08692","4.596771e+05","3.231178e+05","3.668100e+05","3.966364e+05","1.553311e+05","6.035003e+04","9.541703e+04","0.000971001184680153","0.0632215108031203"
"5","1::P27656","6.656309e+05","7.228886e+05","8.953184e+05","6.760309e+05","1.392921e+06","1.381352e+06","1.402196e+06","0.00105721589971773","0.0632215108031203"
"6","1::P05367","3.915096e+05","5.254021e+05","3.690619e+05","2.981691e+05","2.111528e+03","1.180631e+03","5.956449e+03","0.00367594804178989","0.144089838342224"
"7","1::Q62009","3.515507e+05","2.627540e+05","2.005080e+05","3.158071e+05","5.570867e+05","5.533516e+05","5.526359e+05","0.00367957382358803","0.144089838342224"
"8","1::Q8QZT1","5.446286e+04","5.741637e+04","6.873114e+04","7.419686e+04","3.091161e+04","3.926299e+04","2.473713e+04","0.00385524651082873","0.144089838342224"
"9","1::P26262","3.221969e+07","3.586639e+07","4.510988e+07","3.624455e+07","5.735394e+07","5.510209e+07","5.568054e+07","0.00488668516964043","0.152227496676248"
"10","1::Q9DBB9","1.513406e+06","2.953824e+06","3.049375e+06","2.587194e+06","5.124306e+06","6.840549e+06","6.207176e+06","0.00509122062462368","0.152227496676248"
"11","1::Q61646","2.804365e+05","1.969406e+05","3.935958e+05","2.642754e+05","3.194762e+04","4.348740e+03","1.856506e+04","0.00622721906878856","0.166763767104082"
"12","1::P11247","1.688956e+05","1.665925e+05","2.215056e+05","1.830542e+05","1.270310e+05","1.067714e+05","1.125033e+05","0.00689507915322976","0.166763767104082"
"13","1::Q8K0C5","1.013738e+05","8.612735e+04","1.493151e+05","1.514324e+05","1.533981e+04","3.108629e+04","3.202658e+04","0.00725059856974268","0.166763767104082"
"14","1::P05017","5.488386e+06","5.922925e+06","6.488443e+06","5.269430e+06","9.563263e+06","1.081345e+07","1.176001e+07","0.00780962971070378","0.166791377392888"
"15","1::P47878","7.458411e+06","1.055450e+07","9.896271e+06","9.178146e+06","1.312312e+07","1.188588e+07","1.382985e+07","0.0085611443568075","0.17065214417903"
"16","1::P05208","1.668773e+04","2.495847e+04","3.209284e+04","3.767185e+04","6.177397e+02","4.646628e+03","5.261696e+03","0.00924126331220726","0.172696108146873"
"17","1::P48787","5.198800e+04","7.936446e+04","7.876850e+04","4.095754e+04","1.474885e+04","1.832057e+04","8.093939e+03","0.0112377600371897","0.197652367712925"
"18","1::Q91X72","6.190428e+04","5.396990e+04","9.150534e+04","7.323754e+04","2.772503e+04","3.009053e+04","3.988043e+04","0.0129096924659014","0.214444335961363"
"19","1::P48678","1.893276e+04","2.464339e+04","3.375712e+04","2.214051e+04","3.759369e+04","3.678877e+04","4.282599e+04","0.0141373641128511","0.222477466828552"
"20","1::Q6ZWY9","4.746187e+05","4.415954e+05","5.724538e+05","3.916332e+05","2.044952e+05","2.907242e+05","1.028317e+05","0.0164154639800065","0.245411186501097"
"21","1::Q99PL5","2.229455e+04","1.723353e+04","3.453998e+04","2.796439e+04","8.147878e+03","1.574705e+04","3.092368e+03","0.0265167344066705","0.346265022017092"
"22","1::P47877","4.972336e+05","4.781466e+05","7.066487e+05","5.759221e+05","1.328377e+06","1.280897e+06","1.827827e+06","0.0266037271657538","0.346265022017092"
"23","1::Q8CEF9","2.825797e+03","1.034696e+03","1.924342e+03","4.657353e+03","1.239120e+04","1.747897e+04","2.199062e+04","0.0266357709243917","0.346265022017092"
"24","1::Q9CZU6","7.306281e+05","8.281462e+05","9.249151e+05","7.867130e+05","5.695039e+05","5.860224e+05","3.593320e+05","0.0292032059585417","0.35425293076541"
"25","1::P09535","1.221774e+05","2.293525e+05","1.695231e+05","1.370206e+05","2.565050e+05","2.274109e+05","2.653817e+05","0.0296198102646664","0.35425293076541"
"26","1::P47880","8.136752e+05","8.262334e+05","7.226432e+05","8.144482e+05","1.060627e+06","1.050322e+06","1.267728e+06","0.0316894268529511","0.364428408808938"
"27","1::P07759;1::Q03734","8.031999e+05","7.589775e+05","1.034725e+06","1.210927e+06","5.970002e+05","6.367227e+05","5.192175e+05","0.0343213405868415","0.364644371770231"
"28","1::A2A8L5","2.217371e+05","1.951984e+05","1.479819e+05","3.013532e+05","5.515836e+05","3.481545e+05","5.243445e+05","0.0360723174334003","0.364644371770231"
"29","1::P0C0S6;1::P22752;1::Q64522","9.643994e+04","8.085287e+04","1.017656e+05","1.293393e+05","4.053424e+04","7.146744e+04","1.802393e+04","0.0385859391536714","0.364644371770231"
"30","1::P50752","1.121275e+05","1.948523e+05","1.204833e+05","7.348125e+04","4.278440e+04","3.396412e+04","3.617776e+04","0.0400426540542838","0.364644371770231"
"31","1::A6X935","6.555380e+07","5.521449e+07","3.795881e+07","9.898452e+07","3.598655e+07","1.136677e+07","2.103328e+07","0.0413050998391511","0.364644371770231"
"32","1::Q91YW3","1.857369e+03","5.183334e+02","1.193993e-05","3.222945e+03","3.903808e+03","8.027851e+03","8.079110e+03","0.0413576429581533","0.364644371770231"
"33","1::Q61508","2.369696e+07","2.767495e+07","3.529157e+07","2.767799e+07","3.433050e+07","3.595209e+07","4.066290e+07","0.0415211975592432","0.364644371770231"
"34","1::Q71KU9","7.977542e+03","4.600113e+03","1.100779e+04","4.025200e+03","3.854171e+03","3.043737e+02","3.220232e+02","0.0435279831954757","0.364644371770231"
"35","1::P18419","9.456745e+06","1.847919e+06","1.221897e+07","1.513074e+07","1.298782e+05","2.005600e+05","1.228034e+05","0.04450067549539","0.364644371770231"
"36","1::P31532","4.204306e+05","1.794960e+05","1.847956e+05","2.636589e+05","7.357572e+04","5.931678e+04","1.143803e+05","0.0445540690134466","0.364644371770231"
"37","1::O70410","6.213982e+05","4.087304e+05","1.663321e+05","4.489738e+05","8.197270e+04","5.203927e+04","2.162192e+05","0.0451232165735738","0.364644371770231"
"38","1::P32921","8.717400e+04","9.043556e+04","8.394544e+04","9.167278e+04","3.286839e+04","6.790138e+04","4.524399e+04","0.0571913361554352","0.433129046473495"
"39","1::P11276","1.278906e+08","1.229071e+08","1.146044e+08","1.686649e+08","6.804833e+07","1.086485e+08","9.697911e+07","0.0578263979745723","0.433129046473495"
"40","1::O89053","5.867511e+03","6.581608e+03","8.394405e+03","8.626415e+03","2.803744e+04","1.486628e+04","2.501643e+04","0.0580204639683925","0.433129046473495"
"41","1::Q9JJN5","2.278546e+07","2.683074e+07","2.491037e+07","1.881147e+07","3.444560e+07","3.968393e+07","2.831930e+07","0.0593922772756298","0.433129046473495"
"42","1::Q8BWT1","7.784905e+04","6.563449e+04","6.746420e+04","6.963881e+04","4.452251e+04","5.193951e+04","2.299491e+04","0.0618851450760927","0.440563294708374"
