"","0"," 1.00000"," 1.00000"," 1.00000"," 1.00000"," 2.00000"," 2.00000"," 2.00000","pVal","BHpVal"
"1","1::P05367","18.87220","18.94320","18.41619","18.38620","14.35959","13.70671","14.16932","4.16227985365121e-05","0.00994785441636033"
"2","1::P20033","15.55427","15.68896","15.52408","15.42457","16.46789","16.39174","16.35662","6.6540832216457e-05","0.00994785441636033"
"3","1::Q9JKR6","18.23539","18.11084","18.15494","18.09822","17.64697","17.66833","17.76931","0.000517625990375541","0.0515900570407622"
"4","1::Q8CEF9","13.97707","13.66862","13.72649","14.13698","15.09280","14.69177","14.90569","0.00176616852183321","0.102585584550673"
"5","1::Q61805","23.08642","22.82774","22.72438","22.96011","20.52845","19.97515","19.87330","0.0020492994631088","0.102585584550673"
"6","1::P18419","23.42923","20.73274","23.41743","23.99735","17.56661","17.40583","16.71892","0.00250588884022773","0.102585584550673"
"7","1::P05208","14.99508","15.11200","15.32946","15.73446","14.21363","13.97956","14.12709","0.00263179594501293","0.102585584550673"
"8","1::Q8K0C5","17.02851","16.50013","17.18045","17.46026","15.24894","15.19083","15.22792","0.00274476480403139","0.102585584550673"
"9","1::Q8BGD9","15.33889","15.05517","14.98121","15.17349","15.55791","15.79346","15.69920","0.00333856984784002","0.110914709389352"
"10","1::Q9DBB9","20.79420","21.40569","21.41944","21.45469","22.73088","22.39417","22.18433","0.00392313379631907","0.11730170050994"
"11","1::Q61581","18.32580","18.37218","18.63081","18.19711","18.99082","19.00656","18.97050","0.00642593772078185","0.171942326552508"
"12","1::Q64487","18.55070","18.72401","18.99875","18.63498","19.23378","19.30518","19.34340","0.00690069538003376","0.171942326552508"
"13","1::Q8BK62","16.55861","16.83817","17.04895","16.82911","17.34267","17.56137","17.26746","0.00796992644541853","0.183308308244626"
"14","1::Q91YW3","13.86992","13.61411","13.52585","14.00411","14.51723","14.20379","14.29119","0.0100676831731488","0.185385502380721"
"15","1::Q9JJH1","22.76264","22.64611","22.94840","22.90703","22.09675","22.08732","22.41098","0.0105602629912477","0.185385502380721"
"16","1::P32921","16.83302","16.56160","16.43606","16.80168","15.93587","16.03183","15.56551","0.010762819314101","0.185385502380721"
"17","1::O88803","16.27695","16.50815","17.16293","16.78792","17.37398","17.70630","17.70286","0.0109542321519097","0.185385502380721"
"18","1::Q64739","14.57567","14.77122","14.84080","15.00858","15.30500","15.49773","15.17369","0.0111603312469999","0.185385502380721"
