"","X","Protein","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X1","X1.1","X1.2","X1.3","X1.4","X1.5","LogFC","Zstatistic","pVal","BHpVal"
"841",56,"sp|Q96SI9|STRBP_HUMAN",217.763103169374,392.381032184816,473.405585618181,791.610889637688,392.95416140997,415.94260432766,397.081002271283,411.748299632566,68.1964219319523,228.936501301917,92.0482166486183,4648.68780707251,2313.00490332974,43.2721392139593,0.409791622864531,0.681958811897723,0.999996399238501
"1008",1,"sp|O15020|SPTN2_HUMAN",2543.32239433058,2261.87094137349,2300.95985479646,448.211187265694,545.871173084897,3093.14261793744,1853.23083859624,22882.6015344532,18764.9729910843,13464.1671045086,10890.2544376669,23744.8203998183,24101.0739241571,17.4295680288748,0.173168531878924,0.862518957849864,0.999996399238501
"1590",31,"sp|Q03169|TNAP2_HUMAN",3863.19382868501,3781.82503940864,11060.6514211132,6527.74867665194,16006.5346471486,8120.9669727182,3069.29934649135,9441.02319779665,7038.17046935002,8479.10094253588,9459.31528797587,21258.389336419,20438.2147394293,11.5451809612887,0.124305351191446,0.901073510527258,0.999996399238501
"1411",69,"sp|O75477|ERLN1_HUMAN",4988.25717462415,6649.96978179396,18136.7966025046,10669.9994116976,1955.94073078002,1823.49938470526,20731.8322602297,11671.027789645,2.63342629076659,4711.91339552587,5973.71504120944,13793.6477816839,14344.1475296023,10.4734887311262,0.10874597952466,0.91340397169284,0.999996399238501
"1792",17,"sp|Q8WXI9|P66B_HUMAN",2165.39678371556,5764.63635291056,1886.89546751243,3137.78223253526,8046.77469346646,5676.96603954705,13629.3815406952,12191.2278492303,21789.8927494576,14098.581823946,14771.6028822912,12117.7945856735,8576.23646311551,11.0954464784888,0.1072126294926,0.914620296295226,0.999996399238501
"232",6,"sp|Q13247|SRSF6_HUMAN",386932.88938596,377059.635641234,327681.778846973,350125.843105355,445610.10390077,359081.821261368,286524.951425358,659511.200263609,637027.419294629,467286.901771546,627180.588286604,423828.236376564,577200.446515454,-11.0680038717926,-0.103926465092383,0.917227704718118,0.999996399238501
"1591",32,"sp|Q5JSH3|WDR44_HUMAN",20186.8583067517,21516.8986043624,21444.3759004836,17277.4290133565,24132.2388504685,27108.974604977,3388.5414052537,25510.4278769958,22803.6371833938,36388.2248461857,37943.7392186662,10158.2901955381,11187.416875842,9.6943952417467,0.0987532795542779,0.921334164604726,0.999996399238501
"187",74,"sp|P26368|U2AF2_HUMAN",198574.134777426,203193.465852737,124888.706507289,167534.728383578,260408.288492286,198141.819626677,114818.139179189,260000.691904198,276021.067300635,198602.308782562,243152.698235516,258756.067848527,327227.26990256,-9.96153263900154,-0.0971796146351244,0.922583756576201,0.999996399238501
"2016",38,"sp|P22626|ROA2_HUMAN",7972989.76748361,8241962.97275144,6300611.78446108,6622518.1002603,8089781.7429721,8077457.28697457,6674893.22633448,9780700.3370216,10168631.283493,8201699.15733341,8396264.70887357,9874935.2629064,10137109.1011626,-8.98862767878857,-0.09332522027813,0.925645196630598,0.999996399238501
"748",74,"sp|Q96HN2|SAHH3_HUMAN",4099.4923790243,1188.45749217431,16382.0094225513,7085.89177840993,14107.9845297525,11163.6861885557,11858.6242350112,11174.5696321919,18112.285180871,2152.56435301702,2603.90565295104,16972.1799463978,26940.473461634,9.55625614282033,0.093073957966176,0.925844806143788,0.999996399238501
"1718",53,"sp|P01604|KV112_HUMAN;sp|Q96NH3|BROMI_HUMAN",410678.650836246,316444.51765085,369116.120047153,458965.573099597,455415.854796902,502949.499207291,222727.06014124,511639.313151907,631765.006359009,821985.429371052,823262.41162194,288447.987526349,458695.55207809,8.54446931275144,0.0926109357398769,0.926212655625139,0.999996399238501
"1740",76,"sp|Q92922|SMRC1_HUMAN",2469.45512567425,2875.90616801477,1722.22961856493,3058.57410139034,3119.71794392545,2607.67372354084,2232.96256833269,19465.8884695443,18488.5985874907,3354.74180072533,7790.39326463311,5011.72812137555,6884.9906516546,9.40481256407455,0.0922864360292919,0.926470464858928,0.999996399238501
"1462",10,"sp|O43264|ZW10_HUMAN",934.24820545981,2223.64565137331,1600.48724540723,1541.51572028061,1530.4100612248,168.134999799709,13288.6584378612,16521.7485822828,16981.6900782745,7503.64124981547,4273.0043403154,1781.29100754712,9016.35970910228,8.83863528142866,0.0908283171664542,0.927629009198883,0.999996399238501
"1444",104,"sp|P16220|CREB1_HUMAN",8436.23385761842,8012.84593816811,941.583597328112,1553.52702119804,12700.0344954068,6825.69091156102,224.821510508372,11688.969810449,11631.6225075932,15661.5685649857,1392.02001092618,12482.3873862445,15243.0188787742,8.91671285972283,0.0904135623859039,0.927958579608787,0.999996399238501
"961",67,"sp|Q9NS69|TOM22_HUMAN",29873.8291962256,94112.9714796033,158234.043727066,158190.329353767,72337.4274444331,78137.470107943,59477.5972594944,239389.692386974,235996.527940064,91404.4498936075,116109.694690979,325019.332379398,112128.003104069,8.28782547301551,0.0888706159220898,0.929184736223103,0.999996399238501
"1834",64,"sp|P27482|CALL3_HUMAN",7690.24268362063,9391.56655811238,4440.52778869124,2571.6586254174,4116.56476753097,532.845091239611,46492.1174145043,446585.218805041,417455.740131852,61588.3770806462,57691.0574056317,129713.429181296,103127.203777407,-8.69710289992233,-0.0877811774952838,0.930050598189725,0.999996399238501
"1567",4,"sp|Q9BXW7|CECR5_HUMAN",10153.2484829451,9386.04244642231,4483.38613989854,2824.71278490163,6034.75000101139,2974.34038655242,1140.79581263161,28201.715734778,49283.672496557,18585.5085089164,6901.03512209349,25344.3709115223,31189.5911166517,9.06843336965693,0.0873787015224564,0.930370498340411,0.999996399238501
"122",9,"sp|P41091|IF2G_HUMAN",2416.58684246124,219.880155552122,4761.65315529341,1593.17975470358,486.564662445355,527.62126204837,1568.94530322221,15803.5185679068,11757.1336672428,2701.08055726618,1352.71038123007,19187.934983502,29708.1729463341,8.67916053859837,0.0870227640155187,0.930653417678148,0.999996399238501
"670",108,"sp|P00918|CAH2_HUMAN",17922870.156055,14235252.3479598,10373554.6287645,10712187.108074,2591724.87122719,2756423.52724203,52625250.5583152,464285.346205024,457452.607587844,684457.583171262,640586.914063252,1199125.33495933,991453.921391632,8.59312426029131,0.08677237584056,0.930852445667419,0.999996399238501
"2586",43,"sp|Q12802|AKP13_HUMAN",166965.934894524,269239.041130129,352723.210864165,310709.07366826,152902.730969605,151772.674422493,164386.686185502,423472.231485125,525802.510673731,212900.923976738,205906.86576859,225929.283198123,233238.963422483,8.24469151788914,0.08664710018329,0.930952026123856,0.999996399238501
"2751",95,"sp|P35637|FUS_HUMAN",127215.066460053,97787.1979053655,218638.594364648,127867.002291079,276662.048383866,384805.691036027,172665.266161327,355853.476169432,272654.489021202,226772.029989968,240307.104945166,169456.546208,269445.834658201,8.97399049323234,0.0861522043782043,0.93134542475756,0.999996399238501
"1428",86,"sp|Q56VL3|OCAD2_HUMAN",32374.4739595767,29724.0474602977,14387.2856541723,29285.9020214205,30306.2585807424,27735.7852734806,16842.8039021593,35570.0148075405,40226.7887162407,90766.9746668927,62934.0913881339,54661.8371755258,50253.5840598509,8.58661378426775,0.0853998983674237,0.931943473959979,0.999996399238501
"558",109,"sp|Q6IBS0|TWF2_HUMAN",466328.433196898,441498.489645462,604937.668236365,417279.591186389,429259.019343865,440597.028524879,319089.370356797,373340.841693642,621715.496870771,383497.890269623,408227.133760494,608510.007013237,636608.466280223,8.73894186088559,0.0848770196090273,0.932359161542735,0.999996399238501
"1863",93,"sp|Q9H267|VP33B_HUMAN",3799.77554492483,19557.6838634263,13423.538914311,24697.3672033587,43352.0912327297,18306.4393534065,87.1295308368774,35933.8619148094,33546.1848012516,28038.821081248,26353.8049350826,40657.7025019616,38417.6969483768,8.29387253361342,0.0840506454921693,0.933016164911889,0.999996399238501
"497",48,"sp|Q96AG4|LRC59_HUMAN",1224620.72958779,1308712.3551011,1035028.35071726,1443721.11007774,1373927.14471312,1285828.8939544,2175860.41412515,1088365.38046387,1137989.24846254,2549637.92522902,2497183.24677628,1308789.27551695,1092658.591083,-8.39381739951482,-0.0839695175670025,0.933080667608579,0.999996399238501
"768",95,"sp|Q9Y5P6|GMPPB_HUMAN",143681.290431136,126557.514965708,173183.564372232,12433.2914082111,221422.657345977,106571.784315434,55370.2969425869,412521.762264473,317482.216008015,295394.057051706,655975.170681744,273297.321949028,472671.366848166,-8.06239692012959,-0.0829380040702547,0.933900835245999,0.999996399238501
"2110",19,"sp|P14868|SYDC_HUMAN",768838.337422831,721075.352835188,1543598.97657442,1058532.4787395,721926.451644344,742398.246830172,1722799.77087123,1254398.32971158,1313034.21436321,827815.185541825,988968.538287173,1201351.61560261,1077359.87410502,-8.29076238898411,-0.0823623303282051,0.93435859028365,0.999996399238501
"1822",52,"sp|P61956|SUMO2_HUMAN;sp|Q6EEV6|SUMO4_HUMAN",1593404.05930937,1389019.48879492,1258976.4121848,1522532.86173821,1428044.27777361,1484428.79978783,1864549.57043482,1183725.63315298,1396111.66574616,1910137.29726874,1786598.40121742,1420172.00565704,1399091.49811167,7.74187981569835,0.0823172525931152,0.93439443539424,0.999996399238501
"43",43,"sp|P14625|ENPL_HUMAN;sp|Q58FF3|ENPLL_HUMAN",22240057.8578785,21285091.605997,24528476.4124073,25551439.7245177,23499116.0837553,21801091.6290306,24376198.3105616,29342101.0110648,28935129.668476,51196550.0561549,52350741.2682862,52935027.1236071,57021238.6940396,-8.19669790976972,-0.0819978181121808,0.934648448508877,0.999996399238501
"1097",91,"sp|P07476|INVO_HUMAN",13815.0146309068,7388.41277616574,13278.6930125928,12654.4391976467,5421.01546342444,4351.81757761248,17105.9846573965,115003.966011182,110793.76700433,14987.6242974047,7707.14930568138,130599.856910109,126374.490691617,8.16944982121458,0.0816787888237051,0.934902146056765,0.999996399238501
"1860",90,"sp|Q86YV0|RASL3_HUMAN",28770.8881849769,49545.0410439946,51101.7307837345,40179.0115202073,26919.600190709,25775.5345810006,53296.0750611062,54504.3387587675,42429.3990817783,65504.728221053,80593.2209780551,48752.2242333201,51547.5485626564,7.98945021773836,0.0810292372554253,0.935418700980918,0.999996399238501
