"","Threshold","Go_BP","Go_MF","Go_CC","Kegg_Path","Total","DEs"
"1",0.001,62,3,22,1,88,908
"2",0.002,60,3,18,1,82,972
"3",0.003,57,3,18,1,79,1012
"4",0.004,46,3,14,1,64,1040
"5",0.005,46,3,15,1,65,1067
"6",0.006,41,2,14,1,58,1091
"7",0.007,38,2,13,1,54,1112
"8",0.008,39,2,12,1,54,1127
"9",0.009,40,2,7,1,50,1141
"10",0.01,42,2,6,1,51,1155
"11",0.02,27,2,5,1,35,1257
"12",0.03,27,3,6,1,37,1322
"13",0.04,30,2,6,1,39,1367
"14",0.05,31,2,6,1,40,1412
"15",0.06,27,2,6,1,36,1440
"16",0.07,26,2,6,1,35,1465
"17",0.08,20,2,5,1,28,1490
"18",0.09,16,2,4,1,23,1515
"19",0.1,19,2,2,1,24,1535
