"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","pVal"
"1","0",1,1,1,1,1,1,1,2,2,2,2,2,2,"pVal"
"2","sp|Q15149|PLEC_HUMAN",24.9534617205759,24.9541588966804,24.9249425430671,24.9305614035388,25.0249539328114,25.0053531377872,24.6982023680503,25.6521632707939,25.7161192979317,25.3109374641789,25.3006667674369,24.9327538057559,24.9692736155282,"0.639334874135449"
"3","sp|P35579|MYH9_HUMAN",25.7605042614264,25.6703384961964,25.5025433734184,25.5596304464449,25.6364183625846,25.6529006433358,25.4932269537181,26.401193111466,26.4572009989966,26.3088982604074,26.3770184509759,25.9788127356525,25.9851830793805,"0.708045531551235"
"4","sp|Q09666|AHNK_HUMAN",25.2153631218254,25.208346279541,25.8120893298567,25.8355713146351,25.6335491345816,25.6571905850896,25.2532642316978,24.8555088460768,24.7665522662695,24.6651410014214,24.734583862063,24.5474663341928,24.5198909235127,"0.395550822394524"
"5","sp|P35749|MYH11_HUMAN",25.3726498570673,25.1523208617856,25.0735777957255,25.1618134380511,25.5232549627266,25.5260774173875,25.2819388724979,22.9873184937084,23.0198669028812,24.3062747463546,24.3659139311107,24.552244418375,24.5209714605535,"0.35943699458562"
"6","sp|P21333|FLNA_HUMAN",27.0908499960641,27.071585057414,27.0523319715703,27.0740869107103,27.2550962562722,27.2437681793685,27.0420897268063,26.6368907816783,26.7185550530417,26.9178418792414,27.0228816068641,26.1920620641535,26.2410992424736,"0.0618952918950825"
"7","sp|P35580|MYH10_HUMAN",24.4955898726884,24.4890519832193,25.141981865692,25.0445288060617,24.8233073000012,24.931618128484,24.429320945028,23.7424316427936,23.8450901490088,23.987805720636,24.0781764283651,23.145862211496,23.148659704405,"0.110618144416974"
"8","sp|Q9Y490|TLN1_HUMAN",25.3892532046361,25.276734533812,25.6898643495347,25.6353114319896,25.8315792563856,25.82768483839,25.4406778200814,25.2381534605325,25.3129475832931,25.5623788027385,25.5660304679813,25.0984640556252,25.0658002207228,"0.324861792982687"
"9","sp|P12111|CO6A3_HUMAN",26.0194077182734,25.9059318397485,26.4182507033294,26.3566309072771,26.2236280133588,26.1529014666048,26.8712451126876,25.4913846941682,25.5857733629974,26.6321383290476,26.6785905756911,26.1393074281208,26.1343737421879,"0.796166234630969"
"10","sp|Q01082|SPTB2_HUMAN",23.8353751913613,23.8943377561317,24.4866274343613,24.6276127134153,24.6312392189294,24.6716891018706,24.1606569938948,22.9830296006268,23.0510035811059,23.0935033494822,23.2169636336734,23.1025572825326,23.0054030854505,"0.392944557442256"
