"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","pVal"
"1","0",1,1,1,1,1,1,1,2,2,2,2,2,2,"pVal"
"2","sp|Q15149|PLEC_HUMAN",34929973.2238444,35249196.2901862,37531524.1491051,38402755.5622929,38223884.1019023,36924371.4077276,30071571.7476087,43314530.0639528,43485366.3017667,37619086.6122084,37268115.6432523,27139277.8654026,28077124.5499306,"0.695371147014189"
"3","sp|P35579|MYH9_HUMAN",60309803.9557763,57483304.7193805,57183857.6602507,61232740.1682228,58899072.0725883,58725463.0367582,52853065.4957971,69369000.7096322,69196295.8071839,74805769.9300237,77868439.2734307,53875497.1486458,54553652.9259934,"0.796922819029955"
"4","sp|Q09666|AHNK_HUMAN",41863638.3207124,42027887.8844527,69448095.8664543,71967368.6915409,58293944.6197878,58038041.2286356,44196097.8714855,24903800.0177945,22486729.3423585,24041623.1682619,25166939.2696786,20757516.9812114,20540984.2313032,"0.413706614859194"
"5","sp|P35749|MYH11_HUMAN",47096593.1108014,40672149.5655994,41373333.7076749,44601625.5546315,53856343.2992503,52636869.879101,44879542.6839312,6955920.43123948,6839101.06459041,18766302.9766649,19554799.5022241,21160575.5633709,20874441.7675256,"0.449865836207472"
"6","sp|P21333|FLNA_HUMAN",149139211.517538,150486953.392718,172881430.135642,182942260.749505,183555327.349505,180693732.420794,156964491.925018,76026452.1995377,77132788.5162516,113289663.131018,120134866.897072,59182435.1470785,61556261.186665,"0.0952490752625107"
"7","sp|P35580|MYH10_HUMAN",25903126.2109408,25894601.8900983,43294238.4869598,40821826.7788152,33080300.7530975,34665699.7524676,24831828.1855254,11917660.0745221,12318098.0588655,15047634.6448834,16047212.1475651,8061171.6431889,8136363.88382787,"0.294075694108732"
"8","sp|Q9Y490|TLN1_HUMAN",46965769.2410492,43925921.5308474,64276429.152995,63349427.4826799,67068292.6853959,65697884.2334302,50574916.1209783,31890014.5442385,32242001.6305875,44710500.6402569,44634049.0880363,29960687.9405187,29544337.7093094,"0.050545593928832"
"9","sp|P12111|CO6A3_HUMAN",71822304.4939722,67515768.278895,108900524.794844,107799861.086279,88852880.9862163,83570851.2446174,138055852.114022,36163934.0192395,37036965.9756492,93399111.5889313,95581755.4144588,59249611.5774384,59488824.4620858,"0.433301362469009"
"10","sp|Q01082|SPTB2_HUMAN",16614631.4585327,17353450.4813224,27483714.5343841,30389582.1575625,28844408.5834936,28773512.8257026,20694677.4277174,7172326.78499629,7254183.76107757,8096765.63338373,8856658.07051408,7859642.35210917,7402757.30413848,"0.429171114887865"
"11","sp|P01024|CO3_HUMAN",81372446.9858847,77548231.8384095,108161715.26435,112486811.568291,67673420.1381965,63439212.5781702,171544647.923859,15369671.9581768,15376954.6238186,40127025.719689,41038772.0495108,26400337.1314436,26809985.9122853,"0.354166492589478"
"12","sp|ALBU_HUMAN|;sp|Q92985|IRF7_HUMAN",5560014464.46961,5517854957.73299,4654500042.11343,4399685775.05009,3620679259.25671,3653155894.59432,4123450368.4221,1060260792.8368,1083000567.59153,1867982231.77863,1806407487.64941,1760022475.42958,1533904666.62329,"0.467673980449699"
"13","sp|Q13813|SPTN1_HUMAN",11969694.6536175,13138604.5547991,21277714.4782328,21166873.1445709,21582879.1498868,21702888.5135846,13614923.9696361,5983888.7422026,6038138.25282167,6658139.74802342,7061148.80584806,6592838.33616247,6555775.59762898,"0.442804342578563"
"14","sp|Q14204|DYHC1_HUMAN",10008930.964376,9173913.94365996,12336079.7893208,12599575.5786792,12304258.2069448,12373592.5462066,11162587.086307,10931370.9649065,10830005.6759153,10118237.0888009,9470485.85757941,8934465.23786769,8669895.9417838,"0.789435370529687"
"15","sp|P15924|DESP_HUMAN",2741193.0538379,2638788.76570198,1961414.39441239,1966659.56261426,1282026.46266139,1386434.45532691,3870425.96760173,23259984.8351018,22404057.5433057,2204809.58310926,2247320.14143228,8397053.79498843,8669895.9417838,"0.163165910810871"
"16","sp|P98160|PGBM_HUMAN",9443505.90959215,8997671.82877472,14406824.6070176,14136625.7388516,15229040.8954809,15025076.6632508,11970110.4501462,7065732.13223242,7139786.57811991,16085402.5514271,16661039.9346304,6651830.58274344,7336065.79689398,"0.65009297066028"
"17","sp|P02549|SPTA1_HUMAN",28519603.6059853,25759028.058213,16253809.6708723,15723962.9073955,7154759.6404685,6556429.50689189,66521961.7447102,1324848.89259309,1202336.98462406,1435864.621918,1478555.59683294,1933595.31826973,1920635.03937287,"0.502722461982329"
"18","sp|P11277|SPTB1_HUMAN",27996308.1269764,30368538.3423142,15662762.0464769,15270387.0542976,7302495.3680432,7107309.69937012,64699442.2448551,2971982.60362327,3303747.1499853,1419348.14268548,1327973.047752,2057463.88431155,2230250.09832396,"0.518092814280386"
"19","sp|P04114|APOB_HUMAN",23025001.0763918,23318699.084277,19209047.7928491,19503761.6832117,11900839.9050778,12177186.3153144,52169620.6833515,3340278.84462748,3381394.39022613,6265244.23199759,6141518.50693407,4364763.58375112,4403728.95106879,"0.456237046861528"
"20","sp|P02751|FINC_HUMAN",32575143.5683043,32944441.1481355,43737524.2052563,42182554.3381091,37921320.3755021,35549527.7914824,62649107.8075181,25643516.8500062,26620319.2949979,56904273.5421452,64714986.6934593,20690340.5508515,20274218.2023252,"0.627960108271304"
"21","sp|P35555|FBN1_HUMAN;sp|P35556|FBN2_HUMAN",6059910.37273121,5944082.3973975,19947857.3233433,19957337.5363097,14422204.2917468,13552029.9315596,14781839.3783556,5804096.25358441,5823311.68252752,27327888.2056503,28148388.5211388,6577493.73202917,6629650.93063221,"0.878514908896958"
"22","sp|TRFE_HUMAN|;sp|P02787|TRFE_HUMAN;sp|O95714|HERC2_HUMAN;sp|Q9Y4I1|MYO5A_HUMAN",249873591.226752,230475514.205063,165493334.8307,179918421.728852,169435686.784158,160071078.177117,284768671.852355,59506109.613476,57043541.346424,89075078.6449993,99966239.6077826,75237602.0030964,82030553.9107236,"0.426280443077357"
"23","sp|P02545|LMNA_HUMAN",73915486.4100078,105747588.870558,58070429.0968437,70153065.2791491,50225578.5824469,58529056.805866,142612150.863659,34355737.3182776,32903376.0230098,40732390.3318395,41564910.1527096,30632452.2441178,29210880.173087,"0.389239826617103"
"24","sp|P08670|VIME_HUMAN;sp|P41219|PERI_HUMAN",426485815.392257,460951028.410127,375315241.491051,382515636.112602,434683220.261739,402632773.328944,348556854.347283,244928462.221213,233134473.328863,298358273.131308,281483885.211388,302965700.923183,276769755.064637,"0.484267447135828"
"25","sp|P01023|A2MG_HUMAN",149139211.517538,149131215.073864,123381191.592531,125942895.210197,84213570.5147453,79642726.6267741,136461147.551649,22273695.7254862,21411995.9546722,28365656.1121939,29814492.5146018,27945395.0297215,26676602.8977963,"0.484465432269835"
"26","sp|P78527|PRKDC_HUMAN",2973797.3107829,2850019.25316094,3223867.29168779,3255396.27915424,2970954.57479076,2911114.34347695,2905089.24832086,8630029.70913671,8349851.70433163,5119959.0707473,5335624.5612486,6919172.32707047,6935916.75342704,"0.249494777774277"
"27","sp|O43707|ACTN4_HUMAN;sp|Q9H254|SPTN4_HUMAN",51806252.4218816,48399857.9830633,66049572.026181,75142399.6632266,73623840.0907354,79348117.2804358,43284838.121558,50382935.3495315,48776361.4411452,69271007.7617907,70064057.4093143,41044798.9499035,34679583.7671352,"0.54487774181333"
"28","sp|P16157|ANK1_HUMAN",33621734.5263221,34029031.8032182,20243381.1355409,18143034.1239179,9427575.76129166,8288479.13074795,67661036.4321196,1718281.51866912,1727144.2713475,1754409.12136968,1858141.92828154,2289816.35629999,2248149.56266867,"0.502355371745563"
"29","sp|P18206|VINC_HUMAN",19885228.2023384,20064927.119029,23641904.9758142,24795479.9693544,27735008.2533592,28184294.1330261,17392615.97835,10356035.6509641,10003287.6853874,15912441.2336698,16748729.6184969,8397053.79498843,8002980.86933889,"0.0578189576746987"
"30","sp|P26038|MOES_HUMAN",13213210.8449748,11451369.6881106,11570676.1167731,11157728.5830961,14220495.1408133,14534061.0860204,10914283.2183028,11588897.0379836,12152754.4607599,11761369.607495,9908934.27691179,9203170.95930732,9136736.49249523,"0.616916490977813"
