"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","pVal"
"1","0",1,1,1,1,1,1,1,2,2,2,2,2,2,"pVal"
"2","sp|Q15149|PLEC_HUMAN",25.0052434774052,25.0194467160669,24.6693729824089,24.6693729824089,25.0180944190411,24.9914764632538,24.4156053936764,25.3736690311378,25.4252259699878,25.2772109490536,25.2023274035009,24.9251155129682,24.9583872018255,"0.720039380399538"
"3","sp|P35579|MYH9_HUMAN",25.9255640934544,25.7722127079546,25.4307973862755,25.4089114511201,25.584539374365,25.6300524595611,25.2933859005036,26.0433501768711,26.0080098757366,26.2048194369862,26.3543609433282,25.8297028811443,25.7400887335437,"0.697851610892688"
"4","sp|Q09666|AHNK_HUMAN",25.2592582293319,25.2682249579053,25.823557405825,25.7338848755696,25.5614071529689,25.5826141575837,24.9113985357263,24.6190837782398,24.5233794203235,24.6198326884973,24.7459790564302,24.4978262692774,24.5124569611735,"0.340426949139226"
"5","sp|P35749|MYH11_HUMAN",25.393593156566,25.2386089313699,24.7568428806042,24.8618037239084,25.4916187401336,25.5143477562782,24.9332108244549,22.8109807551925,22.8292115783617,24.2960135756157,24.3008766782522,24.5119401305614,24.5544891391472,"0.372763588107962"
"6","sp|P21333|FLNA_HUMAN",26.8874445883779,26.9431555292762,27.2162190660419,27.2162190660419,27.2219758045297,27.4576679771879,26.8618407005267,26.0971431779754,26.0990392201332,27.3630953816501,27.4619164310317,25.9058420483362,25.9588478345183,"0.245375417413032"
"7","sp|P35580|MYH10_HUMAN",24.4498549172623,24.3988481213825,24.8824799749849,24.7387363465412,24.9360989236652,24.9443676476651,24.0730182202933,23.5653150675617,23.7487335825705,24.0681001278202,24.115793813331,23.1412457810985,23.1065937055692,"0.0746420939194476"
"8","sp|Q9Y490|TLN1_HUMAN",25.3634412471875,25.2995800612425,25.6625204505913,25.4600165673269,25.8696074523244,25.8664989097139,25.1177531594101,24.8685148570441,25.0111225295343,25.5635134130825,25.4241551394636,25.0419004424568,25.0865410330954,"0.213934747108936"
"9","sp|P12111|CO6A3_HUMAN",26.0354895204852,26.0335138136629,26.348390897148,26.1568082634969,26.3937775814783,26.3913975364201,26.7054046800642,25.0865410330954,25.2046095180508,26.8272858060014,26.8263442571043,25.9305711460987,25.8703832056653,"0.603638618532728"
"10","sp|Q01082|SPTB2_HUMAN",23.6209734084216,23.8015721795827,24.3077862281578,24.4708377580846,24.7116288521565,24.6977293074807,23.8282962113932,22.8380913246965,22.9157096560073,23.1923474688733,23.2777940113609,23.0657918940824,22.9679639117896,"0.246505818172661"
"11","sp|P01024|CO3_HUMAN",26.1762566943812,26.1294684721567,26.3016410342718,26.2639615674579,25.9305711460987,25.7362154677959,26.9407996647134,24.03258391396,23.9909644804121,25.3745174061756,25.3149497770568,24.8676780551678,24.8685148570441,"0.244366410297412"
"12","sp|ALBU_HUMAN|;sp|Q92985|IRF7_HUMAN",30.8978090127609,30.8950668612105,30.9014560841062,30.9014560841062,31.4836686359059,31.4831069696472,30.8895648668091,31.0979732119072,30.5926576506259,32.6040514157324,32.6040514157324,31.4836686359059,31.4838088027079,"0.99803391420592"
"13","sp|Q13813|SPTN1_HUMAN",23.1244434324461,23.2711344388497,24.0594126125708,23.9991963623836,24.2149400453573,24.2478531313898,23.3349686659192,22.6453227641348,22.6521279725847,22.8672527756559,22.9523598596807,22.7735658457714,22.7499517457808,"0.154571328925182"
"14","sp|Q14204|DYHC1_HUMAN",22.8663588502457,22.763265640305,23.2356480071261,23.3221219381706,23.3688167141442,23.4511507085991,23.0302423697866,23.4618490783507,23.56681929301,23.4143218930493,23.3699188498392,23.3044432049275,23.2090892577982,"0.491094513401333"
"15","sp|P15924|DESP_HUMAN",21.1559631652581,21.0864360236929,20.6762853247576,20.7052726166307,20.2164929554673,20.3664194375362,21.5173295764444,24.5989183469001,24.5002962340094,21.1185999923427,21.1302078017233,23.2226456907322,23.2090892577982,"0.0865315276982349"
"16","sp|P98160|PGBM_HUMAN",22.805643285995,22.7473275305544,23.3999592042198,23.4286948793688,23.6964068079767,23.6408529947448,23.1169780524965,22.8271472443452,22.896597668841,24.135858832127,24.1349233774834,22.8051615591665,22.9523598596807,"0.921248847066898"
"17","sp|P02549|SPTA1_HUMAN",24.7134878779418,24.3638338761064,23.6392566143984,23.6025820313587,22.6119123340491,22.5918070288699,25.6521875211522,20.3054370522967,20.1878833974256,20.4403833522858,20.4464059035355,20.902537034246,20.88209288788,"0.518890589701221"
"18","sp|P11277|SPTB1_HUMAN",24.6563306315546,24.7847482157466,23.5590692821317,23.5520800206371,22.6567418672362,22.7010634668411,25.6219341822784,21.5184887998717,21.6737449646804,20.4157682540493,20.2926442996462,21.0167710865813,21.0941139327628,"0.601234005604795"
"19","sp|P04114|APOB_HUMAN",24.2512091471044,24.2398994936297,23.946213409317,23.8799672947367,23.3218940182055,23.4022915395622,25.2449860335757,21.6675011922508,21.7122797570375,22.7663082442286,22.7180412030573,22.1086685154721,22.1096229701986,"0.348733978077102"
"20","sp|P02751|FINC_HUMAN",24.8801043053328,24.9155342338003,24.9001276105028,24.7706621573861,24.9948045513419,24.9656255686298,25.5051407977171,24.636463569718,24.704813409145,25.8711584072613,25.9588478345183,24.4768752783735,24.4882214392993,"0.668321356551068"
"21","sp|P35555|FBN1_HUMAN;sp|P35556|FBN2_HUMAN",22.2391165174523,22.1752364618864,24.0091025366546,23.9160020261955,23.6095846915661,23.5676530852802,23.4572387666495,22.5550038340584,22.5759848278416,24.9157340219862,24.9045718498559,22.7572246828577,22.7656390563489,"0.994412396345272"
"22","sp|TRFE_HUMAN|;sp|P02787|TRFE_HUMAN;sp|O95714|HERC2_HUMAN;sp|Q9Y4I1|MYO5A_HUMAN",27.5852177636287,27.7372625428547,27.1307334853077,27.1307334853077,27.1343319471719,27.1322778816785,27.5056978503046,25.786533035944,25.741634184477,26.6797933202728,26.8927956588111,26.269304855259,26.3943715343806,"0.189986943552672"
"23","sp|P02545|LMNA_HUMAN",26.0857100234418,26.3854176306498,25.4867336855857,25.628537342257,25.445439427409,25.6066448861752,26.738936165936,24.9367939573797,25.0432387269337,25.4246907451294,25.3405180989653,25.0653000001087,25.0423468546747,"0.381753893161535"
"24","sp|P08670|VIME_HUMAN;sp|P41219|PERI_HUMAN",29.0681641401137,28.8644890795163,28.5903476225476,27.960983282661,28.6160230410863,28.615067428174,28.138722524776,27.7558381090214,27.7582998833076,28.1692111273448,28.1678356349421,27.8778832614178,27.7558381090214,"0.367724049642667"
"25","sp|P01023|A2MG_HUMAN",26.8874445883779,26.9060176311025,26.7111468888149,26.6234688406834,26.3536165465558,26.3033240937315,26.6152626602056,24.505855624718,24.4436729751183,24.969527514696,25.0033672692625,24.947137001469,24.8436301631092,"0.448077311457598"
"26","sp|P78527|PRKDC_HUMAN",21.2630008629541,21.1580421745898,21.4640266519847,21.4640266519847,21.4302445343489,21.4541317704159,21.1694712647951,23.0888414060834,23.1026541919,22.4818123859753,22.4680569018894,22.8918756820195,22.8609059093919,"0.369275146379257"
"27","sp|O43707|ACTN4_HUMAN;sp|Q9H254|SPTN4_HUMAN",25.626512133656,25.5465789612392,25.778914601018,25.778914601018,26.1398070016784,26.2662548123496,24.89285136325,25.6325704684569,25.6104259542479,26.0440022032232,26.3061212096248,25.4236191525838,25.2360455532286,"0.608510857589765"
"28","sp|P16157|ANK1_HUMAN",24.917595433805,24.9374095967092,24.0341169739913,23.8147489236563,22.9995697652056,22.8929556887714,25.6877538400439,20.7077135371354,20.7352551528188,20.7557965287448,20.8111553242504,21.1669202506562,21.1224186206973,"0.516859175526399"
"29","sp|P18206|VINC_HUMAN",23.9502341046521,23.9932862367389,24.1732020776631,24.1812021234097,24.6544981594948,24.5729673594546,23.6514857552497,23.380337267342,23.4077143090555,24.1164118762667,24.1530374389598,23.2226456907322,23.0888414060834,"0.125711654751685"
"30","sp|P26038|MOES_HUMAN",23.3025802785623,23.0912560956564,23.1765082013004,23.1765082013004,23.5769135671884,23.6055874496231,22.9928462367773,23.4940048124908,23.6924420109809,23.6870566383801,23.4373817377475,23.3688167141442,23.3049418259751,"0.291930761764013"
"31","sp|P12814|ACTN1_HUMAN;sp|Q08043|ACTN3_HUMAN",24.4015011295538,24.4229718899067,24.5703501142722,24.8824799749849,25.0419004424568,25.2738532114488,24.4518139032357,24.9688783471007,24.9492088482804,25.703474894417,25.5850198224519,24.8354373207134,24.3726958296493,"0.90010404617563"
"32","sp|P13647|K2C5_HUMAN;sp|O95678|K2C75_HUMAN",25.0369688553939,25.0553622744221,25.1284769276964,25.2421588440142,24.843121698416,24.8114229319102,24.8017131029643,29.8644525543917,32.2663087675739,26.87336586219,26.5395583309513,28.6160230410863,29.0777279668834,"0.0794280474809303"
"33","sp|P11021|GRP78_HUMAN",25.7307696478517,25.7284273776549,25.1019443791601,24.9001276105028,25.2760932964179,25.2530550818815,25.4348036159528,25.9065340378734,25.9079165409658,26.7476590951142,27.031005205159,26.3536165465558,26.3943715343806,"0.898118256277016"
"34","sp|Q7Z406|MYH14_HUMAN",22.3509408742384,21.8440483282841,22.2695325754892,22.6885953959597,22.9133244846072,22.8715737866955,21.7778992640439,21.6759795853708,21.6281928273037,22.1733967359572,22.1482060825382,21.7234011231484,21.7052573234497,"0.077279356515158"
"35","sp|P60709|ACTB_HUMAN",29.8628973695361,29.8625064875055,29.8634172440311,30.2674719601132,30.2725978962721,30.2696719215134,29.8003385796399,32.2657522254676,31.4840888373426,32.2660305954792,32.2657522254676,29.8643234629797,29.8644525543917,"0.956604365979553"
"36","sp|O75369|FLNB_HUMAN",21.7396127064887,21.7574405652016,22.3209590002331,22.3634249624736,22.5101536204434,22.4978938921777,21.7523380587223,23.0275638582807,23.0285920693319,22.2861355577843,22.361839115485,22.2275363518377,22.3058375589585,"0.406702689757667"
"37","sp|Q00610|CLH1_HUMAN;sp|P53675|CLH2_HUMAN",24.0464978798441,24.0364633128718,24.2750475597144,24.1371352887271,24.2946734891108,24.5098691243592,24.2162239479031,24.5317353481841,24.4794535886732,24.391648194845,24.3193813032262,24.5764483265941,24.702792980292,"0.215650342380895"
"38","sp|Q15063|POSTN_HUMAN",23.4405314289217,23.250884690016,23.0303295375801,23.2652805779069,21.9028556499028,22.0674788701619,21.6956127989727,24.1030514356271,24.117029499769,25.9314773106113,25.9190091625442,24.2510187358278,24.2518087292512,"0.892527054857218"
"39","sp|P02533|K1C14_HUMAN",22.3899972620208,22.4471307429054,22.668647520455,22.6470125431164,22.1715648009173,22.1517047593827,22.8175843946844,26.8728459048626,26.8510560676536,23.0616389192947,22.2210399753936,23.9140275882544,24.148136750396,"0.0903840567279188"
