"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","pVal"
"1","0",1,1,1,1,1,1,1,2,2,2,2,2,2,"pVal"
"2","sp|Q15149|PLEC_HUMAN",24.9883353462878,24.9987130121256,25.0765728502742,25.1131508452884,25.1219776149472,25.1004627125252,24.7499552090472,25.2259278502471,25.2392101158817,25.101401745683,25.0238420235575,24.6653433590807,24.7078562681616,"0.632124620032969"
"3","sp|P35579|MYH9_HUMAN",25.7759280186997,25.7039599538063,25.6837910937261,25.7859613971894,25.7455360212567,25.7696125388793,25.5629024279247,25.9051757454606,25.9091445269536,26.0928474609249,26.0865775698138,25.6543175654095,25.6659113583704,"0.813753765716338"
"4","sp|Q09666|AHNK_HUMAN",25.2494359330449,25.2523421370895,25.9640215369391,26.0189300834475,25.7306412159629,25.7526304612093,25.3049996897463,24.4278207977972,24.2883328811181,24.4557427175466,24.4577630229202,24.2787638450554,24.25713684299,"0.420548240168068"
"5","sp|P35749|MYH11_HUMAN",25.4192872795417,25.2050585174469,25.2170936876155,25.3289318681141,25.6164441147385,25.6117515831071,25.3271232886174,22.5900614454629,22.5738774350008,24.0985642946368,24.0940503501961,24.3064951516445,24.2803590049637,"0.384273630493839"
"6","sp|P21333|FLNA_HUMAN",27.0818490617156,27.0920838776151,27.2795274825997,27.3646580193685,27.3851678340325,27.3908001882891,27.1327213339138,26.0373581384675,26.0657538837101,26.6915600889391,26.7120051839129,25.7898325200362,25.8401139547595,"0.0768321949252301"
"7","sp|P35580|MYH10_HUMAN",24.5572728401593,24.5540594862953,25.2825339347566,25.2012368015361,24.9135695276347,25.0094443875748,24.4740584495504,23.3655247925348,23.4210276789316,23.7801946294165,23.8091387535365,22.9153224509187,22.9220554736775,"0.225005597690768"
"8","sp|Q9Y490|TLN1_HUMAN",25.4152758584119,25.3160390923537,25.8524124771463,25.8349738335275,25.9328742224629,25.9314259868738,25.4993753407315,24.7843647856321,24.8078376512432,25.3504743691897,25.2839304951999,24.8079800254425,24.7813196589693,"0.0620804690521086"
"9","sp|P12111|CO6A3_HUMAN",26.0278936498112,25.9359694061961,26.6128619610149,26.6017359949673,26.338577454124,26.278493741611,26.9475741078556,24.965729553218,25.0077540020096,26.4130585953844,26.3822126548194,25.7914688709002,25.7908343836067,"0.344880885501283"
"10","sp|Q01082|SPTB2_HUMAN",23.9171995385581,23.9771599269411,24.6273520341438,24.7757178613782,24.7159913782674,24.7408313648778,24.2114868014668,22.6341653027202,22.6586589254089,22.8871064707243,22.9529553381825,22.8788439698335,22.7858927616008,"0.427970742550547"
"11","sp|P01024|CO3_HUMAN",26.2079567250654,26.1357854193396,26.6030429554823,26.6631252757693,25.9458295684767,25.8809681186449,27.2608430366021,23.7320929243948,23.7405829412356,25.1944811014784,25.1628240524135,24.6255327598762,24.6412534965363,"0.260759689334942"
"12","sp|ALBU_HUMAN|;sp|Q92985|IRF7_HUMAN",32.3020250224022,32.2883009455031,32.0301243474326,31.9524455290563,31.6870218323716,31.7281874845575,31.8477895593362,29.8388614219453,29.8769750292694,30.7348026796534,30.6222010047365,30.6838699054761,30.4790698821155,"0.445687159658479"
"13","sp|Q13813|SPTN1_HUMAN",23.4447791499361,23.5762640023816,24.2584505014753,24.2543667501901,24.2978563608071,24.3342731528838,23.6085360957488,22.3734197483911,22.394696205189,22.6053618866483,22.6268358377996,22.6256442327447,22.6108239586981,"0.458958172353317"
"14","sp|Q14204|DYHC1_HUMAN",23.1871342758208,23.058976366762,23.4730573978397,23.5068688539763,23.487933183504,23.5245585893692,23.3227374654615,23.2410657163172,23.2355825733996,23.2082009982213,23.0494426740043,23.063533605594,23.0135873542575,"0.96385763103959"
"15","sp|P15924|DESP_HUMAN",21.3260438128979,21.2688036530916,20.8334913056557,20.8397464156109,20.2413077677283,20.3833846467433,21.802128244868,24.3293679157287,24.2830235041352,21.0163646054589,20.9829342737346,22.974142200757,23.0135873542575,"0.112921059733053"
"16","sp|P98160|PGBM_HUMAN",23.1034066052631,23.0310501239598,23.6965612364186,23.6726803773716,23.7952403643893,23.8042937901083,23.4232333011671,22.6126096582083,22.6357860101738,23.8763324373781,23.8632352791019,22.6384759138011,22.7728526149254,"0.557691833593992"
"17","sp|P02549|SPTA1_HUMAN",24.6960022833355,24.5464919272995,23.870339920632,23.8259995785169,22.7070998566371,22.6101488971883,25.8945724467934,20.2110986876507,20.0842361732973,20.4019932570137,20.3848345191296,20.8614646323975,20.8444302771793,"0.519440917908933"
"18","sp|P11277|SPTB1_HUMAN",24.6693031284374,24.7838271219957,23.8169733207747,23.7838263311889,22.7365209045941,22.7262335526153,25.8545139109725,21.3675014429587,21.5283771453686,20.3854473737325,20.2318280504238,20.9505837122065,21.0591132358704,"0.598102647809071"
"19","sp|P04114|APOB_HUMAN",24.3874817092695,24.4030142173691,24.1110517566811,24.1364282921093,23.4399024667399,23.5015090371193,25.5441362846198,21.535226008179,21.5617057137615,22.5177835581452,22.4260746617606,22.0318009652498,22.0377542692022,"0.408601554635025"
"20","sp|P02751|FINC_HUMAN",24.8876987711337,24.9012129874792,25.2972231132496,25.2485194949578,25.1105172493735,25.045747143062,25.8080771807102,24.4700233752225,24.5316007861916,25.6983109828942,25.8197061222503,24.2740896903148,24.2382861713552,"0.51975203360054"
"21","sp|P35555|FBN1_HUMAN;sp|P35556|FBN2_HUMAN",22.4650177631848,22.4345395150026,24.1654391832811,24.1695612262775,23.7167917482275,23.6556194763126,23.7269145737792,22.3295222839413,22.3425965444554,24.6404919421797,24.6191769334448,22.6222877671339,22.6269682458493,"0.902620922050557"
