"","X","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"261",31,1174,"TI-G",0.004,102,25,27,154,1174
"31",31,1181,"AI-G",0.004,96,23,26,145,1181
"260",30,1109,"TI-G",0.003,99,18,26,143,1109
"30",30,1108,"AI-G",0.003,98,18,26,142,1108
"32",32,1254,"AI-G",0.005,90,17,29,136,1254
"41",41,2039,"AI-G",0.05,93,24,18,135,2039
"262",32,1252,"TI-G",0.005,90,16,29,135,1252
"264",34,1374,"TI-G",0.007,86,24,25,135,1374
"271",41,2039,"TI-G",0.05,93,24,18,135,2039
"26",26,722,"AI-G",8e-04,92,20,22,134,722
"34",34,1375,"AI-G",0.007,85,24,25,134,1375
"256",26,721,"TI-G",8e-04,91,20,22,133,721
"263",33,1323,"TI-G",0.006,85,24,23,132,1323
"267",37,1492,"TI-G",0.01,83,21,28,132,1492
"33",33,1325,"AI-G",0.006,83,24,23,130,1325
"268",38,1714,"TI-G",0.02,89,16,25,130,1714
"29",29,983,"AI-G",0.002,87,21,21,129,983
"36",36,1454,"AI-G",0.009,81,23,25,129,1454
"37",37,1495,"AI-G",0.01,81,20,28,129,1495
"28",28,786,"AI-G",0.001,87,18,23,128,786
"39",39,1864,"AI-G",0.03,82,22,24,128,1864
"266",36,1451,"TI-G",0.009,82,21,25,128,1451
"269",39,1863,"TI-G",0.03,82,22,24,128,1863
"38",38,1715,"AI-G",0.02,84,16,27,127,1715
"40",40,1971,"AI-G",0.04,85,22,20,127,1971
"270",40,1971,"TI-G",0.04,85,22,20,127,1971
"258",28,782,"TI-G",0.001,87,17,22,126,782
"259",29,980,"TI-G",0.002,87,19,20,126,980
"27",27,763,"AI-G",9e-04,87,17,21,125,763
"257",27,763,"TI-G",9e-04,87,17,21,125,763
"255",25,681,"TI-G",7e-04,83,20,19,122,681
"129",37,944,"None",0.01,75,25,20,120,944
"35",35,1429,"AI-G",0.008,74,20,25,119,1429
"265",35,1429,"TI-G",0.008,74,20,25,119,1429
