"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1",1,"AI-G",1e-06,3,3,0,6,1
"2",1,"AI-G",2e-06,3,3,0,6,1
"3",1,"AI-G",3e-06,3,3,0,6,1
"4",1,"AI-G",4e-06,3,3,0,6,1
"5",1,"AI-G",5e-06,3,3,0,6,1
"6",1,"AI-G",6e-06,3,3,0,6,1
"7",1,"AI-G",7e-06,3,3,0,6,1
"8",1,"AI-G",8e-06,3,3,0,6,1
"9",1,"AI-G",9e-06,3,3,0,6,1
"10",1,"AI-G",1e-05,3,3,0,6,1
"11",1,"AI-G",2e-05,3,3,0,6,1
"12",1,"AI-G",3e-05,3,3,0,6,1
"13",1,"AI-G",4e-05,3,3,0,6,1
"14",1,"AI-G",5e-05,3,3,0,6,1
"15",1,"AI-G",6e-05,3,3,0,6,1
"16",1,"AI-G",7e-05,3,3,0,6,1
"17",1,"AI-G",8e-05,3,3,0,6,1
"18",1,"AI-G",9e-05,3,3,0,6,1
"19",1,"AI-G",1e-04,3,3,0,6,1
"20",1,"AI-G",2e-04,3,3,0,6,1
"21",2,"AI-G",3e-04,0,0,0,0,2
"22",2,"AI-G",4e-04,0,0,0,0,2
"23",2,"AI-G",5e-04,0,0,0,0,2
"24",2,"AI-G",6e-04,0,0,0,0,2
"25",2,"AI-G",7e-04,0,0,0,0,2
"26",2,"AI-G",8e-04,0,0,0,0,2
"27",3,"AI-G",9e-04,0,0,0,0,3
"28",3,"AI-G",0.001,0,0,0,0,3
"29",4,"AI-G",0.002,0,0,0,0,4
"30",4,"AI-G",0.003,0,0,0,0,4
"31",5,"AI-G",0.004,0,0,0,0,5
"32",7,"AI-G",0.005,0,3,2,5,7
"33",9,"AI-G",0.006,0,0,3,3,9
"34",9,"AI-G",0.007,0,0,3,3,9
"35",10,"AI-G",0.008,0,0,0,0,10
"36",10,"AI-G",0.009,0,0,0,0,10
"37",10,"AI-G",0.01,0,0,0,0,10
"38",17,"AI-G",0.02,0,0,0,0,17
"39",27,"AI-G",0.03,0,0,0,0,27
"40",33,"AI-G",0.04,0,0,0,0,33
"41",46,"AI-G",0.05,0,0,0,0,46
"42",54,"AI-G",0.06,0,0,0,0,54
"43",65,"AI-G",0.07,0,0,0,0,65
"44",77,"AI-G",0.08,0,0,0,0,77
"45",84,"AI-G",0.09,0,0,0,0,84
"46",93,"AI-G",0.1,0,0,0,0,93
