"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1",628,"Loess-G",1e-06,36,9,18,63,628
"2",652,"Loess-G",2e-06,30,10,20,60,652
"3",669,"Loess-G",3e-06,33,11,20,64,669
"4",688,"Loess-G",4e-06,41,11,20,72,688
"5",697,"Loess-G",5e-06,38,11,19,68,697
"6",705,"Loess-G",6e-06,39,11,19,69,705
"7",712,"Loess-G",7e-06,33,10,19,62,712
"8",719,"Loess-G",8e-06,42,12,18,72,719
"9",725,"Loess-G",9e-06,38,14,18,70,725
"10",730,"Loess-G",1e-05,40,6,18,64,730
"11",760,"Loess-G",2e-05,45,8,17,70,760
"12",781,"Loess-G",3e-05,46,10,16,72,781
"13",803,"Loess-G",4e-05,42,10,15,67,803
"14",812,"Loess-G",5e-05,41,10,16,67,812
"15",824,"Loess-G",6e-05,40,9,18,67,824
"16",834,"Loess-G",7e-05,43,10,18,71,834
"17",844,"Loess-G",8e-05,46,9,20,75,844
"18",847,"Loess-G",9e-05,49,12,18,79,847
"19",858,"Loess-G",1e-04,50,11,15,76,858
"20",903,"Loess-G",2e-04,47,9,16,72,903
"21",933,"Loess-G",3e-04,37,2,17,56,933
"22",952,"Loess-G",4e-04,36,2,17,55,952
"23",967,"Loess-G",5e-04,36,2,12,50,967
"24",981,"Loess-G",6e-04,42,4,15,61,981
"25",996,"Loess-G",7e-04,39,3,13,55,996
"26",1010,"Loess-G",8e-04,54,3,14,71,1010
"27",1024,"Loess-G",9e-04,41,3,14,58,1024
"28",1034,"Loess-G",0.001,39,5,14,58,1034
"29",1094,"Loess-G",0.002,30,3,14,47,1094
"30",1141,"Loess-G",0.003,32,3,9,44,1141
"31",1172,"Loess-G",0.004,26,1,8,35,1172
"32",1205,"Loess-G",0.005,25,4,9,38,1205
"33",1222,"Loess-G",0.006,33,4,9,46,1222
"34",1239,"Loess-G",0.007,32,3,9,44,1239
"35",1254,"Loess-G",0.008,24,3,9,36,1254
"36",1273,"Loess-G",0.009,18,3,7,28,1273
"37",1285,"Loess-G",0.01,19,3,7,29,1285
"38",1379,"Loess-G",0.02,30,4,8,42,1379
"39",1434,"Loess-G",0.03,34,4,8,46,1434
"40",1474,"Loess-G",0.04,21,3,3,27,1474
"41",1509,"Loess-G",0.05,26,3,2,31,1509
"42",1552,"Loess-G",0.06,22,2,2,26,1552
"43",1585,"Loess-G",0.07,20,0,2,22,1585
"44",1613,"Loess-G",0.08,0,2,2,4,1613
"45",1636,"Loess-G",0.09,0,0,2,2,1636
"46",1652,"Loess-G",0.1,0,0,2,2,1652
