"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1",1,"MedI-G",1e-06,3,3,0,6,1
"2",1,"MedI-G",2e-06,3,3,0,6,1
"3",1,"MedI-G",3e-06,3,3,0,6,1
"4",1,"MedI-G",4e-06,3,3,0,6,1
"5",1,"MedI-G",5e-06,3,3,0,6,1
"6",1,"MedI-G",6e-06,3,3,0,6,1
"7",1,"MedI-G",7e-06,3,3,0,6,1
"8",1,"MedI-G",8e-06,3,3,0,6,1
"9",1,"MedI-G",9e-06,3,3,0,6,1
"10",1,"MedI-G",1e-05,3,3,0,6,1
"11",1,"MedI-G",2e-05,3,3,0,6,1
"12",1,"MedI-G",3e-05,3,3,0,6,1
"13",1,"MedI-G",4e-05,3,3,0,6,1
"14",1,"MedI-G",5e-05,3,3,0,6,1
"15",1,"MedI-G",6e-05,3,3,0,6,1
"16",1,"MedI-G",7e-05,3,3,0,6,1
"17",1,"MedI-G",8e-05,3,3,0,6,1
"18",1,"MedI-G",9e-05,3,3,0,6,1
"19",1,"MedI-G",1e-04,3,3,0,6,1
"20",1,"MedI-G",2e-04,3,3,0,6,1
"21",1,"MedI-G",3e-04,3,3,0,6,1
"22",1,"MedI-G",4e-04,3,3,0,6,1
"23",1,"MedI-G",5e-04,3,3,0,6,1
"24",1,"MedI-G",6e-04,3,3,0,6,1
"25",2,"MedI-G",7e-04,0,0,0,0,2
"26",2,"MedI-G",8e-04,0,0,0,0,2
"27",3,"MedI-G",9e-04,2,1,0,3,3
"28",3,"MedI-G",0.001,2,1,0,3,3
"29",4,"MedI-G",0.002,0,3,0,3,4
"30",5,"MedI-G",0.003,0,1,0,1,5
"31",7,"MedI-G",0.004,0,0,0,0,7
"32",8,"MedI-G",0.005,0,0,0,0,8
"33",10,"MedI-G",0.006,0,0,0,0,10
"34",10,"MedI-G",0.007,0,0,0,0,10
"35",11,"MedI-G",0.008,0,0,0,0,11
"36",12,"MedI-G",0.009,0,0,0,0,12
"37",13,"MedI-G",0.01,0,0,0,0,13
"38",19,"MedI-G",0.02,0,0,0,0,19
"39",27,"MedI-G",0.03,0,0,0,0,27
"40",35,"MedI-G",0.04,0,0,0,0,35
"41",46,"MedI-G",0.05,0,0,0,0,46
"42",53,"MedI-G",0.06,0,0,0,0,53
"43",62,"MedI-G",0.07,0,0,0,0,62
"44",76,"MedI-G",0.08,0,0,0,0,76
"45",87,"MedI-G",0.09,0,0,0,0,87
"46",100,"MedI-G",0.1,0,0,0,0,100
