"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1",342,"Quantile",1e-06,25,2,20,47,342
"2",362,"Quantile",2e-06,36,4,20,60,362
"3",376,"Quantile",3e-06,35,4,20,59,376
"4",381,"Quantile",4e-06,41,3,18,62,381
"5",391,"Quantile",5e-06,39,2,16,57,391
"6",399,"Quantile",6e-06,38,2,19,59,399
"7",407,"Quantile",7e-06,40,2,21,63,407
"8",410,"Quantile",8e-06,38,2,21,61,410
"9",413,"Quantile",9e-06,38,3,21,62,413
"10",417,"Quantile",1e-05,33,3,20,56,417
"11",449,"Quantile",2e-05,38,5,19,62,449
"12",468,"Quantile",3e-05,46,7,18,71,468
"13",478,"Quantile",4e-05,40,7,18,65,478
"14",483,"Quantile",5e-05,38,6,18,62,483
"15",493,"Quantile",6e-05,46,6,18,70,493
"16",505,"Quantile",7e-05,40,6,19,65,505
"17",512,"Quantile",8e-05,38,6,19,63,512
"18",519,"Quantile",9e-05,40,8,17,65,519
"19",525,"Quantile",1e-04,39,7,16,62,525
"20",559,"Quantile",2e-04,44,5,18,67,559
"21",580,"Quantile",3e-04,35,6,19,60,580
"22",606,"Quantile",4e-04,42,7,18,67,606
"23",620,"Quantile",5e-04,48,6,22,76,620
"24",639,"Quantile",6e-04,47,6,20,73,639
"25",655,"Quantile",7e-04,49,8,17,74,655
"26",663,"Quantile",8e-04,47,8,18,73,663
"27",677,"Quantile",9e-04,48,8,19,75,677
"28",687,"Quantile",0.001,53,9,21,83,687
"29",754,"Quantile",0.002,45,7,15,67,754
"30",787,"Quantile",0.003,46,8,19,73,787
"31",816,"Quantile",0.004,40,4,18,62,816
"32",837,"Quantile",0.005,49,6,18,73,837
"33",859,"Quantile",0.006,53,4,16,73,859
"34",879,"Quantile",0.007,55,2,17,74,879
"35",893,"Quantile",0.008,60,2,17,79,893
"36",905,"Quantile",0.009,64,2,17,83,905
"37",920,"Quantile",0.01,65,2,17,84,920
"38",1036,"Quantile",0.02,49,2,16,67,1036
"39",1095,"Quantile",0.03,31,4,10,45,1095
"40",1157,"Quantile",0.04,25,3,9,37,1157
"41",1188,"Quantile",0.05,28,3,7,38,1188
"42",1221,"Quantile",0.06,29,3,10,42,1221
"43",1253,"Quantile",0.07,24,3,7,34,1253
"44",1283,"Quantile",0.08,30,3,6,39,1283
"45",1300,"Quantile",0.09,32,2,7,41,1300
"46",1323,"Quantile",0.1,30,2,7,39,1323
