"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1",1,"TI-G",1e-06,3,3,0,6,1
"2",1,"TI-G",2e-06,3,3,0,6,1
"3",1,"TI-G",3e-06,3,3,0,6,1
"4",1,"TI-G",4e-06,3,3,0,6,1
"5",1,"TI-G",5e-06,3,3,0,6,1
"6",1,"TI-G",6e-06,3,3,0,6,1
"7",1,"TI-G",7e-06,3,3,0,6,1
"8",1,"TI-G",8e-06,3,3,0,6,1
"9",1,"TI-G",9e-06,3,3,0,6,1
"10",1,"TI-G",1e-05,3,3,0,6,1
"11",1,"TI-G",2e-05,3,3,0,6,1
"12",1,"TI-G",3e-05,3,3,0,6,1
"13",1,"TI-G",4e-05,3,3,0,6,1
"14",1,"TI-G",5e-05,3,3,0,6,1
"15",1,"TI-G",6e-05,3,3,0,6,1
"16",1,"TI-G",7e-05,3,3,0,6,1
"17",1,"TI-G",8e-05,3,3,0,6,1
"18",1,"TI-G",9e-05,3,3,0,6,1
"19",1,"TI-G",1e-04,3,3,0,6,1
"20",1,"TI-G",2e-04,3,3,0,6,1
"21",1,"TI-G",3e-04,3,3,0,6,1
"22",1,"TI-G",4e-04,3,3,0,6,1
"23",1,"TI-G",5e-04,3,3,0,6,1
"24",1,"TI-G",6e-04,3,3,0,6,1
"25",1,"TI-G",7e-04,3,3,0,6,1
"26",2,"TI-G",8e-04,0,0,0,0,2
"27",2,"TI-G",9e-04,0,0,0,0,2
"28",2,"TI-G",0.001,0,0,0,0,2
"29",2,"TI-G",0.002,0,0,0,0,2
"30",3,"TI-G",0.003,0,7,0,7,3
"31",3,"TI-G",0.004,0,7,0,7,3
"32",5,"TI-G",0.005,0,0,0,0,5
"33",6,"TI-G",0.006,0,0,0,0,6
"34",6,"TI-G",0.007,0,0,0,0,6
"35",8,"TI-G",0.008,0,0,0,0,8
"36",10,"TI-G",0.009,12,0,0,12,10
"37",12,"TI-G",0.01,5,0,0,5,12
"38",19,"TI-G",0.02,0,0,0,0,19
"39",26,"TI-G",0.03,0,2,0,2,26
"40",38,"TI-G",0.04,0,0,0,0,38
"41",51,"TI-G",0.05,0,0,0,0,51
"42",58,"TI-G",0.06,0,0,0,0,58
"43",71,"TI-G",0.07,0,0,0,0,71
"44",82,"TI-G",0.08,0,0,0,0,82
"45",93,"TI-G",0.09,0,0,0,0,93
"46",109,"TI-G",0.1,0,0,0,0,109
