"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1",300,"VSN-G",1e-06,35,13,18,66,300
"2",321,"VSN-G",2e-06,44,13,21,78,321
"3",335,"VSN-G",3e-06,45,11,21,77,335
"4",343,"VSN-G",4e-06,43,11,21,75,343
"5",349,"VSN-G",5e-06,48,11,24,83,349
"6",356,"VSN-G",6e-06,49,11,21,81,356
"7",362,"VSN-G",7e-06,51,13,19,83,362
"8",364,"VSN-G",8e-06,53,13,20,86,364
"9",371,"VSN-G",9e-06,56,5,20,81,371
"10",374,"VSN-G",1e-05,55,5,20,80,374
"11",404,"VSN-G",2e-05,42,5,21,68,404
"12",418,"VSN-G",3e-05,53,6,20,79,418
"13",430,"VSN-G",4e-05,48,10,21,79,430
"14",443,"VSN-G",5e-05,44,9,19,72,443
"15",453,"VSN-G",6e-05,44,8,19,71,453
"16",461,"VSN-G",7e-05,48,8,20,76,461
"17",467,"VSN-G",8e-05,48,9,19,76,467
"18",475,"VSN-G",9e-05,45,9,19,73,475
"19",479,"VSN-G",1e-04,46,9,19,74,479
"20",529,"VSN-G",2e-04,42,8,18,68,529
"21",553,"VSN-G",3e-04,47,9,18,74,553
"22",574,"VSN-G",4e-04,46,10,17,73,574
"23",588,"VSN-G",5e-04,47,9,19,75,588
"24",596,"VSN-G",6e-04,44,8,17,69,596
"25",603,"VSN-G",7e-04,47,7,17,71,603
"26",612,"VSN-G",8e-04,52,8,17,77,612
"27",616,"VSN-G",9e-04,50,8,18,76,616
"28",629,"VSN-G",0.001,51,7,19,77,629
"29",694,"VSN-G",0.002,44,10,17,71,694
"30",732,"VSN-G",0.003,37,9,16,62,732
"31",761,"VSN-G",0.004,39,11,16,66,761
"32",781,"VSN-G",0.005,43,9,18,70,781
"33",801,"VSN-G",0.006,43,11,19,73,801
"34",816,"VSN-G",0.007,36,7,19,62,816
"35",834,"VSN-G",0.008,37,9,21,67,834
"36",853,"VSN-G",0.009,39,6,19,64,853
"37",865,"VSN-G",0.01,37,9,18,64,865
"38",955,"VSN-G",0.02,41,10,14,65,955
"39",1011,"VSN-G",0.03,32,7,14,53,1011
"40",1053,"VSN-G",0.04,31,7,17,55,1053
"41",1096,"VSN-G",0.05,48,9,19,76,1096
"42",1140,"VSN-G",0.06,46,5,19,70,1140
"43",1172,"VSN-G",0.07,48,3,14,65,1172
"44",1198,"VSN-G",0.08,44,4,13,61,1198
"45",1226,"VSN-G",0.09,40,3,14,57,1226
"46",1256,"VSN-G",0.1,40,6,14,60,1256
