"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"52",602,"RLR-G",6e-06,53,13,22,88,602
"51",592,"RLR-G",5e-06,53,12,22,87,592
"55",617,"RLR-G",9e-06,51,13,23,87,617
"54",612,"RLR-G",8e-06,52,12,22,86,612
"100",364,"VSN-G",8e-06,53,13,20,86,364
"56",621,"RLR-G",1e-05,50,13,22,85,621
"313",920,"Quantile",0.01,65,2,17,84,920
"53",609,"RLR-G",7e-06,49,12,22,83,609
"97",349,"VSN-G",5e-06,48,11,24,83,349
"99",362,"VSN-G",7e-06,51,13,19,83,362
"304",687,"Quantile",0.001,53,9,21,83,687
"312",905,"Quantile",0.009,64,2,17,83,905
"49",567,"RLR-G",3e-06,48,10,23,81,567
"98",356,"VSN-G",6e-06,49,11,21,81,356
"101",371,"VSN-G",9e-06,56,5,20,81,371
"102",374,"VSN-G",1e-05,55,5,20,80,374
"18",847,"Loess-G",9e-05,49,12,18,79,847
"104",418,"VSN-G",3e-05,53,6,20,79,418
"105",430,"VSN-G",4e-05,48,10,21,79,430
"311",893,"Quantile",0.008,60,2,17,79,893
"94",321,"VSN-G",2e-06,44,13,21,78,321
"95",335,"VSN-G",3e-06,45,11,21,77,335
"118",612,"VSN-G",8e-04,52,8,17,77,612
"120",629,"VSN-G",0.001,51,7,19,77,629
"19",858,"Loess-G",1e-04,50,11,15,76,858
"108",461,"VSN-G",7e-05,48,8,20,76,461
"109",467,"VSN-G",8e-05,48,9,19,76,467
"119",616,"VSN-G",9e-04,50,8,18,76,616
"133",1096,"VSN-G",0.05,48,9,19,76,1096
"299",620,"Quantile",5e-04,48,6,22,76,620
"17",844,"Loess-G",8e-05,46,9,20,75,844
"50",580,"RLR-G",4e-06,41,13,21,75,580
"96",343,"VSN-G",4e-06,43,11,21,75,343
"115",588,"VSN-G",5e-04,47,9,19,75,588
"303",677,"Quantile",9e-04,48,8,19,75,677
"68",841,"RLR-G",4e-04,51,8,15,74,841
"111",479,"VSN-G",1e-04,46,9,19,74,479
"113",553,"VSN-G",3e-04,47,9,18,74,553
"301",655,"Quantile",7e-04,49,8,17,74,655
"310",879,"Quantile",0.007,55,2,17,74,879
"110",475,"VSN-G",9e-05,45,9,19,73,475
"114",574,"VSN-G",4e-04,46,10,17,73,574
"125",801,"VSN-G",0.006,43,11,19,73,801
"300",639,"Quantile",6e-04,47,6,20,73,639
"302",663,"Quantile",8e-04,47,8,18,73,663
"306",787,"Quantile",0.003,46,8,19,73,787
"308",837,"Quantile",0.005,49,6,18,73,837
"309",859,"Quantile",0.006,53,4,16,73,859
"4",688,"Loess-G",4e-06,41,11,20,72,688
"8",719,"Loess-G",8e-06,42,12,18,72,719
"12",781,"Loess-G",3e-05,46,10,16,72,781
"20",903,"Loess-G",2e-04,47,9,16,72,903
"47",526,"RLR-G",1e-06,43,11,18,72,526
"48",549,"RLR-G",2e-06,41,9,22,72,549
"57",661,"RLR-G",2e-05,40,10,22,72,661
"106",443,"VSN-G",5e-05,44,9,19,72,443
"16",834,"Loess-G",7e-05,43,10,18,71,834
"26",1010,"Loess-G",8e-04,54,3,14,71,1010
"107",453,"VSN-G",6e-05,44,8,19,71,453
"117",603,"VSN-G",7e-04,47,7,17,71,603
"121",694,"VSN-G",0.002,44,10,17,71,694
"288",468,"Quantile",3e-05,46,7,18,71,468
"9",725,"Loess-G",9e-06,38,14,18,70,725
"11",760,"Loess-G",2e-05,45,8,17,70,760
"124",781,"VSN-G",0.005,43,9,18,70,781
"134",1140,"VSN-G",0.06,46,5,19,70,1140
"291",493,"Quantile",6e-05,46,6,18,70,493
"6",705,"Loess-G",6e-06,39,11,19,69,705
"116",596,"VSN-G",6e-04,44,8,17,69,596
"5",697,"Loess-G",5e-06,38,11,19,68,697
"67",821,"RLR-G",3e-04,44,7,17,68,821
"103",404,"VSN-G",2e-05,42,5,21,68,404
"112",529,"VSN-G",2e-04,42,8,18,68,529
"13",803,"Loess-G",4e-05,42,10,15,67,803
"14",812,"Loess-G",5e-05,41,10,16,67,812
"15",824,"Loess-G",6e-05,40,9,18,67,824
"59",696,"RLR-G",4e-05,36,11,20,67,696
"62",729,"RLR-G",7e-05,40,9,18,67,729
"127",834,"VSN-G",0.008,37,9,21,67,834
"296",559,"Quantile",2e-04,44,5,18,67,559
"298",606,"Quantile",4e-04,42,7,18,67,606
"305",754,"Quantile",0.002,45,7,15,67,754
"314",1036,"Quantile",0.02,49,2,16,67,1036
"63",737,"RLR-G",8e-05,38,11,17,66,737
"74",911,"RLR-G",0.001,44,5,17,66,911
"93",300,"VSN-G",1e-06,35,13,18,66,300
"123",761,"VSN-G",0.004,39,11,16,66,761
"130",955,"VSN-G",0.02,41,10,14,65,955
"135",1172,"VSN-G",0.07,48,3,14,65,1172
"289",478,"Quantile",4e-05,40,7,18,65,478
"292",505,"Quantile",7e-05,40,6,19,65,505
"294",519,"Quantile",9e-05,40,8,17,65,519
"3",669,"Loess-G",3e-06,33,11,20,64,669
"10",730,"Loess-G",1e-05,40,6,18,64,730
"58",681,"RLR-G",3e-05,32,11,21,64,681
"128",853,"VSN-G",0.009,39,6,19,64,853
"129",865,"VSN-G",0.01,37,9,18,64,865
"1",628,"Loess-G",1e-06,36,9,18,63,628
"66",794,"RLR-G",2e-04,39,8,16,63,794
"283",407,"Quantile",7e-06,40,2,21,63,407
"293",512,"Quantile",8e-05,38,6,19,63,512
"7",712,"Loess-G",7e-06,33,10,19,62,712
"61",721,"RLR-G",6e-05,35,9,18,62,721
"64",745,"RLR-G",9e-05,36,9,17,62,745
"65",749,"RLR-G",1e-04,36,9,17,62,749
"72",903,"RLR-G",8e-04,43,4,15,62,903
"73",910,"RLR-G",9e-04,42,5,15,62,910
"122",732,"VSN-G",0.003,37,9,16,62,732
"126",816,"VSN-G",0.007,36,7,19,62,816
"280",381,"Quantile",4e-06,41,3,18,62,381
"285",413,"Quantile",9e-06,38,3,21,62,413
"287",449,"Quantile",2e-05,38,5,19,62,449
"290",483,"Quantile",5e-05,38,6,18,62,483
"295",525,"Quantile",1e-04,39,7,16,62,525
"307",816,"Quantile",0.004,40,4,18,62,816
"24",981,"Loess-G",6e-04,42,4,15,61,981
"60",714,"RLR-G",5e-05,33,8,20,61,714
"136",1198,"VSN-G",0.08,44,4,13,61,1198
"284",410,"Quantile",8e-06,38,2,21,61,410
"2",652,"Loess-G",2e-06,30,10,20,60,652
"138",1256,"VSN-G",0.1,40,6,14,60,1256
"278",362,"Quantile",2e-06,36,4,20,60,362
"297",580,"Quantile",3e-04,35,6,19,60,580
"279",376,"Quantile",3e-06,35,4,20,59,376
"282",399,"Quantile",6e-06,38,2,19,59,399
"27",1024,"Loess-G",9e-04,41,3,14,58,1024
"28",1034,"Loess-G",0.001,39,5,14,58,1034
"75",965,"RLR-G",0.002,38,3,17,58,965
"69",859,"RLR-G",5e-04,40,3,14,57,859
"137",1226,"VSN-G",0.09,40,3,14,57,1226
"281",391,"Quantile",5e-06,39,2,16,57,391
"21",933,"Loess-G",3e-04,37,2,17,56,933
"286",417,"Quantile",1e-05,33,3,20,56,417
"22",952,"Loess-G",4e-04,36,2,17,55,952
"25",996,"Loess-G",7e-04,39,3,13,55,996
"132",1053,"VSN-G",0.04,31,7,17,55,1053
"70",877,"RLR-G",6e-04,33,5,16,54,877
"131",1011,"VSN-G",0.03,32,7,14,53,1011
"23",967,"Loess-G",5e-04,36,2,12,50,967
"71",891,"RLR-G",7e-04,29,5,16,50,891
"29",1094,"Loess-G",0.002,30,3,14,47,1094
"277",342,"Quantile",1e-06,25,2,20,47,342
"33",1222,"Loess-G",0.006,33,4,9,46,1222
"39",1434,"Loess-G",0.03,34,4,8,46,1434
"76",1007,"RLR-G",0.003,27,4,14,45,1007
"315",1095,"Quantile",0.03,31,4,10,45,1095
"30",1141,"Loess-G",0.003,32,3,9,44,1141
"34",1239,"Loess-G",0.007,32,3,9,44,1239
"38",1379,"Loess-G",0.02,30,4,8,42,1379
"318",1221,"Quantile",0.06,29,3,10,42,1221
"321",1300,"Quantile",0.09,32,2,7,41,1300
"320",1283,"Quantile",0.08,30,3,6,39,1283
"322",1323,"Quantile",0.1,30,2,7,39,1323
"32",1205,"Loess-G",0.005,25,4,9,38,1205
"317",1188,"Quantile",0.05,28,3,7,38,1188
"316",1157,"Quantile",0.04,25,3,9,37,1157
"35",1254,"Loess-G",0.008,24,3,9,36,1254
"31",1172,"Loess-G",0.004,26,1,8,35,1172
"77",1040,"RLR-G",0.004,20,3,11,34,1040
"319",1253,"Quantile",0.07,24,3,7,34,1253
"41",1509,"Loess-G",0.05,26,3,2,31,1509
"37",1285,"Loess-G",0.01,19,3,7,29,1285
"36",1273,"Loess-G",0.009,18,3,7,28,1273
"40",1474,"Loess-G",0.04,21,3,3,27,1474
"42",1552,"Loess-G",0.06,22,2,2,26,1552
"43",1585,"Loess-G",0.07,20,0,2,22,1585
"85",1329,"RLR-G",0.03,14,2,6,22,1329
"78",1080,"RLR-G",0.005,4,2,11,17,1080
"80",1128,"RLR-G",0.007,4,2,9,15,1128
"81",1146,"RLR-G",0.008,3,3,9,15,1146
"82",1158,"RLR-G",0.009,4,3,8,15,1158
"86",1380,"RLR-G",0.04,7,3,5,15,1380
"83",1170,"RLR-G",0.01,4,3,7,14,1170
"79",1108,"RLR-G",0.006,2,2,9,13,1108
"87",1421,"RLR-G",0.05,6,3,3,12,1421
"88",1444,"RLR-G",0.06,5,4,3,12,1444
"174",10,"TI-G",0.009,12,0,0,12,10
"84",1258,"RLR-G",0.02,2,2,6,10,1258
"90",1500,"RLR-G",0.08,8,0,2,10,1500
"89",1471,"RLR-G",0.07,4,1,3,8,1471
"168",3,"TI-G",0.003,0,7,0,7,3
"169",3,"TI-G",0.004,0,7,0,7,3
"139",1,"TI-G",1e-06,3,3,0,6,1
"140",1,"TI-G",2e-06,3,3,0,6,1
"141",1,"TI-G",3e-06,3,3,0,6,1
"142",1,"TI-G",4e-06,3,3,0,6,1
"143",1,"TI-G",5e-06,3,3,0,6,1
"144",1,"TI-G",6e-06,3,3,0,6,1
"145",1,"TI-G",7e-06,3,3,0,6,1
"146",1,"TI-G",8e-06,3,3,0,6,1
"147",1,"TI-G",9e-06,3,3,0,6,1
"148",1,"TI-G",1e-05,3,3,0,6,1
"149",1,"TI-G",2e-05,3,3,0,6,1
"150",1,"TI-G",3e-05,3,3,0,6,1
"151",1,"TI-G",4e-05,3,3,0,6,1
"152",1,"TI-G",5e-05,3,3,0,6,1
"153",1,"TI-G",6e-05,3,3,0,6,1
"154",1,"TI-G",7e-05,3,3,0,6,1
"155",1,"TI-G",8e-05,3,3,0,6,1
"156",1,"TI-G",9e-05,3,3,0,6,1
"157",1,"TI-G",1e-04,3,3,0,6,1
"158",1,"TI-G",2e-04,3,3,0,6,1
"159",1,"TI-G",3e-04,3,3,0,6,1
"160",1,"TI-G",4e-04,3,3,0,6,1
"161",1,"TI-G",5e-04,3,3,0,6,1
"162",1,"TI-G",6e-04,3,3,0,6,1
"163",1,"TI-G",7e-04,3,3,0,6,1
"185",1,"MedI-G",1e-06,3,3,0,6,1
"186",1,"MedI-G",2e-06,3,3,0,6,1
"187",1,"MedI-G",3e-06,3,3,0,6,1
"188",1,"MedI-G",4e-06,3,3,0,6,1
"189",1,"MedI-G",5e-06,3,3,0,6,1
"190",1,"MedI-G",6e-06,3,3,0,6,1
"191",1,"MedI-G",7e-06,3,3,0,6,1
"192",1,"MedI-G",8e-06,3,3,0,6,1
"193",1,"MedI-G",9e-06,3,3,0,6,1
"194",1,"MedI-G",1e-05,3,3,0,6,1
"195",1,"MedI-G",2e-05,3,3,0,6,1
"196",1,"MedI-G",3e-05,3,3,0,6,1
"197",1,"MedI-G",4e-05,3,3,0,6,1
"198",1,"MedI-G",5e-05,3,3,0,6,1
"199",1,"MedI-G",6e-05,3,3,0,6,1
"200",1,"MedI-G",7e-05,3,3,0,6,1
"201",1,"MedI-G",8e-05,3,3,0,6,1
"202",1,"MedI-G",9e-05,3,3,0,6,1
"203",1,"MedI-G",1e-04,3,3,0,6,1
"204",1,"MedI-G",2e-04,3,3,0,6,1
"205",1,"MedI-G",3e-04,3,3,0,6,1
"206",1,"MedI-G",4e-04,3,3,0,6,1
"207",1,"MedI-G",5e-04,3,3,0,6,1
"208",1,"MedI-G",6e-04,3,3,0,6,1
"231",1,"AI-G",1e-06,3,3,0,6,1
"232",1,"AI-G",2e-06,3,3,0,6,1
"233",1,"AI-G",3e-06,3,3,0,6,1
"234",1,"AI-G",4e-06,3,3,0,6,1
"235",1,"AI-G",5e-06,3,3,0,6,1
"236",1,"AI-G",6e-06,3,3,0,6,1
"237",1,"AI-G",7e-06,3,3,0,6,1
"238",1,"AI-G",8e-06,3,3,0,6,1
"239",1,"AI-G",9e-06,3,3,0,6,1
"240",1,"AI-G",1e-05,3,3,0,6,1
"241",1,"AI-G",2e-05,3,3,0,6,1
"242",1,"AI-G",3e-05,3,3,0,6,1
"243",1,"AI-G",4e-05,3,3,0,6,1
"244",1,"AI-G",5e-05,3,3,0,6,1
"245",1,"AI-G",6e-05,3,3,0,6,1
"246",1,"AI-G",7e-05,3,3,0,6,1
"247",1,"AI-G",8e-05,3,3,0,6,1
"248",1,"AI-G",9e-05,3,3,0,6,1
"249",1,"AI-G",1e-04,3,3,0,6,1
"250",1,"AI-G",2e-04,3,3,0,6,1
"175",12,"TI-G",0.01,5,0,0,5,12
"262",7,"AI-G",0.005,0,3,2,5,7
"44",1613,"Loess-G",0.08,0,2,2,4,1613
"91",1522,"RLR-G",0.09,2,0,2,4,1522
"92",1542,"RLR-G",0.1,2,0,2,4,1542
"211",3,"MedI-G",9e-04,2,1,0,3,3
"212",3,"MedI-G",0.001,2,1,0,3,3
"213",4,"MedI-G",0.002,0,3,0,3,4
"263",9,"AI-G",0.006,0,0,3,3,9
"264",9,"AI-G",0.007,0,0,3,3,9
"45",1636,"Loess-G",0.09,0,0,2,2,1636
"46",1652,"Loess-G",0.1,0,0,2,2,1652
"177",26,"TI-G",0.03,0,2,0,2,26
"214",5,"MedI-G",0.003,0,1,0,1,5
"164",2,"TI-G",8e-04,0,0,0,0,2
"165",2,"TI-G",9e-04,0,0,0,0,2
"166",2,"TI-G",0.001,0,0,0,0,2
"167",2,"TI-G",0.002,0,0,0,0,2
"170",5,"TI-G",0.005,0,0,0,0,5
"171",6,"TI-G",0.006,0,0,0,0,6
"172",6,"TI-G",0.007,0,0,0,0,6
"173",8,"TI-G",0.008,0,0,0,0,8
"176",19,"TI-G",0.02,0,0,0,0,19
"178",38,"TI-G",0.04,0,0,0,0,38
"179",51,"TI-G",0.05,0,0,0,0,51
"180",58,"TI-G",0.06,0,0,0,0,58
"181",71,"TI-G",0.07,0,0,0,0,71
"182",82,"TI-G",0.08,0,0,0,0,82
"183",93,"TI-G",0.09,0,0,0,0,93
"184",109,"TI-G",0.1,0,0,0,0,109
"209",2,"MedI-G",7e-04,0,0,0,0,2
"210",2,"MedI-G",8e-04,0,0,0,0,2
"215",7,"MedI-G",0.004,0,0,0,0,7
"216",8,"MedI-G",0.005,0,0,0,0,8
"217",10,"MedI-G",0.006,0,0,0,0,10
"218",10,"MedI-G",0.007,0,0,0,0,10
"219",11,"MedI-G",0.008,0,0,0,0,11
"220",12,"MedI-G",0.009,0,0,0,0,12
"221",13,"MedI-G",0.01,0,0,0,0,13
"222",19,"MedI-G",0.02,0,0,0,0,19
"223",27,"MedI-G",0.03,0,0,0,0,27
"224",35,"MedI-G",0.04,0,0,0,0,35
"225",46,"MedI-G",0.05,0,0,0,0,46
"226",53,"MedI-G",0.06,0,0,0,0,53
"227",62,"MedI-G",0.07,0,0,0,0,62
"228",76,"MedI-G",0.08,0,0,0,0,76
"229",87,"MedI-G",0.09,0,0,0,0,87
"230",100,"MedI-G",0.1,0,0,0,0,100
"251",2,"AI-G",3e-04,0,0,0,0,2
"252",2,"AI-G",4e-04,0,0,0,0,2
"253",2,"AI-G",5e-04,0,0,0,0,2
"254",2,"AI-G",6e-04,0,0,0,0,2
"255",2,"AI-G",7e-04,0,0,0,0,2
"256",2,"AI-G",8e-04,0,0,0,0,2
"257",3,"AI-G",9e-04,0,0,0,0,3
"258",3,"AI-G",0.001,0,0,0,0,3
"259",4,"AI-G",0.002,0,0,0,0,4
"260",4,"AI-G",0.003,0,0,0,0,4
"261",5,"AI-G",0.004,0,0,0,0,5
"265",10,"AI-G",0.008,0,0,0,0,10
"266",10,"AI-G",0.009,0,0,0,0,10
"267",10,"AI-G",0.01,0,0,0,0,10
"268",17,"AI-G",0.02,0,0,0,0,17
"269",27,"AI-G",0.03,0,0,0,0,27
"270",33,"AI-G",0.04,0,0,0,0,33
"271",46,"AI-G",0.05,0,0,0,0,46
"272",54,"AI-G",0.06,0,0,0,0,54
"273",65,"AI-G",0.07,0,0,0,0,65
"274",77,"AI-G",0.08,0,0,0,0,77
"275",84,"AI-G",0.09,0,0,0,0,84
"276",93,"AI-G",0.1,0,0,0,0,93
