,X,Normalisation,Threshold,Go_BP,Go_MF,Go_CC,Total,DEs
1,1,Log2,1.00E-06,0,0,0,0,0
2,1,Log2,2.00E-06,0,0,0,0,0
3,1,Log2,3.00E-06,0,0,0,0,0
4,1,Log2,4.00E-06,0,0,0,0,0
5,1,Log2,5.00E-06,0,0,0,0,0
6,1,Log2,6.00E-06,0,0,0,0,0
7,1,Log2,7.00E-06,0,0,0,0,0
8,1,Log2,8.00E-06,0,0,0,0,0
9,1,Log2,9.00E-06,0,0,0,0,0
10,1,Log2,1.00E-05,0,0,0,0,0
11,1,Log2,2.00E-05,0,0,0,0,0
12,1,Log2,3.00E-05,0,0,0,0,0
13,1,Log2,4.00E-05,0,0,0,0,0
14,1,Log2,5.00E-05,0,0,0,0,0
15,1,Log2,6.00E-05,0,0,0,0,0
16,1,Log2,7.00E-05,0,0,0,0,0
17,1,Log2,8.00E-05,0,0,0,0,0
18,1,Log2,9.00E-05,0,0,0,0,0
19,1,Log2,1.00E-04,0,0,0,0,0
20,1,Log2,2.00E-04,0,0,0,0,74
21,1,Log2,3.00E-04,0,0,0,0,113
22,1,Log2,4.00E-04,0,0,0,0,148
23,1,Log2,5.00E-04,0,0,0,0,173
24,1,Log2,6.00E-04,0,0,0,0,196
25,1,Log2,7.00E-04,1,0,0,1,220
26,1,Log2,8.00E-04,0,0,0,0,251
27,1,Log2,9.00E-04,0,0,0,0,262
28,1,Log2,0.001,0,0,0,0,271
29,1,Log2,0.002,0,1,0,1,362
30,1,Log2,0.003,0,0,0,0,401
31,1,Log2,0.004,0,0,0,0,446
32,1,Log2,0.005,0,0,0,0,481
33,1,Log2,0.006,0,0,0,0,509
34,1,Log2,0.007,0,0,0,0,535
35,1,Log2,0.008,0,0,0,0,552
36,1,Log2,0.009,0,0,0,0,576
37,1,Log2,0.01,0,0,0,0,593
38,1,Log2,0.02,0,0,0,0,719
39,1,Log2,0.03,0,0,0,0,815
40,1,Log2,0.04,0,0,0,0,887
41,1,Log2,0.05,0,0,0,0,945
42,1,Log2,0.06,0,0,0,0,982
43,1,Log2,0.07,0,0,0,0,1028
44,1,Log2,0.08,0,0,0,0,1067
45,1,Log2,0.09,0,0,0,0,1092
46,1,Log2,0.1,0,0,2,2,1116
