"","X","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"22",1,"noNorm",4e-04,0,0,5,5,167
"23",1,"noNorm",5e-04,0,0,3,3,188
"24",1,"noNorm",6e-04,0,0,2,2,213
"25",1,"noNorm",7e-04,0,0,2,2,233
"36",1,"noNorm",0.009,1,0,0,1,615
"37",1,"noNorm",0.01,1,0,0,1,631
"1",1,"noNorm",1e-06,0,0,0,0,0
"2",1,"noNorm",2e-06,0,0,0,0,0
"3",1,"noNorm",3e-06,0,0,0,0,0
"4",1,"noNorm",4e-06,0,0,0,0,0
"5",1,"noNorm",5e-06,0,0,0,0,0
"6",1,"noNorm",6e-06,0,0,0,0,0
"7",1,"noNorm",7e-06,0,0,0,0,0
"8",1,"noNorm",8e-06,0,0,0,0,0
"9",1,"noNorm",9e-06,0,0,0,0,0
"10",1,"noNorm",1e-05,0,0,0,0,0
"11",1,"noNorm",2e-05,0,0,0,0,0
"12",1,"noNorm",3e-05,0,0,0,0,0
"13",1,"noNorm",4e-05,0,0,0,0,0
"14",1,"noNorm",5e-05,0,0,0,0,0
"15",1,"noNorm",6e-05,0,0,0,0,0
"16",1,"noNorm",7e-05,0,0,0,0,0
"17",1,"noNorm",8e-05,0,0,0,0,0
"18",1,"noNorm",9e-05,0,0,0,0,0
"19",1,"noNorm",1e-04,0,0,0,0,0
"20",1,"noNorm",2e-04,0,0,0,0,88
"21",1,"noNorm",3e-04,0,0,0,0,133
"26",1,"noNorm",8e-04,0,0,0,0,253
"27",1,"noNorm",9e-04,0,0,0,0,277
"28",1,"noNorm",0.001,0,0,0,0,292
"29",1,"noNorm",0.002,0,0,0,0,399
"30",1,"noNorm",0.003,0,0,0,0,457
"31",1,"noNorm",0.004,0,0,0,0,489
"32",1,"noNorm",0.005,0,0,0,0,517
"33",1,"noNorm",0.006,0,0,0,0,539
"34",1,"noNorm",0.007,0,0,0,0,563
"35",1,"noNorm",0.008,0,0,0,0,589
"38",1,"noNorm",0.02,0,0,0,0,766
"39",1,"noNorm",0.03,0,0,0,0,867
"40",1,"noNorm",0.04,0,0,0,0,951
"41",1,"noNorm",0.05,0,0,0,0,1001
"42",1,"noNorm",0.06,0,0,0,0,1039
"43",1,"noNorm",0.07,0,0,0,0,1085
"44",1,"noNorm",0.08,0,0,0,0,1133
"45",1,"noNorm",0.09,0,0,0,0,1158
"46",1,"noNorm",0.1,0,0,0,0,1194
