"Protein","S0","S0.1","S0.2","S1","S1.1","S1.2","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|Q13201|MMRN1_HUMAN",78911.1912,131261.4826,160573.9844,8101207.875,5953134.445,6387950.333,4.027,13.1769,0,0,0.430485,1.46226874105742e-30,1.01109812506569e-30,0.432098172037155
"sp|P01714|LV301_HUMAN",16100000,15800000,15700000,1.48e+08,1.21e+08,1.42e+08,2.157,11.2627,0,0,0.431236,3.11118525191593e-22,1.59841286961988e-22,0.432852291852431
"sp|P01768|HV307_HUMAN",2156740.377,906582.4958,1279094.083,33300000,20500000,39500000,3.086,9.1092,0,0,0.432067,1.41870178454096e-14,8.80850821141008e-15,0.433692128716901
"sp|P01619|KV301_HUMAN",5591540.094,4102552.67,3738287.283,34600000,25400000,2.8e+07,1.89,8.6637,0,0,0.433015,2.24147275648967e-13,1.64361126353748e-13,0.434640744244705
"sp|P01876|IGHA1_HUMAN",4.26e+09,2.86e+09,3.44e+09,2.8e+10,2.1e+10,2.44e+10,1.943,8.5696,0,0,0.433266,4.18499885714689e-13,3.10742695278323e-13,0.434892388182838
"sp|P0CG05|LAC2_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN",4.19e+09,3.41e+09,4.81e+09,2.25e+10,1.94e+10,2.68e+10,1.708,8.0785,0,0,0.434924,7.49437267818797e-12,6.20095083501583e-12,0.436568271503321
"sp|P01772|HV311_HUMAN",9840140.394,7228044.901,7911128.318,83900000,70300000,1.57e+08,2.48,8.0296,0,0,0.435155,9.72484663631246e-12,8.13730337719279e-12,0.436800572440555
"sp|P06889|LV405_HUMAN",16200000,15100000,9172344.948,1.46e+08,1.1e+08,1.24e+08,2.242,7.8253,0,0,0.436284,3.04424121633849e-11,2.62714533675998e-11,0.437928208856111
"sp|P17900|SAP3_HUMAN",2476859.183,3045327.986,3184360.609,14200000,1.8e+07,14900000,1.687,7.7599,0,0,0.436688,4.48003513960883e-11,3.88600327347374e-11,0.438332210707114
"sp|P01834|IGKC_HUMAN",3.16e+09,2.97e+09,3.49e+09,2.18e+10,1.55e+10,2.52e+10,1.865,7.6511,0,0,0.437391,8.5751635325648e-11,7.48559366110001e-11,0.439036875977422
"sp|P01769|HV308_HUMAN",2783795.594,1113835.004,1735583.202,2.3e+07,3e+07,4.8e+07,2.917,7.6374,0,0,0.437482,9.29955068995711e-11,8.12427527621892e-11,0.439128342723252
"sp|P04746|AMYP_HUMAN",22760.7272,18240.3879,38222.6061,359632.996,604246.8146,286260.1306,2.735,7.427,0,0,0.438982,2.94449737813919e-10,2.62384040840518e-10,0.440649920907368
"sp|P01597|KV105_HUMAN",3.23e+08,2.54e+08,2.3e+08,1.44e+09,1.07e+09,1.41e+09,1.558,7.191,0,0,0.441245,8.46860711374946e-10,7.8176129308053e-10,0.442944237862606
"sp|P80748|LV302_HUMAN",9.9e+07,1.18e+08,61200000,6.14e+08,5.61e+08,8.25e+08,1.992,7.0791,0,0,0.442697,1.3837263219008e-09,1.2934280962784e-09,0.444400959606865
"sp|P01766|HV305_HUMAN",73100000,60700000,69700000,3.51e+08,2.41e+08,3.43e+08,1.518,7.0203,0,0,0.443567,1.81470051089282e-09,1.70436707723453e-09,0.445270045223068
"sp|P01599|KV107_HUMAN;sp|P01610|KV118_HUMAN",3.23e+08,2.54e+08,2.3e+08,1.44e+09,1.07e+09,1.41e+09,1.585,6.9801,0,0,0.444201,2.19619997711969e-09,2.06815662841695e-09,0.44590236844329
"sp|P01613|KV121_HUMAN",21300000,14800000,25100000,1.82e+08,1.11e+08,1.37e+08,1.948,6.9661,0,0,0.444428,2.35453562416422e-09,2.21881252898592e-09,0.44612933862503
"sp|A0M8Q6|LAC7_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN",3.07e+09,2.32e+09,3.15e+09,1.45e+10,1.26e+10,1.8e+10,1.682,6.959,0,0,0.444545,2.43630410191491e-09,2.29682083918499e-09,0.446245608504446
"sp|P01593|KV101_HUMAN",3.28e+08,2.58e+08,2.35e+08,1.51e+09,1.12e+09,1.47e+09,1.62,6.9564,0,0,0.444588,2.46696000371139e-09,2.32607182370672e-09,0.446288411975097
"sp|P01608|KV116_HUMAN",3.24e+08,2.54e+08,2.3e+08,1.44e+09,1.07e+09,1.42e+09,1.577,6.9169,0,0,0.445253,2.99911146502665e-09,2.83323833061582e-09,0.446952049008866
"sp|P01620|KV302_HUMAN;sp|P18135|KV312_HUMAN",89700000,1.11e+08,8.7e+07,4.41e+08,3.59e+08,4.55e+08,1.47,6.8948,0,0,0.445636,3.3567119039468e-09,3.17369326061277e-09,0.447333487301296
"sp|P06331|HV209_HUMAN;sp|P01825|HV207_HUMAN",55300000,30100000,4.4e+07,3.47e+08,2.16e+08,3.83e+08,1.994,6.8714,0,0,0.446048,3.7729907665344e-09,3.57073717273652e-09,0.447744638633039
"sp|P16930|FAAA_HUMAN",2650560.346,2114506.202,2867101.423,9953827.882,11300000,1.2e+07,1.471,6.8492,0,0,0.446445,4.23709654412342e-09,4.01242771964781e-09,0.448140671875036
"sp|P01621|KV303_HUMAN;sp|P18135|KV312_HUMAN",13800000,1e+07,6334801.708,79700000,75600000,84200000,2.13,6.8014,0,0,0.447318,5.44714678410586e-09,5.16428650689669e-09,0.449012625070471
"sp|P04206|KV307_HUMAN;sp|P18135|KV312_HUMAN;sp|P18136|KV313_HUMAN",7.5e+07,1.02e+08,75700000,3.98e+08,2.9e+08,3.89e+08,1.426,6.7258,0,0,0.448739,8.13331747390498e-09,7.72188191254648e-09,0.450434718207952
