"Protein","S0","S0.1","S0.2","S0.3","S0.4","S0.5","S1","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","S1.8","S1.9","S1.10","S1.11","S1.12","S1.13","S1.14","S1.15","S1.16","S1.17","S1.18","S1.19","S1.20","S1.21","S1.22","S1.23","S1.24","S1.25","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|O14562|UBFD1_HUMAN",176.7734,373.8983,6712.2619,0,111.378,34.28,14745.9742,375.1186,3328.6596,2089.8794,42242.8601,5047.7943,17027.1606,4471.1428,36962.1828,27512.1361,66386.1571,71736.1521,2010.3415,5793.715,973.2758,4327.8677,15445.8916,14321.8856,13294.0687,14909.3402,24369.0756,7297.1555,579.8713,114.3718,54385.9019,62568.0246,3.829,4.6903,0.052007,0.049581,0.813035,0.0436319450736343,0.0421052547571917,0.806239576876978
"sp|Q9H1E3|NUCKS_HUMAN",1067958.567,596592.1129,4979374.597,4996108.345,1801778.527,1811067.521,3953939.73,3826908.029,5069029.624,4804038.292,28800000,24100000,7762064.405,7060781.188,29500000,26600000,34300000,34500000,19200000,2e+07,7116507.957,8097809.45,13800000,14600000,8229568.003,9418168.718,11200000,12300000,4586585.36,4224517.675,4911383.419,4688363.133,1.664,4.5221,0.068846,0.057433,0.813293,0.0589259405151278,0.0534495326050746,0.806497520134453
"sp|Q01433|AMPD2_HUMAN",406723.4189,409654.358,1388973.077,1808251.458,188729.0457,275100.1679,1604087.256,1802809.082,1209325.133,1231654.901,2353210.229,1988937.84,961103.4127,933184.7629,1833220.9,1764919.826,2525888.188,2732325.901,2327235.187,2177452.363,1369815.778,1400687.63,1855894.818,1854529.73,676840.8929,667099.2977,2016774.276,2455431.774,728050.6923,863571.9552,1090317.52,976138.7706,1.032,4.449,0.077915,0.062378,0.813448,0.0672145011481934,0.0604673606719591,0.806652135077774
"sp|Q15370|ELOB_HUMAN",345383.2143,47195.6032,891556.2798,1078633.526,367112.0643,316769.2724,736117.9428,926690.5944,722543.7522,662063.3007,3748365.803,2990145.137,1228022.287,1227722.381,1754189.678,2109635.505,2023427.617,2452115.863,2722406.851,2161953.606,1231613.656,1013408.233,1950687.146,1637962.904,811045.1655,927013.6896,947103.0168,1181955.289,664340.8741,753042.9662,1125806.261,605177.7839,1.288,4.228,0.110445,0.081267,0.81415,0.0964020063697502,0.0879164460456436,0.807356843895154
"sp|Q13085|ACACA_HUMAN;sp|O00763|ACACB_HUMAN",71299.5462,32430.9657,1759418.46,1496685.251,174312.3887,542100.5275,1292053.912,1230641.45,706202.069,714354.3831,2039246.491,2194135.895,883942.7563,1118196.699,887307.2465,1007722.987,1341026.835,1227758.607,3082237.77,1381875.548,931236.5618,790182.4662,1401907.539,1062959.909,733827.0025,745651.7374,1109692.272,1418448.091,980522.383,847194.0186,819523.1366,630407.0062,1.381,4.1638,0.125471,0.088401,0.814431,0.109912784425401,0.10059047050924,0.807641098034825
"sp|P52888|THOP1_HUMAN",556153.8806,364608.4601,995987.3001,1562529.653,524310.8726,344415.379,1279512.531,1391764.817,882810.8907,911519.9582,2209485.549,1473351.739,939478.3645,1108668.682,1364738.016,1572551.78,2450204.992,2060979.299,1907896.147,1926999.145,1017881.255,1128232.514,1489086.657,1494408.634,807413.0498,1008144.026,1686682.072,2115039.682,913051.0967,940607.8171,840564.2802,602448.2572,0.744,4.1484,0.129767,0.090297,0.814503,0.113792347380324,0.104202670137475,0.807714196890275
"sp|Q9NQP4|PFD4_HUMAN",792667.0977,521822.672,4849420.575,5281317.26,1360150.625,1131622.86,3092129.022,3429048.263,2917870.27,2943859.121,9319009.849,9557702.951,3582768.943,3152890.405,3248428.181,3213963.451,4615621.329,5002165.69,5998559.665,5760537.501,3469451.693,3453719.108,4085259.931,4145132.169,3081077.769,3418818.007,7039750.569,6960366.463,2209524.859,2393073.436,3636667.722,3195004.498,0.916,4.1237,0.137305,0.093514,0.814621,0.120618867463832,0.110538330265141,0.807834953924862
"sp|P78330|SERB_HUMAN",25818.7961,30563.5716,559253.2941,557902.447,174470.7519,131389.4822,345758.7401,361850.4162,248812.7481,230696.0554,1450124.607,1410800.671,626700.4409,562544.9508,991927.363,1082922.525,1491278.017,1489196.318,694952.4643,652087.6261,319979.4086,272170.2461,491772.7338,452383.9032,1833098.496,2305475.882,482902.9433,583644.0803,477163.4113,404656.4714,2826776.083,2871569.989,1.693,4.1186,0.138966,0.094207,0.814646,0.122126413895062,0.111934615413002,0.807860390460401
"sp|Q8IYD1|ERF3B_HUMAN",4438.7966,4302.2738,274202.8875,289950.7634,4470.077,7443.6599,132130.1828,159213.4904,134762.7834,129965.7987,780364.6301,741042.2476,121475.1461,89122.691,128136.0506,137611.4398,275605.8,336966.3378,451460.6425,511149.8506,86956.4236,117578.4044,251135.6485,176431.4804,273142.3077,304234.526,318467.2264,366018.7249,13299.857,13633.7982,219841.3702,201860.1715,2.259,4.1082,0.14247,0.095653,0.814698,0.125305545669454,0.114876789000745,0.807912757823691
"sp|A6NL88|SHSA7_HUMAN",86.4544,394.066,813583.2433,832673.3177,0,0.89,237521.9152,274579.6772,262160.7097,295354.1458,159375.3874,113170.4067,28673.096,15938.0449,38195.9792,86096.2622,5605.4966,34660.9497,377704.563,406051.5058,134806.6113,114351.7832,166783.7184,157393.0632,2134.8811,9020.6467,380151.6616,363611.1281,108926.8066,122841.5058,15994.1653,21973.3159,5.142,4.1048,0.14365,0.096135,0.814715,0.126380718782158,0.115870614204801,0.80793001735409
"sp|Q86TP1|PRUNE_HUMAN",19080.3516,24475.8956,354388.007,548011.0559,124343.682,121865.9878,313262.9537,296237.9019,200566.6349,251996.404,615324.8782,594857.8669,243875.0104,273212.1797,343338.0691,451008.9503,530837.5798,505476.5907,608524.3148,756497.3712,226870.9598,273036.046,429542.5174,493863.2727,275179.4641,286183.2389,383572.1838,343995.4163,209904.3789,210254.8236,543210.4777,473616.8613,1.191,3.9442,0.222041,0.125442,0.815559,0.198200400695978,0.181949118873665,0.808794489554524
"sp|Q5HYI8|RABL3_HUMAN",5218601.963,1151187.655,2495680.971,3676937.148,3638904.339,1917512.463,4626042.753,6415180.157,4297812.992,3531524.197,18800000,13600000,3675419.546,6028719.747,6341172.761,5342169.171,9752082.643,9149542.55,13800000,13800000,5940535.867,5488155.607,8096998.063,8033134.703,4074180.246,4949834.769,4770716.243,6598227.807,5448735.994,5598388.553,9133590.602,2954925.362,0.888,3.9342,0.22856,0.127758,0.815613,0.204212735512324,0.187476417725063,0.808849610286363
"sp|P23588|IF4B_HUMAN",447471.3827,45866.9732,73079.6383,526009.7352,367099.5365,40830.5588,510993.0372,325394.2333,267455.3443,264037.1972,942562.8901,2077497.042,324404.1817,1008932.003,631409.5804,1497380.429,2771782.709,2168570.064,1443942.67,1503728.987,847386.6895,998732.1326,1024570.252,1065254.435,437716.378,163601.6268,456907.0951,328430.0978,451251.8232,625790.4111,674141.4814,217724.703,1.537,3.9058,0.248207,0.134699,0.815764,0.222361509127077,0.204170964417848,0.809005653321174
"sp|Q8IUD2|RB6I2_HUMAN",352271.2029,416307.052,1225694.098,1472307.953,237259.7609,197716.2135,1695391.542,1541823.157,948138.7502,1041583.848,1910737.002,1619043.212,758825.8365,677080.6893,980722.9828,939568.6504,1962003.073,2074913.892,2416116.959,2156888.071,1061477.584,1001216.3,1235525.821,1197017.253,1597784.359,1833134.156,3624946.295,3671910.604,355360.7453,468006.3301,1625606.972,1270733.262,1.033,3.884,0.264431,0.140402,0.815878,0.237384911843069,0.218004914534747,0.809124563443993
"sp|Q86VS8|HOOK3_HUMAN",15457.2718,19128.0232,119436.7659,227907.9297,18933.0567,19684.5269,63484.1353,63737.4712,115798.4939,99856.2581,389609.4207,194846.1711,81790.3192,96175.5521,139403.7921,127410.9478,162360.1631,202178.1126,137441.4948,136312.5442,95265.6259,124256.915,237414.8692,157493.348,171761.728,144587.5382,218510.18,269983.8502,45870.0385,41617.2736,112485.7836,105431.298,1.163,3.8781,0.268992,0.142003,0.815909,0.241614893478484,0.22190278846521,0.809156566380597
"sp|P06727|APOA4_HUMAN",653607.6571,464478.1703,1.1e+07,11100000,463956.1757,539267.0198,339515.0667,271701.3232,145559.0989,147189.0651,2399156.136,2181098.071,1345087.281,1461141.222,150000.6009,131521.5165,180852.9582,169254.6738,423057.6991,327030.5606,172006.9005,213911.4711,251405.4701,261793.097,159756.738,194062.5961,335176.7089,352172.8179,96672.8658,90525.0304,114901.9172,69414.3328,-1.709,-3.8661,4e-06,0.813114,3e-06,3.14689201575432e-06,0.0118797934732468,2.48712425137596e-06
"sp|Q9UBB4|ATX10_HUMAN",470188.588,265487.9683,3401702.398,3168660.237,1189705.561,1152492.149,2586262.984,2245678.109,1483455.17,1450209.633,5278782.117,5716289.815,2126329.316,1844647.843,2444474.804,2130236.478,3224324.684,3342839.132,5689594.55,4842709.648,1918889.735,1842078.576,2669168.071,3063443.037,4040877.194,4544337.115,2851311.893,2802979.135,1737273.57,1817717.968,2595376.609,2386476.976,0.915,3.8384,0.301529,0.15344,0.816114,0.271873068679256,0.249828787346738,0.809369307261993
"sp|Q14624|ITIH4_HUMAN",4254107.066,3997302.195,1.1e+07,1e+07,8091204.009,9353936.123,814976.1385,638978.8638,669900.4342,726021.6448,9086001.711,8185097.804,1.7e+07,17900000,1690299.85,1709204.421,1921663.343,1958731.287,2192719.049,2031726.84,698030.6126,709542.3658,1087992.842,1011529.656,1082055.282,1112414.942,1389035.79,1716609.774,860290.4535,803795.2949,883444.7507,893705.1548,-1.466,-3.8337,5e-06,0.813177,4e-06,3.84608799500465e-06,0.0116600072728682,2.75549916353227e-06
"sp|P13671|CO6_HUMAN",604306.6496,592296.1216,1433873.996,1429862.814,225924.3344,273989.1371,143002.8642,82286.8915,32122.301,44190.3037,227848.4803,285823.6675,1648431.686,1282344.276,326099.1837,301613.8901,125096.9232,144679.6112,122872.0429,137764.3738,43702.6718,58828.8511,72179.5376,76659.1162,150279.7832,216304.7304,186436.5901,273095.8347,86773.9718,107724.155,60432.2172,115063.431,-1.445,-3.7887,7e-06,0.813267,4e-06,5.2555243204698e-06,0.0116533761058544,3.2368087345178e-06
