"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"52","QM","RLR-G",6e-06,53,13,22,88,602
"51","QM","RLR-G",5e-06,53,12,22,87,592
"55","QM","RLR-G",9e-06,51,13,23,87,617
"54","QM","RLR-G",8e-06,52,12,22,86,612
"100","QM","VSN-G",8e-06,53,13,20,86,364
"56","QM","RLR-G",1e-05,50,13,22,85,621
"313","QM","Quantile",0.01,65,2,17,84,920
"53","QM","RLR-G",7e-06,49,12,22,83,609
"97","QM","VSN-G",5e-06,48,11,24,83,349
"99","QM","VSN-G",7e-06,51,13,19,83,362
"304","QM","Quantile",0.001,53,9,21,83,687
"312","QM","Quantile",0.009,64,2,17,83,905
"49","QM","RLR-G",3e-06,48,10,23,81,567
"98","QM","VSN-G",6e-06,49,11,21,81,356
"101","QM","VSN-G",9e-06,56,5,20,81,371
"102","QM","VSN-G",1e-05,55,5,20,80,374
"18","QM","Loess-G",9e-05,49,12,18,79,847
"104","QM","VSN-G",3e-05,53,6,20,79,418
"105","QM","VSN-G",4e-05,48,10,21,79,430
"311","QM","Quantile",0.008,60,2,17,79,893
"94","QM","VSN-G",2e-06,44,13,21,78,321
"95","QM","VSN-G",3e-06,45,11,21,77,335
"118","QM","VSN-G",8e-04,52,8,17,77,612
"120","QM","VSN-G",0.001,51,7,19,77,629
"19","QM","Loess-G",1e-04,50,11,15,76,858
"108","QM","VSN-G",7e-05,48,8,20,76,461
"109","QM","VSN-G",8e-05,48,9,19,76,467
"119","QM","VSN-G",9e-04,50,8,18,76,616
"133","QM","VSN-G",0.05,48,9,19,76,1096
"299","QM","Quantile",5e-04,48,6,22,76,620
"17","QM","Loess-G",8e-05,46,9,20,75,844
"50","QM","RLR-G",4e-06,41,13,21,75,580
"96","QM","VSN-G",4e-06,43,11,21,75,343
"115","QM","VSN-G",5e-04,47,9,19,75,588
"303","QM","Quantile",9e-04,48,8,19,75,677
"68","QM","RLR-G",4e-04,51,8,15,74,841
"111","QM","VSN-G",1e-04,46,9,19,74,479
"113","QM","VSN-G",3e-04,47,9,18,74,553
"301","QM","Quantile",7e-04,49,8,17,74,655
"310","QM","Quantile",0.007,55,2,17,74,879
"110","QM","VSN-G",9e-05,45,9,19,73,475
"114","QM","VSN-G",4e-04,46,10,17,73,574
"125","QM","VSN-G",0.006,43,11,19,73,801
"300","QM","Quantile",6e-04,47,6,20,73,639
"302","QM","Quantile",8e-04,47,8,18,73,663
"306","QM","Quantile",0.003,46,8,19,73,787
"308","QM","Quantile",0.005,49,6,18,73,837
"309","QM","Quantile",0.006,53,4,16,73,859
"4","QM","Loess-G",4e-06,41,11,20,72,688
"8","QM","Loess-G",8e-06,42,12,18,72,719
"12","QM","Loess-G",3e-05,46,10,16,72,781
"20","QM","Loess-G",2e-04,47,9,16,72,903
"47","QM","RLR-G",1e-06,43,11,18,72,526
"48","QM","RLR-G",2e-06,41,9,22,72,549
"57","QM","RLR-G",2e-05,40,10,22,72,661
"106","QM","VSN-G",5e-05,44,9,19,72,443
"16","QM","Loess-G",7e-05,43,10,18,71,834
"26","QM","Loess-G",8e-04,54,3,14,71,1010
"107","QM","VSN-G",6e-05,44,8,19,71,453
"117","QM","VSN-G",7e-04,47,7,17,71,603
"121","QM","VSN-G",0.002,44,10,17,71,694
"288","QM","Quantile",3e-05,46,7,18,71,468
"9","QM","Loess-G",9e-06,38,14,18,70,725
"11","QM","Loess-G",2e-05,45,8,17,70,760
"124","QM","VSN-G",0.005,43,9,18,70,781
"134","QM","VSN-G",0.06,46,5,19,70,1140
"291","QM","Quantile",6e-05,46,6,18,70,493
"6","QM","Loess-G",6e-06,39,11,19,69,705
"116","QM","VSN-G",6e-04,44,8,17,69,596
"5","QM","Loess-G",5e-06,38,11,19,68,697
"67","QM","RLR-G",3e-04,44,7,17,68,821
"103","QM","VSN-G",2e-05,42,5,21,68,404
"112","QM","VSN-G",2e-04,42,8,18,68,529
"13","QM","Loess-G",4e-05,42,10,15,67,803
